#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,otakoyakisoba @otakoyakisoba,16.6M,0.8%,Japan,,5M
2,Masked Hokage @naruto0919,12.2M,-,Japan,Animation and Cosplay,3.7M
3,ISSEI/No War @issei0806,9.9M,-,Japan,,3M
4,内山さん(Uchiyamasan☀️) @uchiyamasan7322,8.6M,-,Japan,,2.6M
5,炭火倶楽部／Sumibi_Club @sumibi_club,5M,-,Japan,,1.5M
6,tsuriki.family @tsuriki.family,4.6M,-,Japan,family,1.4M
7,ONE N' ONLY/ワンエンオンリー @onenonly_tokyo,4.4M,-,Japan,,1.3M
8,가토 GATO @gato0901,4.2M,-,Japan,Arts and Crafts,1.3M
9,TWICE JAPAN OFFICIAL @twice_tiktok_officialjp,3.9M,0.4%,Japan,Entertainment and Music,1.2M
10,新しい学校のリーダーズ ATARASHII GAKKO! @japanleaders,3.8M,-,Japan,Entertainment and Music,1.1M
11,Apoki 아뽀키 @apoki.vv,3.6M,-,Japan,Animation and Cosplay,1.1M
12,tomm_yammm🇯🇵 @tomm_yammm,3.6M,-,Japan,,1.1M
13,japinhaconde 🇯🇵 @japinhaconde,2.5M,-,Japan,,750K
14,Kahoko🎆 @kaho7911,2.4M,0.1%,Japan,,720K
15,安田現象 @gensho_yasuda,2.3M,0.7%,Japan,Animation and Cosplay,690K
16,毎日甘いもの食べたい @yuuuuto38,2M,0.1%,Japan,Food,600K
17,修一朗 @tuckinshuichiro,1.9M,-,Japan,Nature,570K
18,ginjiro👉👈 @ginjiro_koyama,1.9M,0.7%,Japan,Animation and Cosplay,570K
19,The Anime Men @gmoney_swag12,1.8M,-,Japan,Animation and Cosplay Fashion and Accessories,540K
20,ASMR アリス @asmr_alice_jpn,1.8M,-,Japan,Entertainment and Music,540K
21,あさみみちゃん @asamimichaann,1.7M,0.1%,Japan,Animation and Cosplay,510K
22,TAKI @taki_faky,1.6M,-,Japan,,480K
23,YADUKI/居酒屋 哉月🍚 @yaduki1,1.6M,1%,Japan,Food,480K
24,English with Jay @jayfujiwara,1.6M,0.2%,Japan,Education,480K
25,【YAMADA】山田ごはん。 @yamadaasmr,1.6M,-,Japan,Food,480K
26,☞ゑむ氏。@フォーエイト・ @mari0607_mg,1.5M,0.1%,Japan,,450K
27,テレ朝news【公式】 @tv_asahi_news,1.5M,-,Japan,,450K
28,神堂きょうか🐸 @kyokasan123,1.5M,-,Japan,Acting and Drama Entertainment and Music,450K
29,シャルロット/Charlotte🇯🇵 @charlotte_fat10,1.5M,-,Japan,Entertainment and Music,450K
30,Tastemade Japan @tastemadejapan,1.5M,-,Japan,Food Travel,450K
31,RyotaMoistureเรียวตะ @ryotamoisture,1.4M,-,Japan,,420K
32,Japan and friends @japanfriends,1.3M,-,Japan,,390K
33,アレックス✨ @alexniwata,1.3M,0.1%,Japan,Fashion and Accessories,390K
34,MIYU ASMR @miyuasmr,1.3M,5.3%,Japan,Entertainment and Music Food and Drink,390K
35,みねりお🦄💜/Rio MINE💋 @mine_riorio,1.2M,0.5%,Japan,Entertainment and Music Fashion and Accessories,360K
36,永ennのアリス@フォーエイト @enn_alice0419,1.2M,0.2%,Japan,Entertainment and Music,360K
37,ももせもも(Momo Momose) @momose_momo,1.2M,0.8%,Japan,Entertainment and Music,360K
38,🐣髙木 悠未 (ゆうみ) @yuumi_takaki05,1.2M,0.4%,Japan,Fashion and Accessories,360K
39,サクトック @sakutok,1.2M,0.2%,Japan,,360K
40,武本悠佑🐰🍉 @yuckejan_0414,1.1M,-,Japan,Celebrity,330K
41,치세 ちせ 🍑🐰 @yerin_chise,1.1M,-,Japan,,330K
42,アヤノダガネ🤪💋 @ayanodagane32,1.1M,-,Japan,,330K
43,Go! Go! Nihon @gogonihon,1.1M,-,Japan,,330K
44,Inazuma Eleven Official @inazumaeleven.official,1.1M,-,Japan,,330K
45,池田航〜オム王子〜 @kohcooking,1.1M,-,Japan,Food,330K
46,🦋VANILOPA🦋 @vanilopa_tik,1.1M,-,Japan,,330K
47,ショウマ @syouma0724,1M,-,Japan,,300K
48,りょう @riiiiiiilil,1M,0.4%,Japan,,300K
49,ろいたん 👼🏻® @roitan7,995.1K,-,Japan,,298.5K
50,東井晴信⛩【白王子らしい】 @nobu_haru10,988.7K,-,Japan,,296.6K
51,Matcha Samurai @matcha_samurai,982.2K,-,Japan,Funny Food,294.7K
52,森友二(moriyuji) @moriyuji6615,981K,-,Japan,Animation and Cosplay,294.3K
53,DJ GINTA 【Repezen Foxx】 @dj_ginta_official,977.8K,-,Japan,,293.3K
54,ドッキリ家族だいち @daichidayo.0121,974.9K,-,Japan,,292.5K
55,Xiomy Kanashiro Blas @xiomykanashiro,966.2K,-,Japan,,289.9K
56,عبدالله الذيابي @ce7x,954.6K,0.9%,Japan,Entertainment and Music,286.4K
57,れん🎵 @ren.0625,945.7K,0.6%,Japan,,283.7K
58,cRIB @crib._,939.3K,0.4%,Japan,Animation and Cosplay,281.8K
59,Ayane / 写真撮る人 @aaayane7628,934.7K,0.1%,Japan,,280.4K
60,emma @fairy_emma__,934.1K,-,Japan,,280.2K
61,コムドット【日本を獲るYouTuber】 @com.youtuber,927K,0.1%,Japan,,278.1K
62,“”中２病 魔界〜✌︎('ω')✌︎‼︎ @yunonchan0824,926.2K,-,Japan,,277.9K
63,夢咲 ももな🍑 @momona428,923.2K,1.9%,Japan,,277K
64,Dribble Designer OKABE🇯🇵 @dribbledesigner,921.4K,-,Japan,,276.4K
65,たいせい(たまぶくろT) @taisei__t,915.8K,-,Japan,,274.7K
66,長野じゅりあ🥋💉 @juria96210,907.3K,-,Japan,Acting and Drama,272.2K
67,Camila🌚🌝 @camilachan77,902.7K,-,Japan,,270.8K
68,Lindow 林豆 @ozaki_dayoooooo,895.8K,0.9%,Japan,,268.7K
69,きぐるみ母さん @chickenmom,893.9K,0.1%,Japan,Animation and Cosplay,268.2K
70,nono @okunonolife,891.1K,7.4%,Japan,Art,267.3K
71,Chase O’Neill 🦋 @chaseko,889.7K,-,Japan,,266.9K
72,トウア @___2toua2___,887.2K,0.2%,Japan,,266.2K
73,ブルベア BLUBEA @blubea_official,877.1K,-,Japan,,263.1K
74,Bigo:bbyashi @badangeleigh,875.4K,-,Japan,,262.6K
75,🍌Daiki🍌 @miyadaikin,873.8K,-,Japan,,262.1K
76,マナル隊 @manarutai,872.1K,-,Japan,,261.6K
77,たいてぃん @taithinn,863K,0.1%,Japan,,258.9K
78,crunchyroll @crunchyroll,854.8K,-,Japan,Animation and Cosplay,256.4K
79,女子四人ズ @szkmzrnknn,846.1K,31.9%,Japan,,253.8K
80,TAIYO/たいよー☀️🇯🇵 @taiyojr_18,844.8K,-,Japan,,253.4K
81,SG Official (ソギョン) @sg_a11,844.3K,-,Japan,,253.3K
82,Adele Collette @addyroad,839.7K,0.1%,Japan,Food Travel,251.9K
83,【コムドット】ゆうま @com.yuma1214,838.2K,0.5%,Japan,,251.5K
84,SMArtProjects @smartprojects_anime.art,833.5K,-,Japan,Arts and Crafts Product Showcase,250.1K
85,スマイリー😉 @yasuner1103,832.3K,-,Japan,,249.7K
86,TKK @tkk220,829.7K,-,Japan,Entertainment and Music,248.9K
87,Japan_Panupan @japanpanupan,828.7K,-,Japan,,248.6K
88,しなこんちゃ🌷💜 @ssshinako311,828.1K,2.7%,Japan,,248.4K
89,あしすぱ⚡️(脚の人Sparking) @ashinohitodesu,826.9K,0.3%,Japan,,248.1K
90,junya jr.&Mask🎭/こじゅんや @junya1gou.jr,824.5K,-,Japan,,247.4K
91,VIC @yourguyvic,824K,-,Japan,Animation and Cosplay Fashion and Accessories Product Showcase,247.2K
92,なつぴぴ 🥜 @nattsu_pipi,820.2K,2%,Japan,,246.1K
93,藤田ニコル @nicole25625646,816.9K,2.3%,Japan,,245.1K
94,🍑ももバーレスク東京🍑 @momo_burlesque,814.9K,3.6%,Japan,,244.5K
95,なるねぇ【11kg減youtuber】 @naru.enjoy_diet,811.5K,0.7%,Japan,Fitness and Health,243.5K
96,アイルトンモカ @ayrtonmocha,810.5K,-,Japan,,243.2K
97,卓キチちゃんねる @nknsjn,809.6K,0.1%,Japan,Sports,242.9K
98,日テレニュース @ntv.news,803.8K,-,Japan,,241.1K
99,那須川 天心 @teamtenshin,802K,0.2%,Japan,,240.6K
100,Nobaro @nobarohat,801.4K,-,Japan,,240.4K
