#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Junya Official Channel @UCjp_3PEaOau_nT_3vnqKIvg,16.4M,-,Japan,,4.9M
2,KOYA with @UCQs-tWGqacJ7vuuJDtXq28w,12.8M,-,Japan,,3.8M
3,"Sen, Momo, Ai & Shii's Channel @UCCKJzBnveLS7oLpS8Q4m2eg",11.1M,-,Japan,Video Gaming,3.3M
4,タキロン Takilong Kids' Toys @UCU7cVpD6RJIiWw7LUZVMuCQ,7.5M,-,Japan,,2.2M
5,Nino's Home @UCKetFmtqdh-kn915crdf72A,7.5M,-,Japan,,2.2M
6,Fischer's-フィッシャーズ- @UCibEhpu5HP45-w7Bq1ZIulw,7.4M,0.2%,Japan,,2.2M
7,Maryana Ro @UCcGVrf54UcSyIFKlJic8T8A,6.7M,-,Japan,,2M
8,SUSHI RAMEN【Riku】 @sushiramen-riku1,6.3M,2.1%,Japan,Fitness Travel,1.9M
9,THE FIRST TAKE @UC9zY_E8mcAo_Oq772LEZq8Q,6.2M,0.6%,Japan,,1.9M
10,mania japansong @UCxFVJTRMGywDPDWNMrv69lg,6.1M,-,Japan,,1.8M
11,avex @UC1oPBUWifc0QOOY8DEKhLuQ,5.8M,-,Japan,,1.8M
12,Kendra's Language School @UCTYQzAi6YOcgv2mkzsfzmpA,5.4M,-,Japan,,1.6M
13,Jeamileth Doll @UCGX1Z6DakWkBqS2xbmMF0yA,5.4M,-,Japan,,1.6M
14,NAKATA UNIVERSITY @UCFo4kqllbcQ4nV83WCyraiw,4.9M,0.1%,Japan,,1.5M
15,ヒカル（Hikaru） @UCaminwG9MTO4sLYeC3s6udA,4.8M,0.4%,Japan,,1.4M
16,TWICE JAPAN OFFICIAL YouTube Channel @UCCRb6nYKaT8tzLA8CwDdUtw,4.6M,-,Japan,,1.4M
17,UNIVERSAL MUSIC JAPAN @UCl2aT0nRejTCQO_LHZAftBw,4.5M,-,Japan,Music,1.3M
18,BabyBusベビーバス - 子供の歌 - 子どもの動画 @UCwYFFFgr4wl5Oby8gBbAZzg,4.4M,-,Japan,,1.3M
19,SeikinTV @UCg4nOl7_gtStrLwF0_xoV0A,4.3M,0.3%,Japan,,1.3M
20,HidaMari Cooking @UCcp9uRaBwInxl_SZqGRksDA,4.3M,-,Japan,,1.3M
21,Gawr Gura Ch. hololive-EN @UCoSrY_IQQVpmIRZ9Xf-y93g,4.3M,-,Japan,,1.3M
22,水溜りボンド @UCpOjLndjOqMoffA-fr8cbKA,4.1M,-,Japan,,1.2M
23,ONE OK ROCK @UCzycs8MqvIY4nXWwS-v4J9g,4.1M,0.4%,Japan,,1.2M
24,【Repezen Foxx】 @UC3eTZ5Yld6qufD6rtEiERdw,4M,-,Japan,,1.2M
25,E ve @UCUXfRsEIJ9xO1DT7TbEWksw,4M,4.7%,Japan,,1.2M
26,Ayase / YOASOBI @ayase0404,4M,0.3%,Japan,,1.2M
27,takahashi taiyou @UC6K0hSHAJZ7sAp4IAbQ4GFw,4M,-,Japan,,1.2M
28,ノッカーナアニメーション nokkana animation @UClWQzKNJiiQy7VXaaSN1Z8A,3.9M,-,Japan,,1.2M
29,Ado @UCln9P4Qm3-EAY4aiEPmRwEA,3.9M,-,Japan,,1.2M
30,NHK @UCip8ve30-AoX2y2OtAAmqFA,3.9M,-,Japan,,1.2M
31,Kota Mino Channel / こたみのチャンネル @UCgSUwAyy0p1tcgDoQagvSOA,3.8M,-,Japan,,1.1M
32,Cafe Music BGM channel @UCJhjE7wbdYAae1G25m0tHAA,3.7M,-,Japan,Music,1.1M
33,Kan & Aki's CHANNELかんあきチャンネル @UCNHqosTdwFPSK5OQsjFoS5g,3.6M,-,Japan,,1.1M
34,kiwami japan @UCg3qsVzHeUt5_cPpcRtoaJQ,3.5M,2.4%,Japan,,1.1M
35,RRcherrypie @UCwnro7pVC3fDjVavLT_LAjQ,3.5M,-,Japan,,1M
36,エガちゃんねる EGA-CHANNEL @UCL6JY2DXJNDOIqCP1CRADng,3.5M,1.1%,Japan,,1M
37,Kamykazeplay @UCt1ZaPkkSYdI7IYi2gqUBsw,3.5M,-,Japan,,1M
38,桐崎栄二.きりざきえいじ @UCzKa8fRPoCbKh8O9yW2JK2g,3.4M,-,Japan,,1M
39,５分でできる DIY @UCJsxAriYBUnKZVdMXZnGDoA,3.4M,-,Japan,,1M
40,Miniature Space @UCTFT5NbDl0Fa_fE9Cz_yOAA,3.4M,-,Japan,,1M
41,Marina Takewaki @UCw7HTQv0F4CB9zGRhqosYsg,3.3M,-,Japan,,996K
42,The Anime Man @UC3ETCazlHenpXEsrEJH-k5A,3.3M,-,Japan,,981K
43,ポッキー @UCzXjPL7zo0bxhOYDxLJ9YEg,3.2M,0.1%,Japan,,972K
44,flor do oriente @UCDdUpOFP46mNC9lUNU01LGA,3.2M,-,Japan,,966K
45,料理研究家リュウジのバズレシピ @UCW01sMEVYQdhcvkrhbxdBpw,3.1M,0.1%,Japan,,942K
46,MosoGourmet 妄想グルメ @UC2zXd5Kq9Hu-_bwO1H7CD0g,3.1M,-,Japan,,933K
47,RATE VFX @UC8vlFSlvo5vtc_TNDNlSJwQ,3.1M,0.2%,Japan,,927K
48,A.I.Channel @UC4YaOt1yT-ZeyB0OmxHgolA,3.1M,2.3%,Japan,,921K
49,Official髭男dism @UC3vg17IZ1IV73xx069jG44w,3.1M,-,Japan,,915K
50,Smile Family Japanese @UCzyqD4zb3E1XBGMDp5YXwNw,3M,-,Japan,,909K
51,kobasolo @UCDbQblY1XASbgqOXmy6FOFQ,3M,-,Japan,,909K
52,Nekojitablog @nekojitablog,3M,0.4%,Japan,,906K
53,平成フラミンゴ @UCIOk-Q5kyDtSRaTIW7hIsng,3M,1.4%,Japan,,897K
54,Ryo Slime @UC-TE-L8bwaihKqA5oLuEyeA,3M,-,Japan,,891K
55,ＫＯＮＡＴＳＵ @UCEXKvSlUxUxiN33DyYxMpgA,3M,-,Japan,,885K
56,20sarasa @UC9D6GpfD8DAG-NVF6Dv896Q,2.9M,-,Japan,,870K
57,akidearest @UC_1HVMnw-610qx54iEiWk7A,2.9M,0.7%,Japan,,867K
58,ブライアンチャンネル @UCpZnHxjKCAOm-FKPrYYi-LA,2.9M,1.7%,Japan,,861K
59,Marble ASMR healing @UCsNwOM-iYxUkeIT3mW2RPZg,2.9M,-,Japan,,855K
60,Paolo fromTOKYO @UCixD9UbKvDxzGNiPC_fgHyA,2.9M,1.2%,Japan,,855K
