#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Bader Al Safar @baderalsafar,26M,-,Kuwait,Fashion and Accessories,7.8M
2,عباس | Abbas @abas.iiii,5.7M,-,Kuwait,Acting and Drama,1.7M
3,Q8wicked @q8wicked,1.8M,-,Kuwait,Funny,540K
4,بدر عطاالله 🇰🇼 @badratallah,1.4M,0.1%,Kuwait,,420K
5,يوسف المحمد | Yousef @yousef_almohmed,1.1M,0.1%,Kuwait,Fitness Celebrity,330K
6,امون التميمي 🖤 @aaltimim5,901.1K,-,Kuwait,Beauty,270.3K
7,بدر ماردلي @bader.102,881.2K,0.2%,Kuwait,,264.4K
8,Meme & shahad @meme_shahad,825.3K,0.1%,Kuwait,,247.6K
9,Mohamed Shaker @s1k9r,750.3K,0.4%,Kuwait,,225.1K
10,ابو إلياس العنزي مفسر الرؤى @abo_elias8,738.4K,0.1%,Kuwait,,221.5K
11,طارق العلي @tareq_al_ali,728.9K,0.1%,Kuwait,,218.7K
12,بطل الكويت 🇰🇼 بمهارات الكرة @wahabfreestyler,722.3K,-,Kuwait,,216.7K
13,ahmadalshqiri خواطر @ahmadalshqiri,690K,-,Kuwait,Life and Society,207K
14,Dana2019 @danasuliman2019,665.1K,0.1%,Kuwait,,199.5K
15,نورا @nwrh_02,656.1K,-,Kuwait,,196.8K
16,العالمي2020 @alaalamy_2020,632.1K,-,Kuwait,Beauty,189.6K
17,Ahmad AlMulla 🇰🇼 احمد الملا @ahmad_almulla_90,613.4K,-,Kuwait,,184K
18,Orkid 🌷 @orkid.ali,611K,0.1%,Kuwait,Arts and Crafts,183.3K
19,🇮🇳 ਗੈਰੀ ਸਾਬ 🇰🇼 @gahrysaab,605.6K,-,Kuwait,,181.7K
20,MIJAN @mijan..624,587.7K,-,Kuwait,,176.3K
21,غزل العبدالله 🎤 @hhaa88hd,581.9K,-,Kuwait,,174.6K
22,معاذ/moath @9bib,554.9K,0.2%,Kuwait,,166.5K
23,احمدالخطيب 🇸🇾🇰🇼 @ahmadlkatb,541.4K,0.1%,Kuwait,,162.4K
24,R___i @r___ifh,527.3K,0.1%,Kuwait,,158.2K
25,فاطمة العبدية @ftima367,524.7K,-,Kuwait,,157.4K
26,ألماس @alalmass,522.4K,0.1%,Kuwait,,156.7K
27,نادر الديحاني 🇰🇼🇰🇼 @q8xx8,520.8K,0.3%,Kuwait,,156.2K
