#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Amr Rady @amrrady14,206.6K,0.37%,Lebanon,Entertainment & Music,62K
2,Nawal El Zoghby - نوال الزغبي @nawalelzoghbi,183.2K,0.62%,Lebanon,Entertainment & Music,55K
3,Maguy Bou Ghosn - ماغي بو غصن @maguyboughosn,151.4K,0.69%,Lebanon,Acting & Drama,45.4K
4,CAROLE SAMAHA كارول سماحة @carolesamaha,132.7K,0.25%,Lebanon,Entertainment & Music,39.8K
5,LEBANESE WEDDINGS @lebaneseweddings,124.2K,0.27%,Lebanon,Romance & Wedding,37.3K
6,MTV Lebanon @mtvlebanon,119.7K,0.01%,Lebanon,Entertainment & Music,35.9K
7,JESSY ABDO @jessy_abdo,117.8K,0.74%,Lebanon,Fitness & Health,35.3K
8,Rasha Rizk رشا رزق @rasha_rizk,98.3K,1.15%,Lebanon,Entertainment & Music,29.5K
9,𝐏𝐚𝐧𝐝𝐨𝐫𝐚 𝐊𝐚𝐚𝐤𝐢 @pandorakaaki,95.6K,0.76%,Lebanon,Fashion & Accessories,28.7K
10,Aghani Aghani - أغاني أغاني @aghaniaghani,95.6K,0.19%,Lebanon,Entertainment & Music,28.7K
11,Nekat Lebanese +18 @nekatlebanese18,89.2K,0.43%,Lebanon,Food,26.8K
12,Cynthia Samuel Bakri @cynthiasam,64.9K,0.36%,Lebanon,Fashion & Accessories Entertainment & Music,19.5K
13,@sultan_x220,62.6K,0.42%,Lebanon,Fashion & Accessories Food Travel Auto and Vehicles,18.8K
14,Live Love Lebanon | Beirut 🇱🇧 @livelovebeirut,60.4K,0.57%,Lebanon,Life & Society,18.1K
15,Sandra kadri - ساندرا قدري @sandrakadri,59.7K,0.19%,Lebanon,Travel,17.9K
16,Najwa Zebian @najwazebian,57.3K,0.69%,Lebanon,Education,17.2K
17,LBCI Lebanon @lbcilebanon,52.8K,0.02%,Lebanon,Entertainment & Music News & Politics,15.8K
18,Alaa Nobel /آلاء نوبل @alaanobel,51K,0.63%,Lebanon,Fashion & Accessories Beauty & Self Care,15.3K
19,Stephanie Saliba ستيفاني صليبا @stephaniesalibaofficial,46K,0.28%,Lebanon,Acting & Drama,13.8K
20,Virgin Radio Lebanon @virginradiolebanon,45.2K,0.01%,Lebanon,Entertainment & Music,13.6K
21,Razan El Moghrabi @razanelmoghrabi,41.7K,0.34%,Lebanon,Entertainment & Music,12.5K
22,sahar khalil سحر خليل @saharkll,41.5K,0.42%,Lebanon,Beauty & Self Care,12.5K
23,Reina Khoury @reinakhoury,39.2K,1.09%,Lebanon,Entertainment & Music,11.8K
24,Najla Massaad نجلا مسعد @najlamassaad,35.8K,0.39%,Lebanon,Beauty & Self Care Entertainment & Music,10.7K
25,Mohannad Zaiter - مهند زعيتر @mohanad.zaiteer,33.9K,1.29%,Lebanon,Entertainment & Music,10.2K
26,Nader Al Atat @naderalatat,28.1K,0.83%,Lebanon,Entertainment & Music,8.4K
27,Al Hashim حسن هاشم @alhashimhasan,25.2K,-,Lebanon,family,7.6K
28,Dina Hodroj Nehme @dinahod,23.3K,0.14%,Lebanon,Beauty & Self Care,7K
29,SARA ANDARI // سارة @leanology,23.3K,0.72%,Lebanon,Fitness & Health,7K
30,Jacob Abrian @jacobabrian,23K,0.89%,Lebanon,Fashion & Accessories,6.9K
31,Eya 🧜‍♀️ @eya.naccache,21.5K,1%,Lebanon,,6.5K
32,Taha Al Assaad @taha.asaad,21.4K,0.45%,Lebanon,Fitness & Health Sports,6.4K
33,Farah @fafiabdelaziz,21.3K,0.3%,Lebanon,,6.4K
34,Nicolas Rahhal @hautecoutureglobal,21.2K,0.15%,Lebanon,Fashion & Accessories,6.4K
35,Sabine Nahas @sabinenahas,20K,0.16%,Lebanon,family Charity Food,6K
36,Annahar @annaharnews,19.7K,0.04%,Lebanon,News & Media,5.9K
37,Healthylicious by Sara @healthyliciousbysara,19.7K,0.18%,Lebanon,Food Fitness & Health,5.9K
38,Lebanon Times | ليبانون تايمز @lebanontimes,19.6K,0.13%,Lebanon,News & Politics,5.9K
39,"Samantha Yammine, PhD @science.sam",19.6K,0.69%,Lebanon,Education Science,5.9K
40,Elsa Zgheib إلسا زغيب @elsazgheib,18.4K,0.24%,Lebanon,Acting & Drama,5.5K
41,Cynthia سينتيا @cynthiakhalifeh,17.8K,0.06%,Lebanon,Acting & Drama Entertainment & Music,5.3K
42,GRACE WHITE @a_southerndrawl,17.8K,0.15%,Lebanon,Fashion & Accessories family Food Fitness & Health,5.3K
43,Carmen Lebbos @carmen_lebbos,17.4K,0.37%,Lebanon,Acting & Drama,5.2K
44,Lebanon 🇱🇧 @insta_lebanon,16.9K,0.9%,Lebanon,Travel,5.1K
45,Elie Abou Najem - إيلي أبو نجم @elieabounajem,16.9K,0.59%,Lebanon,Finance,5.1K
46,Tania Sarin Araradian @taniasarin,16.3K,0.5%,Lebanon,Education,4.9K
47,Nabila Nadim Awad @nabilaawad,15.9K,1.55%,Lebanon,News Entertainment & Music,4.8K
48,Diala Makki ديالا مكي @dialamakki,15.7K,0.14%,Lebanon,Entertainment & Music Fashion & Accessories,4.7K
49,Muhammad Baydoun - محمد بيضون | Food content creator @coachbeasteats,15.6K,0.2%,Lebanon,Food Travel Fitness & Health,4.7K
50,𝐿 𝓎 𝓃 𝓃 𝓃 @lynnmassoud_,15.6K,2.23%,Lebanon,Sports,4.7K
51,Carla Haddad. كارلا حداد @carlahaddadofficial,15.5K,0.36%,Lebanon,Acting & Drama,4.7K
52,Joe Trad / جو طراد @joetrad,15.4K,0.45%,Lebanon,Acting & Drama,4.6K
53,عبدالله صبرا-Abdallah Sabra @thecouplebites,15.1K,0.25%,Lebanon,Food,4.5K
54,Christina Chamoun @christinachamoun,15K,0.97%,Lebanon,Entertainment & Music,4.5K
55,beiruting.com @beiruting,13.9K,0.08%,Lebanon,Entertainment & Music Photography Travel,4.2K
56,amel carla @amelcarla,13.9K,0.49%,Lebanon,Fashion & Accessories,4.2K
57,Dr. Costi @dr.costi,13.8K,0.12%,Lebanon,Beauty & Self Care,4.1K
58,Magida El Dhaybi @magida__eldhaybi,13.8K,0.72%,Lebanon,Entertainment & Music,4.1K
59,Coco & Jay Offical Page @cocoandjayfashion,13.3K,0.03%,Lebanon,Fashion & Accessories,4K
60,Dalia hammoud داليا حمود @dodo7788,12.9K,0.04%,Lebanon,Acting & Drama,3.9K
61,Eliane KHAWAND | اليان خوند @eliane_khawand,12.7K,0.47%,Lebanon,Entertainment & Music,3.8K
62,Majida El Roumi @majidaelroumi,12.5K,0.57%,Lebanon,Entertainment & Music,3.8K
63,Jack Sleiman @jacksleiman,12.5K,0.19%,Lebanon,Entertainment & Music,3.8K
64,MAGLEBANON @maglebanon,12.1K,0.13%,Lebanon,Fashion & Accessories Travel,3.6K
65,DANY AZZAM @danyazzam,12K,0.07%,Lebanon,,3.6K
66,Manal Massoud @manal.massoud,12K,0.24%,Lebanon,Food,3.6K
67,Roadster Diner @roadsterdiner,11.6K,0.29%,Lebanon,Food,3.5K
68,Sarah Beydoun @sarahsbag,10.9K,-,Lebanon,Fashion & Accessories,3.3K
69,Dana Hallani @danahallani,10.7K,1.41%,Lebanon,Food,3.2K
70,Gino Raidy @ginoraidy,10.6K,0.46%,Lebanon,Nature Animals,3.2K
71,Rodolphhilal @rodolphhilal,10.3K,0.6%,Lebanon,Entertainment & Music Product Education,3.1K
72,Abdo Chahine عبدو شاهين @abdo_chahine,10.3K,-,Lebanon,Acting & Drama,3.1K
73,New In Beirut 🇱🇧 @newinbeirut,10.1K,0.11%,Lebanon,Travel Food,3K
74,Elie Ayrouth @bookofelie,9.9K,0.4%,Lebanon,Food,3K
75,Mabelle Chedid مابيل شديد @mabellechedid,9.4K,0.24%,Lebanon,Entertainment & Music,2.8K
76,Dua Molla Alrayess | دعاء ملا @dua.molla,9.2K,0.55%,Lebanon,Fashion & Accessories Beauty & Self Care,2.7K
77,Aya Taleb | Food Vlogger @ayaataleb,9.1K,0.3%,Lebanon,Food Education,2.7K
78,Dima Sadek 🌺🌺 ديما صادق @dimasadekofficial,8.7K,0.57%,Lebanon,Entertainment & Music,2.6K
79,Amadeus Sabra @amadeussabra,8.6K,0.12%,Lebanon,Beauty & Self Care Fashion & Accessories Photography Product Showcase,2.6K
80,Ali and Sara @theasnfamily,8.6K,0.35%,Lebanon,Auto and Vehicles Entertainment & Music,2.6K
81,Perla Helou | بيرلا حلو @perlahelou,8.3K,0.39%,Lebanon,Beauty & Self Care,2.5K
82,Rebecca Yammine Official @rebeccayamm,7.8K,1.12%,Lebanon,Entertainment & Music Arts & Crafts Funny Education,2.3K
83,Arabstotle @arab_lincoln,7.6K,0.73%,Lebanon,,2.3K
84,ألسي 💫ⓁⒸ @elsie.jbeily,7.6K,0.15%,Lebanon,Beauty & Self Care,2.3K
85,Arnaoon Village @arnaoonvillage,7.4K,0.11%,Lebanon,Travel Romance & Wedding Food,2.2K
86,Middle East Airlines @mea_airliban,7.3K,-,Lebanon,Travel,2.2K
87,𝐍𝐀𝐙𝐄𝐊 𝐀𝐋-𝐇𝐄𝐋𝐖𝐄 | ™💎نازك الحلوة @nazek_al_helweh,7.3K,0.13%,Lebanon,Fitness & Health Outdoor Activity Sports,2.2K
88,راغدة عماد يونس | Raghida @raghidayouness,7.2K,0.06%,Libanon,Bildung,2.2K
89,Chirine Cheaib | Pharmacist - Dietitian @chirinecheaib,6.9K,0.22%,Libanon,Fitness & Health Bildung,2.1K
90,Ranandrim🦋 @thehallanitwins,6.9K,0.07%,Libanon,Beauty & Self Care Fashion & Accessories,2.1K
91,McDonald's Lebanon @mcdonaldsleb,6.8K,0.46%,Libanon,Essen,2K
92,Joy Tassidis @joytassidis,6.8K,0.4%,Libanon,Essen Reisen,2K
93,Lebanese Basketball @lebbball,6.4K,0.27%,Libanon,Sport,1.9K
94,Carine Salameh Shalhoob🇱🇧 @carinesalameh,6.4K,0.28%,Libanon,Entertainment & Music Acting & Drama,1.9K
95,Lebanon Houses @lebanonhouses,6.3K,0.27%,Libanon,Home & Garden,1.9K
96,ساندي فرح @sandyfarahofficial,6.2K,0.28%,Libanon,Acting & Drama,1.8K
97,Yummy Lebanon Official @yummylebanon,6.1K,0.11%,Libanon,Essen,1.8K
98,G E O R G E S @tayyargeorges,6K,0.98%,Libanon,Bildung,1.8K
99,Gretta Taslakian @grettataslakian,6K,0.06%,Libanon,Fitness & Health Familie,1.8K
100,Lamia Abi Nader @lamiaabinader,5.9K,0.03%,Libanon,Fashion & Accessories,1.8K
