#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,leah @leahh,5.8M,-,Lebanon,Entertainment and Music,1.7M
2,karenwazen @karenwazen,3M,-,Lebanon,Beauty and Self Care,900K
3,Dory Zoughaib @doryzogheib,1.8M,-,Lebanon,Fashion and Accessories,540K
4,Nancy Ajram @nancyajram,1.7M,-,Lebanon,Entertainment and Music,510K
5,MOHAMAD HADID | محمد حديد @mohadidofficial,1.6M,0.1%,Lebanon,Fashion and Accessories,480K
6,Cyrineanour @cyrineanour,1.5M,-,Lebanon,Entertainment and Music,450K
7,ديدو 👑 سليم @didokcelim_official,1.3M,-,Lebanon,Entertainment and Music,390K
8,Pierre Dalati @dalatifitness,1.2M,-,Lebanon,Fitness and Health,360K
9,Its.assil @assilx0,1.2M,-,Lebanon,,360K
10,MAFIA🖤 @sophiaofficial99,1.1M,-,Lebanon,,330K
11,Akram Amin @reaction112,1M,-,Lebanon,,300K
12,rayan Bk @rayan_bohlok,995.4K,-,Lebanon,,298.6K
13,Smasher @bleizo1,992.9K,6.7%,Lebanon,,297.9K
14,Mohamad hammoud @mohamad.hammud,992.2K,0.1%,Lebanon,,297.7K
15,food_handcraft @food_handcraft,984.9K,0.1%,Lebanon,Food,295.5K
16,Sabineabz - سابين ابوزيد @sabineabz,970.4K,-,Lebanon,,291.1K
17,XDX @whoisxdx,942.4K,-,Lebanon,,282.7K
18,حسام الشامي @hussam_alshamie,937.8K,-,Lebanon,,281.3K
19,maysamdali @maysamdali,900.9K,0.2%,Lebanon,,270.3K
20,Ahmad Assi @ahmadddassii,886.2K,-,Lebanon,,265.9K
21,Taline👩🏻‍🍳 @k.family.official,874.6K,-,Lebanon,Food Travel Food and Drink,262.4K
22,Nat @nathalie_jaber,872.7K,-,Lebanon,Beauty,261.8K
23,Wassouf Star وسّوف ستَار @wassoufstar,872.5K,0.1%,Lebanon,,261.8K
24,Rakeen Saad @rakeensaad,869.3K,-,Lebanon,Acting and Drama,260.8K
25,Maya Hussein @mayahussein_,858.5K,0.1%,Lebanon,,257.6K
26,Fatima Makka @surprisevideos8,853.8K,-,Lebanon,,256.1K
27,Perlakawass🌸 @perlakawass,845.4K,-,Lebanon,,253.6K
28,Gaëlle🍭 @gaellexchalhoub,843.6K,-,Lebanon,,253.1K
29,najibkhoury @najibkhoury,829K,-,Lebanon,,248.7K
30,Najwa Karam @najwakaram,823.8K,0.1%,Lebanon,Music,247.1K
31,ريم السواس @reem_alsawas,819.6K,0.2%,Lebanon,Entertainment and Music Music,245.9K
32,barhom_98 @barhom_98,818.8K,0.2%,Lebanon,,245.6K
33,Ahmad Salamoun @ahmadsalamon,817.5K,-,Lebanon,Music,245.3K
34,Loujain💎لُجَيْن @loujy11,805.4K,-,Lebanon,,241.6K
35,Christelle Touma @christelletouma,804.6K,-,Lebanon,,241.4K
36,Dado zene @dado_zene,800.4K,-,Lebanon,,240.1K
37,Banin Chamas @banin_chamas,793.4K,-,Lebanon,Education,238K
38,Rashamagic🦋 @rasha_magic,785.5K,-,Lebanon,,235.7K
39,ALI KADOOR-علي قدور @alikadoor,768.6K,-,Lebanon,Product Education,230.6K
40,Ms.merhi @ms.merhi,765.8K,0.5%,Lebanon,,229.7K
41,Slemanaaji @slemanaaji,750.5K,-,Lebanon,,225.2K
42,Maryam @maryamztr,749.2K,-,Lebanon,,224.8K
43,Carole Samaha @carolesamaha,742.4K,-,Lebanon,,222.7K
44,Mariam Hamwe @mariamhamwe,741.9K,-,Lebanon,,222.6K
45,Nader @naderajib,740K,-,Lebanon,,222K
46,Yasmin Chehab @ysmnchhb,722.5K,0.1%,Lebanon,,216.8K
47,تكر الخال🇱🇧 @tokar_700,718.5K,0.5%,Lebanon,,215.6K
48,محمود Mahmoud Hachem stücker @mhs.dk,702K,-,Lebanon,,210.6K
49,Myriam Fares @myriamfarestr,698.9K,-,Lebanon,,209.7K
50,DANIA ⚡️ @daniakob,695K,-,Lebanon,Beauty and Self Care,208.5K
51,🔥🔥فرن الحارة🔥🔥 @warmoven2,694.8K,-,Lebanon,,208.4K
52,cynthia basbous @cynthiabasbous,693.3K,-,Lebanon,,208K
53,Plan LB @planlb,681.8K,-,Lebanon,Funny,204.5K
54,المشهور @ootbh,667.9K,0.1%,Lebanon,,200.4K
55,Mariamabedali @mariamabedalii,667.3K,-,Lebanon,Beauty and Self Care,200.2K
56,𝙃𝙖𝙨𝙨𝙖𝙣 𝙈𝙚𝙧𝙝𝙞 @hassan.merhi0,666.9K,-,Lebanon,,200.1K
57,Joya Chahine @joyachahine22,664K,0.1%,Lebanon,,199.2K
58,ahmad.rifa3i @ahmad.rifa3i,660.2K,-,Lebanon,,198.1K
59,Cars_4arab🚘 @car._04,659.2K,0.1%,Lebanon,Auto and Vehicles,197.8K
60,Mamas Joy @mamasjoy,659K,-,Lebanon,Food and Drink,197.7K
61,Maha Ftouni @mahaftouni,655.7K,0.1%,Lebanon,,196.7K
62,Raya Abirached @rayaofficial,655K,-,Lebanon,,196.5K
63,Linda Harb @lindayaghiharb,647.4K,-,Lebanon,Entertainment and Music Funny,194.2K
64,Hass Abdul @hassabdul,623.8K,0.1%,Lebanon,,187.1K
65,Nancy/نانسي @nancyhouranii,606.4K,-,Lebanon,Entertainment and Music,181.9K
66,Joune @tallskinnyali,604.5K,-,Lebanon,,181.4K
67,Chirine Cheaib @chirinecheaib,597.3K,-,Lebanon,,179.2K
68,Dance with Patricia @dancewithpatricia,590.8K,0.6%,Lebanon,,177.2K
69,atyabtabkha @atyab.tabkha,587K,-,Lebanon,,176.1K
70,ghida @ghiidzz,583.8K,-,Lebanon,,175.1K
71,lol @stiles.._..0,583.6K,-,Lebanon,,175.1K
72,Mimo @mimo8484,576.4K,-,Lebanon,,172.9K
73,Arab rapunzel👸🏽 @saraashkarr,569.5K,-,Lebanon,,170.9K
74,Maya🌻 @horrorjabi,567.6K,0.1%,Lebanon,,170.3K
75,aya @aya.sis,567.5K,-,Lebanon,,170.3K
