#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Luisillo El Pillo @luisitocomunica,1.5M,3.79%,Mexico,Entertainment & Music Funny,459.1K
2,Juanpa Zurita @juanpazurita,850.7K,0.42%,Mexico,Entertainment & Music,255.2K
3,Franco Escamilla @francoescamillaoficial,828.5K,-,Mexico,Entertainment & Music,248.6K
4,Angelique Boyer @angeliqueboyer,667.2K,1.31%,Mexico,Entertainment & Music Fashion & Accessories,200.2K
5,domelipa @domelipa,617.6K,0.24%,Mexico,Entertainment & Music,185.3K
6,Maite Perroni Beorlegui @maiteperroni,617.2K,0.63%,Mexico,Entertainment & Music,185.2K
7,Rivers @samyrivera,580.2K,-,Mexico,Entertainment & Music Funny,174K
8,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ 𝕕 𝕖 𝕣 𝕓 𝕖 𝕫 @aislinnderbez,578.9K,0.24%,Mexico,Entertainment & Music,173.7K
9,Dulce Maria @dulcemaria,564.7K,0.88%,Mexico,Entertainment & Music,169.4K
10,GERMAN @germangarmendia,542.7K,2.41%,Mexico,Entertainment & Music,162.8K
11,✨LA DIVAZA✨ @ladivaza,479.8K,1.73%,Mexico,Entertainment & Music Fashion & Accessories,143.9K
12,Yanet Garcia 🇲🇽 @iamyanetgarcia,430K,0.94%,Mexico,Entertainment & Music Fitness & Health Education,129K
13,Selección Nacional de México @miseleccionmx,338.1K,0.61%,Mexico,Sports,101.4K
14,BARBARA DE REGIL SCHOENWALD 🤍 FIT @barbaraderegil,337.5K,0.29%,Mexico,Fitness & Health,101.2K
15,♡sofia castro @sofiaalcastro,320.6K,0.67%,Mexico,Entertainment & Music,96.2K
16,MONT @mont.pantoja,309K,1.07%,Mexico,Fashion & Accessories,92.7K
17,Celia Lora @celi_lora,303.7K,0.53%,Mexico,,91.1K
18,Karime Pindter @karimepindter,279.7K,0.34%,Mexico,Business Fashion & Accessories Fitness & Health Travel,83.9K
19,Federico Vigevani @fedevigevani,268.3K,1.89%,Mexico,Entertainment & Music,80.5K
20,Dania Mendez @dania.mndz,253.3K,0.31%,Mexico,,76K
21,Brenda Zambrano 🍒 @brendazambranoc,247.5K,0.33%,Mexico,Fashion & Accessories,74.2K
22,KAREN BARRERA @karenbarrera,232.9K,0.47%,Mexico,Fashion & Accessories,69.9K
23,Martha Higareda @marthahigareda,229.7K,0.44%,Mexico,Entertainment & Music,68.9K
24,IRRAEL GOMEZ @irrael,224.7K,0.2%,Mexico,Business Marketing,67.4K
25,Mario Aguilar 👑 @marioaguilarmg,206.9K,0.14%,Mexico,Entertainment & Music Funny,62.1K
26,Samuel García @samuelgarcias,197.1K,0.39%,Mexico,Politics Government,59.1K
27,Club América @clubamerica,193.8K,0.48%,Mexico,Sports,58.1K
28,Frases Y Pensamientos ♾ @tipicosmomentos,185.5K,0.69%,Mexico,Life & Society,55.6K
29,Michel Chavez @its.michhh,179.5K,0.62%,Mexico,Entertainment & Music,53.8K
30,Alan por el Mundo @alanxelmundo,177.4K,0.97%,Mexico,Travel,53.2K
31,Chivas @chivas,176.7K,2.59%,Mexico,Sports,53K
32,SNOW THA PRODUCT @snowthaproduct,157.5K,0.4%,Mexico,Entertainment & Music,47.3K
33,Andres Zurita @andymtzurita,152.9K,1.79%,Mexico,Fashion & Accessories Travel,45.9K
34,KAROL SEVILLA @karolsevillaofc,148.7K,1.34%,Mexico,Entertainment & Music,44.6K
35,♡ DanyanCat 🐱 @danyancatsq,147.4K,1.62%,Mexico,Entertainment & Music,44.2K
36,Esen Alvarado @esen_alva,147K,1.57%,Mexico,Entertainment & Music,44.1K
37,kiwilimón @kiwilimon,144.4K,0.26%,Mexico,Food,43.3K
38,Cinéfilos 🎬 @cinefilosoficial,143.5K,0.42%,Mexico,Entertainment & Music Education,43K
39,Gerardo Ortiz @gerardoortizoficial,142.5K,0.71%,Mexico,Entertainment & Music,42.7K
40,Juan Pablo Jaramillo @juanjaramilloe,141.8K,0.23%,Mexico,Entertainment & Music Romance & Wedding,42.5K
41,E! Latin America @eonlinelatino,141.8K,0.04%,Mexico,Entertainment & Music,42.5K
42,Pao Castillo✨ @paocastillooficial,137K,0.22%,Mexico,,41.1K
43,Natalia Juarez @nattaliajz,135.6K,0.36%,Mexico,Entertainment & Music Funny,40.7K
44,Fernando Del Rincon @fdelrincon,134.7K,0.11%,Mexico,Entertainment & Music,40.4K
45,Lupita Anaya @soylupitaanaya,129.9K,1.26%,Mexico,Fashion & Accessories,39K
46,Forbes México @forbesmexico,126.8K,0.04%,Mexico,Finance,38K
47,Karen Torres @xkarentorresx,125.9K,0.87%,Mexico,Fashion & Accessories Beauty & Self Care,37.8K
48,Ximena Navarrete @ximenanr,125.8K,0.31%,Mexico,Fashion & Accessories Beauty & Self Care,37.7K
49,MICHELLE RODRÍGUEZ @michihart,125.1K,0.18%,Mexico,Entertainment & Music,37.5K
50,Melissa @melissa.lrc,124.3K,-,Mexico,Entertainment & Music,37.3K
51,Vogue México y Latinoamérica @voguemexico,122.9K,0.32%,Mexico,Fashion & Accessories,36.9K
52,AnaBrenda @anabreco,122.8K,0.48%,Mexico,family,36.8K
53,Maya Nazor @nazormaya,120.9K,1.65%,Mexico,Fashion & Accessories,36.3K
54,Pipepunk @ivnnghtmr,118.3K,2.73%,Mexico,Fitness & Health,35.5K
55,BRIGGI B @briggi_bozzo,117K,0.29%,Mexico,Funny,35.1K
56,𝕍 𝕒 𝕕 𝕙 𝕚 𝕣 𝔻 𝕖 𝕣 𝕓 𝕖 𝕫 @vadhird,115.4K,-,Mexico,Fashion & Accessories,34.6K
57,Pepe Aguilar 🇲🇽 @pepeaguilar_oficial,114.7K,0.26%,Mexico,Entertainment & Music,34.4K
58,RobertoCein 😼 @robertocein,114K,3.53%,Mexico,Entertainment & Music,34.2K
59,𝙴𝚁𝙸𝙲𝙺 𝙴𝙻𝙸𝙰𝚂 @erickelias,111.3K,0.4%,Mexico,Fashion & Accessories,33.4K
60,Luis Torres 🐆 @ltorresbeauty,109.4K,1.01%,Mexico,Beauty & Self Care,32.8K
61,D E S I • P E R K I N S @desiperkins,107.2K,0.73%,Mexico,Beauty & Self Care,32.2K
62,vanne amador ◡̈ @vanneamador_,104.8K,0.26%,Mexico,Fashion & Accessories,31.4K
63,Santiago PerezGrovas @santiagopgm,104.5K,0.57%,Mexico,Arts & Crafts Photography,31.4K
64,legnahernandez @legnahernandez,104.4K,0.23%,Mexico,Entertainment & Music,31.3K
65,ROGER GONZALEZ @rogergzz,102.2K,0.22%,Mexico,Entertainment & Music,30.7K
66,Isaias Espinoza @chef.en.proceso,102.1K,0.74%,Mexico,Food,30.6K
67,KabaOficial | Cuidado natural @kabaoficial,101.5K,0.03%,Mexico,Beauty & Self Care Product Showcase,30.4K
68,Charles Skinny @charlesans,99.7K,1.28%,Mexico,Entertainment & Music Acting & Drama,29.9K
69,SHEIN.COM.MX @shein_mex,99.6K,-,Mexico,Fashion & Accessories,29.9K
70,CUCO @cucopuffs,98.2K,1%,Mexico,Entertainment & Music Funny,29.5K
71,Arturo Islas Allende @arturoislasallende,96.8K,0.29%,Mexico,Nature,29K
72,Innvictus @innvictusmx,96.2K,0.09%,Mexico,Fashion & Accessories Fitness & Health,28.9K
73,Sofia Larios @sofialarios,95.5K,0.27%,Mexico,Fitness & Health Education,28.6K
74,Alex Montiel @alexmonthy,94.7K,0.76%,Mexico,Entertainment & Music Funny,28.4K
75,ALGODECHICAS! @algodechicas,94.5K,1.65%,Mexico,Beauty & Self Care,28.4K
76,♚Original Mexican Problems♚ @mexicansproblemas,93.9K,0.81%,Mexico,Funny Life & Society,28.2K
