#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Kimberly Loaiza @kimberly.loaiza,76.1M,1.6%,Mexico,,22.8M
2,Michel Chavez @its.michhh,30.2M,-,Mexico,,9.1M
3,Mario Aguilar @marioaguilar,16.3M,-,Mexico,Entertainment and Music,4.9M
4,Juanpa Zurita @juanpazurita,12.9M,-,Mexico,Entertainment and Music,3.9M
5,✨B I A N C A O S S✨ @soybiancaoss,10.9M,0.4%,Mexico,,3.3M
6,Andy George @andysistar407,10.8M,0.1%,Mexico,,3.2M
7,Calixto Serna @mexicocookingclub,10.5M,0.1%,Mexico,Food,3.2M
8,Rosalinda Salinas @rosy.salinass,10.2M,-,Mexico,,3.1M
9,Karleshion @karladelatorre97,10.2M,1.3%,Mexico,,3.1M
10,Eddie @sauceddie,10.2M,1.5%,Mexico,Celebrity,3.1M
11,Ely Blancarte @elyblancarte,9.9M,0.2%,Mexico,,3M
12,Antonyviews✌🏼 @antonyviews,9.8M,-,Mexico,,2.9M
13,Jason Thores @jasonthores,9.6M,-,Mexico,Entertainment and Music,2.9M
14,Babo Cartel de Santa @babo_cds,9.2M,0.1%,Mexico,Entertainment and Music,2.8M
15,Audrey Ochoa @audrey_8a,8.9M,-,Mexico,Life and Society,2.7M
16,Ara y Fer @arayfer_ha,8.8M,-,Mexico,Entertainment and Music Funny,2.6M
17,Antrax 💎 @yosoyantrax,8.5M,1.9%,Mexico,Entertainment and Music Animation and Cosplay,2.6M
18,Dani Universe @daniuniverse,8.3M,-,Mexico,Entertainment and Music,2.5M
19,Kaia Lana @kaialana,7.8M,-,Mexico,,2.3M
20,Choox TV @edgardumali,7.7M,-,Mexico,Fashion and Accessories,2.3M
21,X I M E P O N C H ◡̈ @ximeponch,7.6M,0.2%,Mexico,Fashion and Accessories,2.3M
22,exi sosa 👑 @exi_sosa,7.5M,-,Mexico,Acting and Drama Entertainment and Music,2.3M
23,ElRufas @elrufas,7.4M,-,Mexico,,2.2M
24,Los ADN @losadnmx,7.2M,-,Mexico,,2.2M
25,BETO @beto.locuras,7.1M,-,Mexico,,2.1M
26,OZKAR @ozkar___,7M,-,Mexico,Education Entertainment and Music,2.1M
27,Omar Chaparro @omarchaparrooficial,6.7M,-,Mexico,Acting and Drama Celebrity,2M
28,JESUSNALGAS @jesusnalgas,6M,4.7%,Mexico,Entertainment and Music Funny,1.8M
29,Sabina Hidalgo @sabyhidalgo,5.8M,0.2%,Mexico,,1.7M
30,Javier Cazarez @javiercazarez,5.6M,0.1%,Mexico,,1.7M
31,Me Caigo de Risa @mecaigoderisaof,5.5M,-,Mexico,Entertainment and Music Funny,1.7M
32,Vive México @vive.mexico,5.4M,-,Mexico,,1.6M
33,Larry Hernandez @larrymania,5.3M,-,Mexico,Entertainment and Music,1.6M
34,Jordan Álvarez @jordanalvarezz,5.2M,0.2%,Mexico,Education,1.6M
35,Pao Castillo 🔥 @paocastillooficial,5.1M,-,Mexico,,1.5M
36,violetaisfel @violetaisfel,5M,-,Mexico,,1.5M
37,NIURKA MARCOS @niurka.oficial,5M,-,Mexico,Entertainment and Music,1.5M
38,Basi @basii_17,4.9M,-,Mexico,,1.5M
39,Fabiola 🔥 @_amablack_,4.8M,-,Mexico,Entertainment and Music,1.4M
40,Cepillintv Oficial @cepillintv,4.8M,-,Mexico,Entertainment and Music,1.4M
41,ivanna :) @ivanna_perez,4.4M,-,Mexico,,1.3M
42,"Javier ""Chicharito"" Hernández @chicha14_",4.4M,-,Mexico,Sports,1.3M
43,Sebas Mariscal @sebasmariscal,4.4M,-,Mexico,Photography,1.3M
44,Carlos Rivera @_carlosrivera,4.3M,-,Mexico,Entertainment and Music,1.3M
45,Yordi Rosado @yordirosadoo,4.2M,-,Mexico,Entertainment and Music family,1.3M
46,Fabiola Guajardo @fabiolagdo,4.2M,-,Mexico,,1.3M
47,Ian Sánchez @ianzech,4.1M,-,Mexico,,1.2M
48,Gala montes @galamontes_,4.1M,-,Mexico,,1.2M
49,Brandon Vela🦋 @brandon.vela,3.9M,-,Mexico,,1.2M
50,Alfredito Komander @alfreditokomander,3.9M,-,Mexico,Entertainment and Music,1.2M
51,Arta @artamios,3.8M,-,Mexico,Life and Society Arts and Crafts Entertainment and Music,1.1M
52,Doc Laura Salazar @doclaurasalazar,3.8M,6.2%,Mexico,,1.1M
53,Tavo Betancourt @betancourttavo,3.8M,-,Mexico,Entertainment and Music,1.1M
54,JUANFE @juanfecastrob,3.7M,-,Mexico,Education,1.1M
55,Esen @esen_alva,3.6M,0.1%,Mexico,,1.1M
56,Alejandra Cadena @its.alejandra.cadena,3.6M,-,Mexico,Travel,1.1M
57,ABRAHAM @abrahamzarazua,3.4M,-,Mexico,,1M
58,Рикардо ПЕРЕЗАГРУЗКА @riiccardo_,3.4M,-,Mexico,Life and Society DIY and Life Hacks,1M
59,EL GUERO MP @el_guero_mp,3.4M,-,Mexico,Business and Finance,1M
60,Sabrina Salvatierra Caballero @sabrinasalvatierrra,3.3M,-,Mexico,,990K
61,VochoAmarilloTV @vochoamarillo,3.3M,-,Mexico,Auto and Vehicles,990K
62,david_frimzy @david_frimzy,3.3M,-,Mexico,Entertainment and Music,990K
63,Stefany Chavez @stefanychavez_08,3.2M,-,Mexico,,960K
64,Julian Hollman @julianomanuelo98,3.1M,-,Mexico,,930K
65,Lic.dacor @lic.dacor,3.1M,0.1%,Mexico,Finance Business and Finance,930K
66,Juanpa @juanpaurt,3.1M,-,Mexico,Entertainment and Music,930K
67,Xavierfloresoficial @xavierfloresoficial,3.1M,-,Mexico,,930K
68,Santi Chávez ✨ @santiagochavezirus,3.1M,-,Mexico,Finance,930K
69,ELSEXY @ff.elsexy,3M,-,Mexico,Entertainment and Music,900K
70,Rafa Calva @jirafita_oficial,2.9M,-,Mexico,,870K
71,Desiree Montoya❤️ @dxddy._.desi,2.9M,-,Mexico,,870K
72,Yubeili @omaryubeili,2.8M,-,Mexico,Arts and Crafts,840K
73,💙 Gothzitha 💙 @gothzitha,2.8M,-,Mexico,Entertainment and Music,840K
74,Dieu Snake @dieusnake,2.7M,-,Mexico,,810K
75,Roy Mata Paramedic @roymata01,2.7M,-,Mexico,,810K
76,Faithy K🌶 @faithhousley,2.7M,-,Mexico,,810K
77,Lizeth Pérez @lizethperezr_,2.6M,-,Mexico,Entertainment and Music,780K
78,Danielaibt @danielagonzalezmx,2.6M,-,Mexico,Music,780K
79,Regina Ruiz Carrillo @reginar_carrillo,2.6M,-,Mexico,Entertainment and Music,780K
80,Zach Morris @zacmorriss_,2.6M,-,Mexico,Education,780K
81,meli ☻ @melissavidales_,2.5M,-,Mexico,,750K
82,Luis Terán @iluisteran,2.5M,-,Mexico,,750K
83,Samuel Castelli @samuelcastelli,2.5M,-,Mexico,,750K
84,Armando Saucedo @armandosaucedo_,2.4M,-,Mexico,,720K
85,BANDA MS @banda_ms,2.4M,-,Mexico,,720K
86,Loïc Suberville @loicsuberville,2.4M,0.5%,Mexico,,720K
87,Rulomart Hotmart TikTok México @rulomart,2.4M,-,Mexico,Entertainment and Music,720K
88,Estefi Merelles @estefimerelles,2.4M,-,Mexico,Acting and Drama,720K
89,Claus @clausmaluf,2.2M,-,Mexico,Entertainment and Music,660K
90,𝓝𝓪𝓽𝓽 @nattraunmsse,2.1M,-,Mexico,,630K
91,🌈Soy Pam Art🎨 @soypamart,2.1M,-,Mexico,Arts and Crafts,630K
92,Guero Valle @guerovalle,2.1M,-,Mexico,,630K
93,Lando Gomez🐼🍃 @landogomez,2M,-,Mexico,Entertainment and Music,600K
94,Ninel Conde @ninelconde,2M,-,Mexico,Entertainment and Music Acting and Drama,600K
95,karyme Hernández @karyme_hc,2M,-,Mexico,Romance and Wedding,600K
96,ItsBrendis @itsbrendis,2M,-,Mexico,,600K
97,Thalía Jiménez @thaliaajd,2M,-,Mexico,Beauty and Self Care,600K
98,CHSENZA @chsenza,2M,-,Mexico,,600K
99,Juan Carlos Vega @gastrovinos,2M,-,Mexico,Food,600K
100,Silvia Olmedo @silviaolmedooficial,1.9M,0.1%,Mexico,Education,570K
