#,الاسم,المتابعون,معدل الارتداد,الدولة,موضوع التأثير,مدى الإمكانية,حفظ,دعوة للانضمام إلى الحملة
1,Saad Lamjarred | سعد لمجرد @UC9hJ5XcjHXYjwDOqrlQUuow,13.9M,0.8%,المغرب,,4.2M,,عرض الملف الشخصي
2,Experienced Mojaraba TV @UCCvguzToWt3PYumFPRusUKg,10.8M,-,المغرب,,3.2M,,عرض الملف الشخصي
3,هل تعلم؟ @UCa7lQu3RM6p88h4KOfTpqWA,9M,-,المغرب,,2.7M,,عرض الملف الشخصي
4,2MTV @UClozwh5URilIQpDFeXch8qw,7.5M,-,المغرب,Television,2.3M,,عرض الملف الشخصي
5,WHITE444 YT @UCI14hkaiRn8cJl-bSZGmSuw,5.5M,-,المغرب,,1.7M,,عرض الملف الشخصي
6,Misaha | مساحة @UCAHfrKOebWz6_23eKKm9vqw,5.2M,-,المغرب,,1.6M,,عرض الملف الشخصي
7,إستفد @UCkFYKn7RditA-BnWCTxJvMg,5.2M,-,المغرب,,1.6M,,عرض الملف الشخصي
8,موقع الشيخ عبد الباسط عبد الصمد @UCoD5-Dk95rFMtk5iCXqak6w,5.1M,-,المغرب,,1.5M,,عرض الملف الشخصي
9,الطريق إلى الجنة Road to Heaven @UCyiOlgJIOwK_gSNB9R8ATFg,4.7M,-,المغرب,,1.4M,,عرض الملف الشخصي
10,halawiyat karamilla حلويات كراميلا @UCfhOpHNCA8nUq4_hQQr_QNQ,4.3M,-,المغرب,,1.3M,,عرض الملف الشخصي
11,Jamal Alpha @UCsqemzGBSJryRUmjp2M_jjQ,4.2M,0.2%,المغرب,,1.3M,,عرض الملف الشخصي
12,قناة المحترف | Almohtarif channel @UCO58fldVogtwlz7c2PTeWrg,4.1M,-,المغرب,,1.2M,,عرض الملف الشخصي
13,Baraka lBaraka @UC68yhEwJBSFt8UcWy-dDA-g,3.8M,-,المغرب,,1.1M,,عرض الملف الشخصي
14,RECIPES FOR YOU @UCq6akguHzmPR6dqIqhuUIAA,3.7M,0.1%,المغرب,,1.1M,,عرض الملف الشخصي
15,HEROSHIMA YT @UCKbA2ZlS_vEDtuzZlbg1ypw,3.6M,0.3%,المغرب,,1.1M,,عرض الملف الشخصي
16,هل تعلم؟ علوم وتكنولوجيا @UCqTkFz1f2q2-nwpTekI0_UQ,3.6M,-,المغرب,,1.1M,,عرض الملف الشخصي
17,Fayssal Vlog @UCH_XMDSC8K696kE6I0x5D8Q,3.4M,-,المغرب,,1M,,عرض الملف الشخصي
18,Ramadan Al Aoula TV @UC-do1UFNFVRhFA20k1izktQ,3.3M,0.1%,المغرب,,993K,,عرض الملف الشخصي
19,English Language Academy @UC7HhSlh-QbL9626A_mM4DRg,3.1M,-,المغرب,,924K,,عرض الملف الشخصي
20,مجلة لماذا؟ @UCi01XlFR8ZGuqQXlNMLZZEw,3.1M,-,المغرب,,915K,,عرض الملف الشخصي
21,Belmirs | بلمير @UCZ5tjhLSLd6L4Te0wnTG2FA,3M,-,மாரக்கோ,,903K,,சுயவிவரத்தைப் பார்க்க
