#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Memphis Depay @memphisdepay,17M,1.06%,Netherlands,Sports Soccer,5.1M
2,Martin Garrix @martingarrix,15.6M,1.29%,Netherlands,Entertainment and Music DJ Music Producers,4.7M
3,Frenkie de Jong @frenkiedejong,12.8M,0.1%,Netherlands,Sports,3.9M
4,Max Verstappen @maxverstappen1,11.5M,3.69%,Netherlands,Sports Auto and Vehicles Racing,3.5M
5,Hakim Ziyech @hziyech,10.6M,8.53%,Netherlands,Sports Soccer Modeling,3.2M
6,Doutzen Kroes @doutzen,8.7M,0.39%,Netherlands,Fashion and Accessories Modeling,2.6M
7,AFC Ajax @afcajax,8.4M,0.3%,Netherlands,Sports Soccer,2.5M
8,Romee Strijd @romeestrijd,8.3M,0.83%,Netherlands,family Beauty and Self Care Modeling Fashion Model,2.5M
9,Negin Mirsalehi @negin_mirsalehi,7.2M,0.14%,Netherlands,Beauty and Self Care Fashion and Accessories Business and Finance Styling,2.2M
10,Georginio (Gini) Wijnaldum @gwijnaldum,6.1M,1.04%,Netherlands,Sports Music,1.8M
11,•Melisa Aslı Pamuk• @melisapamuk,5.4M,3.09%,Netherlands,Beauty and Self Care Fashion and Accessories Celebrity Actors,1.6M
12,Xavi Simons @xavisimons,5.3M,5.59%,Netherlands,Sports Soccer,1.6M
13,Robin van Persie @robinvanpersie,5.1M,1.1%,Netherlands,Sports,1.5M
14,Armin van Buuren @arminvanbuuren,4.3M,0.53%,Netherlands,Entertainment and Music Modeling,1.3M
15,Jutta Leerdam @juttaleerdam,4.2M,3.31%,Netherlands,Sports Modeling,1.3M
16,Diya Mukherjee @diya_mukherjee_official_,4.1M,1.06%,Netherlands,Beauty and Self Care Fashion and Accessories,1.2M
17,YOLANDA @yolanda.hadid,3.8M,1.67%,Netherlands,Beauty and Self Care Fashion and Accessories family Moms,1.1M
