#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,•Melisa Aslı Pamuk• @melisapamuk,178.1K,-,Netherlands,Beauty & Self Care Fashion & Accessories,53.4K
2,ARCHDOSE @archdose,42.4K,1.01%,Netherlands,Arts & Crafts,12.7K
3,Malakai Black @malakaiblxck,36.6K,0.4%,Netherlands,Sports,11K
4,SERHAT ŞEN @serhatsenn,34K,0.39%,Netherlands,Beauty & Self Care,10.2K
5,ZAEHD❄️🏂🌨🌎 @zaehd,26.3K,0.36%,Netherlands,Music Entertainment & Music,7.9K
6,Brandon Schram @b.motiv8ed,23.5K,0.33%,Netherlands,Fitness & Health,7.1K
7,ARDEN | TRAVEL PHOTOGRAPHY @arden_nl,23.5K,0.45%,Netherlands,Arts & Crafts,7.1K
8,Surbhi Kaushik @surbhikaushik,21.2K,0.61%,Netherlands,Photography Travel,6.4K
9,Fedde Le Grand 🎧 DJ & Producer @feddelegrand,20.2K,0.27%,Netherlands,Entertainment & Music Food,6.1K
10,Marcos Senesi 🇦🇷 @marcosenesi,12.9K,0.74%,Netherlands,Sports,3.9K
11,Alânika Joyería @alanika,9.7K,0.03%,Netherlands,Fashion & Accessories Beauty & Self Care,2.9K
12,Sara Randall | Sights Of Sara @sightsofsara,9K,0.34%,Netherlands,Travel,2.7K
13,@sohniahmed,8.6K,-,Netherlands,Entertainment & Music Arts & Crafts,2.6K
14,ılgın özdoğan @ilginozdogan,8.6K,0.28%,Netherlands,Entertainment & Music,2.6K
15,Natalie La Rose @natalielarose,8.2K,0.38%,Netherlands,Entertainment & Music Acting & Drama,2.5K
16,ANDERSON SANTOS 🌈 @andersonbeimer,7.1K,0.14%,Netherlands,Arts & Crafts Product Showcase Auto and Vehicles,2.1K
17,Didem Parlak @fitfikirler,6.6K,0.03%,Netherlands,Fitness & Health,2K
18,Ed Templeton @ed.templeton,6.6K,0.41%,Netherlands,Arts & Crafts,2K
19,Bruce Roeland @roelandbruce,6.3K,3.18%,Netherlands,Travel,1.9K
20,Philips @philips,5.7K,-,Netherlands,Auto and Vehicles Product Showcase,1.7K
21,د. علي المهنا Dr. Ali Al Muhanna | تجميل أسنان @dentesto,5.6K,0.96%,Netherlands,Beauty & Self Care Product Education,1.7K
22,Lauren Lewis @laurenlewiss_,5.2K,0.08%,Netherlands,Fashion & Accessories Arts & Crafts,1.6K
23,Red Bull Netherlands @redbullned,5K,-,Netherlands,Sports,1.5K
24,Chris @filmmkrchris,4.7K,0.29%,Netherlands,Entertainment & Music,1.4K
25,BSNO @bsno,4.5K,0.67%,Netherlands,Entertainment & Music,1.4K
26,Hodan Yusuf @hodan.ysf,4.5K,0.37%,Netherlands,family Beauty & Self Care,1.3K
27,CKCreative @_ckcreative_,4.4K,0.6%,Netherlands,Arts & Crafts,1.3K
28,Sophia Molen ⭑ LISBON @sophiamolen,4.4K,0.51%,Netherlands,Beauty & Self Care Travel,1.3K
29,•Maiza • @maiza.tattoos,4.3K,0.08%,Netherlands,Arts & Crafts,1.3K
30,Lizzy Parkin @flossys_wonderland,4.2K,0.3%,Netherlands,Travel,1.2K
31,Elena Lin @elenalinnn,3.9K,1.66%,Netherlands,Education Product Education,1.2K
32,Frederique Matti 🎨 @frederique.png,3.9K,0.74%,Netherlands,Arts & Crafts,1.2K
33,FC Groningen @fcgroningen,3.6K,0.25%,Netherlands,Sports,1.1K
34,Eddie van der Meer @eddievandermeer_,3.5K,0.59%,Netherlands,Entertainment & Music,1.1K
35,Selena Taylor | Travel @finduslost,3.3K,0.3%,Netherlands,Travel Photography,978
36,Kenan YILDIRIM @gezmelerdeyim,3.2K,0.06%,Netherlands,Food Travel Life,960
37,Etem Uyar @ieuyar,3.2K,0.69%,Netherlands,Photography Outdoor Activity,951
38,Pulitzer Amsterdam @pulitzer.amsterdam,3.1K,1.14%,Netherlands,Travel Home & Garden,921
39,Mr. Belt & Wezol @mrbeltandwezol,2.9K,-,Netherlands,Entertainment & Music,882
40,Shreya Kalra| Fashion blogger @shreyakalra1,2.9K,0.1%,Netherlands,Pets Travel Entertainment & Music family,873
41,Aleksandr Chernov @alexanderchernov,2.8K,-,Netherlands,Life & Society,834
42,celeste evans @celmatique,2.7K,0.21%,Netherlands,Fashion & Accessories,804
43,Angela Onuoha @curlbellaa,2.6K,0.16%,Netherlands,Health & Fitness Beauty & Self Care,786
