#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Rocks&Rolls @rocksrollscandy,1.9M,3%,Netherlands,Arts and Crafts Food Product Showcase,570K
2,Sights Of Sara @sightsofsara,1.5M,-,Netherlands,Travel,450K
3,infamousharleyquinnn @infamousharleyquinnn,1.4M,-,Netherlands,Animation and Cosplay,420K
4,Djamilaly - MeisjeDjamila @djamilaly,1.4M,-,Netherlands,Entertainment and Music,420K
5,Jerhemy Owen @jerhemynemo,1.2M,-,Netherlands,Nature Education,360K
6,Nika 💜 @nikaaabo,1.1M,-,Netherlands,Fashion and Accessories Life and Society,330K
7,Enzo Knol @enzoknol,1.1M,0.3%,Netherlands,Entertainment and Music,330K
8,Mitchell @officialswaggie,1M,0.7%,Netherlands,Entertainment and Music,300K
9,The Voice HQ @thevoicehq,990.6K,-,Netherlands,,297.2K
10,Ashley Guijt @ashleyguijt,946.8K,1.6%,Netherlands,Entertainment and Music,284K
11,Esmee Joanna @esmeejoanna,935K,-,Netherlands,Funny,280.5K
12,Dutchtuber @dutchtuber,934.8K,0.1%,Netherlands,,280.4K
13,Tiësto @tiesto,932.4K,0.1%,Netherlands,Entertainment and Music,279.7K
14,Nina Houston @ninahouston_,924.3K,-,Netherlands,,277.3K
15,Amy’s Kitchen @cookingwithamyy,917.6K,0.1%,Netherlands,Food,275.3K
16,🇳🇱 BEAU 🇳🇱 @beaupotman_,917.1K,-,Netherlands,Entertainment and Music,275.1K
17,Artbyoums @artbyoums,906.8K,0.1%,Netherlands,Art,272K
18,NevermindLisa @nevermindlisa,894.4K,13.8%,Netherlands,Education Life and Society Arts and Crafts DIY and Life Hacks,268.3K
19,Negin Mirsalehi @neginmirsalehi,893.8K,0.3%,Netherlands,,268.1K
20,Football @footballszone,881.6K,1%,Netherlands,,264.5K
21,Karsten Belt @karstenbelt,871.3K,0.4%,Netherlands,,261.4K
22,DeltaLloyd @deltalloyd,864.5K,-,Netherlands,Entertainment and Music,259.4K
23,Sophie van Oostenbrugge @gainsbybrains,858.6K,-,Netherlands,Fitness,257.6K
24,fabiocreatez @fabiocreatez,822.6K,-,Netherlands,Art,246.8K
25,Anique Dreamon @aniquedreamon,810.1K,0.1%,Netherlands,Entertainment and Music,243K
26,🦋Anneenmaaike🦋 @anneenmaaike,794.7K,0.3%,Netherlands,Sports,238.4K
27,Wonho Chung @wonhochung,793.5K,-,Netherlands,,238.1K
28,jesseziorr @jesseziorr,748.6K,1.2%,Netherlands,,224.6K
29,OmercanDeveci @omercandeveci,696.2K,-,Netherlands,,208.9K
30,ls @levifrskyum,686.8K,2.5%,Netherlands,,206K
31,Armin van Buuren @arminvanbuuren,673.6K,-,Netherlands,,202.1K
32,🌟Mylene & Rosanne🌟 @mylenerosanne,668.7K,-,Netherlands,Entertainment and Music Animation and Cosplay,200.6K
33,Saw Pyae🇳🇱🇳🇱🇳🇱 @sawpaye,666.3K,-,Netherlands,,199.9K
34,Vessbroz @vessbroz,640.2K,-,Netherlands,Entertainment and Music,192.1K
35,kalvijn @kalvijn,639.2K,0.2%,Netherlands,,191.8K
36,Jade Konal @jadekonal,638.7K,-,Netherlands,Arts and Crafts Entertainment and Music,191.6K
37,Emma Keuven @emmakeuven,634.4K,-,Netherlands,Beauty and Self Care Fashion and Accessories,190.3K
38,The Ocean Cleanup @theoceancleanup,629.9K,0.3%,Netherlands,Nature,189K
39,Sp_cosplay @sp.cosplay,617.1K,-,Netherlands,,185.1K
40,R O S E @numbersixtysix,606.6K,-,Netherlands,Home and Garden,182K
41,Martijn @martijn.md,598.3K,-,Netherlands,Education,179.5K
42,Abdulaziz Bish @abdulazizbish,592.2K,0.1%,Netherlands,Education,177.7K
43,jaseyharders @jaseyharders,574.7K,-,Netherlands,Entertainment and Music Funny Life and Society,172.4K
44,Thomas van Grinsven @thomasgrinsven,574.4K,0.3%,Netherlands,,172.3K
45,BABYMOENCH @babamoench,565.2K,0.1%,Netherlands,,169.6K
46,Dion Visser 🇳🇱 @dionvisser,558.8K,-,Netherlands,,167.6K
47,BALANA GAMING @balanagaming,550.7K,0.5%,Netherlands,Video Gaming,165.2K
48,Coco @itsbunnycoco,550.5K,0.3%,Netherlands,Pets,165.2K
49,BVD. 🕊 @basvduijvenbode,542.3K,-,Netherlands,Education,162.7K
50,Robine @robinesalomons,537.9K,-,Netherlands,Arts and Crafts,161.4K
51,Jonatan Medart @jonatanmedart1,536K,0.1%,Netherlands,,160.8K
52,Thecla @mevrouwtjebestekla,535.8K,0.1%,Netherlands,Entertainment and Music,160.7K
53,Leothedog @thedognamed.leo,528.9K,-,Netherlands,Animals Pets,158.7K
54,Verenice & Kevin @kevin.verenice,528.2K,-,Netherlands,Entertainment and Music,158.5K
55,Jesse van Wieren @jessevanwieren,522.2K,-,Netherlands,,156.7K
56,Rachel John @racheljohnie,515K,-,Netherlands,Fitness and Health,154.5K
57,mootje.030 @mootjeyekk0,509.5K,0.5%,Netherlands,,152.9K
58,𝙻𝚎𝚜𝚕𝚒𝚎 𝚂𝚊𝚗𝚝𝚝𝚊𝚗𝚊✨ @lesliesanttana1,508.5K,-,Netherlands,,152.6K
59,Judithh @waxjudithh,506.5K,-,Netherlands,,152K
60,Jason Verspaget @jasonverspaget,505.8K,-,Netherlands,Entertainment and Music,151.7K
61,roccotnl @roccotnl,504.6K,0.4%,Netherlands,Funny,151.4K
62,Chantal @chantalfontein,500.1K,-,Netherlands,Entertainment and Music,150K
63,Pieter Valley @pietervalley1,495.1K,0.1%,Netherlands,,148.5K
64,Bright @brightnl,493.8K,-,Netherlands,Home and Garden,148.1K
65,adje @adje_eljackson,491.9K,-,Netherlands,,147.6K
66,Justus van Eijk @justusveijk2.0,488.1K,-,Netherlands,,146.4K
67,Ellie LoVeux @ellieloveux,480K,-,Netherlands,Beauty and Self Care,144K
68,Victor Mids (MINDF*CK) @victormids_officieel,476.5K,0.6%,Netherlands,Video Gaming,143K
69,Casper®🇳🇱 @theofficialcasper,476.1K,-,Netherlands,Entertainment and Music,142.8K
70,Roxanne Kwant @roxannekwant,467.4K,0.1%,Netherlands,Entertainment and Music Funny Product Showcase,140.2K
71,Troy van Dijk @spicycheesespread,463.8K,-,Netherlands,,139.1K
72,noov @novavbrussel,458.2K,0.1%,Netherlands,,137.5K
73,Tandartspraktijk Pernis @tandarts,455.5K,-,Netherlands,Business and Finance Health and Medical Services,136.7K
