#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42.4M,-,Norway,,12.7M
2,Soothing Relaxation @UCjzHeG1KWoonmf9d5KBvSiw,10M,-,Norway,Music,3M
3,AURORA @UCNjHgaLpdy1IMNK57pYiKiQ,4.3M,0.2%,النرويج,,1.3M
4,pellekofficial @UCtXuWXsd7TYXwX2ZNLXfojg,3.9M,1%,النرويج,,1.2M
5,Dani @UCIabPXjvT5BVTxRDPCBBOOQ,3.4M,14.7%,النرويج,,1M
6,Marcus & Martinus @UCRUmSbfoolI9b8iRyrGqFUw,3.3M,0.1%,النرويج,موسيقى,993K
7,Isawi @UCwHagdbGVi-B-DSBFMgiIkA,2.8M,-,النرويج,,849K
8,K-391 @UC1XoTfl_ctHKoEbe64yUC_g,2.5M,-,النرويج,,735K
9,discovery plus Norge @UCYM3pKj9tFQOXc2XcJmj8Vg,2.1M,-,النرويج,,633K
10,MrSavage @UCmwRAiAX6NDvlboBfZKr9hQ,2M,0.3%,النرويج,,594K
11,Being Artistic @UC0E_jcP7H5Wi1ZYJ82G-RWg,1.5M,-,النرويج,,462K
12,Nerdforge @UCggHsHce2n3vvbJf_8YKrMA,1.5M,4%,النرويج,,453K
13,apetor @UCHnK83dqyPvFo6GX0rCwn8A,1.4M,6.6%,النرويج,,411K
14,Dani2 @UCzmtKpQQyZ-9ZNY_bbFtVHw,1.2M,6.5%,النرويج,,369K
15,AlexanderRybakVideo @UC_KZSgBFgavi5JqxQ1XhT_w,1.2M,0.3%,النرويج,,366K
16,BEAMNG MADNESS @UCO7SyepWR3VTyHwByla3o_w,1.1M,-,النرويج,,330K
17,Isawi GG @UCkuo8lwclhlj0l1LHscGiPw,1M,-,النرويج,,312K
18,Tempex @UCT8BC740tRFcnQLNtjLI-LA,1M,-,النرويج,,312K
19,Simplicity @UCBBj-A2EqL5pNApsLhoeM6w,1M,-,النرويج,,303K
20,ZenLifeRelax @UCcqmIur-b51hdIByTPIfifw,992K,-,النرويج,,297.6K
21,Astrid S @UCRWkUp26A4TFJQrjhkn-Vuw,991K,0.9%,النرويج,,297.3K
22,Qalandar Production @UCmpWJIVtSVnopLNa1WLpI2Q,988K,2.9%,النرويج,مشهور,296.4K
23,THAIBEATS @UC9J9cI0Us_zUkpcUJxIMlew,984K,-,النرويج,,295.2K
24,NRK P3 @UCPYnnGAmiaEngtWmZNNShmA,983K,-,النرويج,,294.9K
25,Wirtual @UCt-HTfaCUz8QIoknqyXKYiw,969K,8%,النرويج,ألعاب فيديو,290.7K
26,kazzaz @UC8fX_3UE-5fV_3NNeWDQtzQ,947K,-,النرويج,,284.1K
27,TS Knowledge TV @UCueea2VsoYKqOYdhIb94eRw,914K,-,النرويج,,274.2K
28,Magnus Carlsen @UCbdcpQ5uPPymv7Ea0nnFfOw,794K,-,النرويج,,238.2K
29,Box Yourself @UC2mc6Z1HK2C1gaWbm-9n8Ww,768K,-,النرويج,,230.4K
30,Miss DeepShine @UC8KCGnqoW1SXM00dwEHCPIw,747K,-,النرويج,موسيقى,224.1K
31,أحمد علاو ahmad elaw @UCPP4_QCiYh6R4-75qRYaWdg,716K,0.2%,النرويج,,214.8K
32,Dunkee @UCykjD0W8hCQbuO7mEHPgw-A,698K,16.5%,النرويج,,209.4K
33,Thaís Chagas @UCxYqdYKUNyuKt2pJMIt4P7g,673K,1.6%,النرويج,,201.9K
34,ShibeNation @UC-xjitW_J39_Q1ure2HlJew,662K,0.2%,النرويج,,198.6K
35,wardruna @UCoK2X3nnuG7ug-Kk75r5rJQ,628K,4.7%,النرويج,موسيقى,188.4K
36,affectaed @UCDxtUPOEpEODr9WMBiJHGXA,625K,30.3%,النرويج,,187.5K
37,Ethereal Music @UCxEYzhzrCu3k6Ur2eX_fYNg,600K,-,النرويج,,180K
38,MarioZenium @UCtyokkUwxwy0ef1f6TLYFLA,597K,-,النرويج,,179.1K
39,2SANDER7 @UCPKygO_jZ0eITGwO9mSV-Og,586K,-,النرويج,,175.8K
40,Shadhin @UCKV6KUmS1swPZ2t-BhDFqZw,577K,-,النرويج,,173.1K
41,Asbjorn Olsen-Berg Bushcraft @UC7IrzlbcylADmO_TGrWhLJw,569K,2.1%,النرويج,,170.7K
42,ZNac @UCrK7Hn84N6nPuq3tRl3xb_g,559K,0.4%,النرويج,,167.7K
43,elena864 @UCRO1c-YgC9Yb0FGr3ORODwg,555K,-,النرويج,,166.5K
44,Bjorn Andreas Bull-Hansen @UC95m7aBYo7wgNCoHb1ojQYw,529K,0.9%,النرويج,,158.7K
45,Back Guy @UCwlxDWqcPnozHVQMzTeg4SQ,507K,-,النرويج,,152.1K
46,Sardor Domla @sardordomla,506K,-,النرويج,,151.8K
47,Cecilia Blomdahl @UCnFhQlaQIqs6vw_mmG0bRww,506K,-,النرويج,,151.8K
48,Mellow @UC0paWv2Ylkz32P-WCGARDLg,501K,0.2%,النرويج,,150.3K
49,Vexento @UCYZ9rknEmE4R1J_HBJ2yBlQ,484K,0.8%,النرويج,موسيقى,145.2K
50,Gopher @UC1CSCMwaDubQ4rcYCpX40Eg,483K,0.1%,النرويج,ألعاب فيديو,144.9K
51,Sunny @UCTninj9qwE4VFT6yiJ_j3NA,469K,-,النرويج,,140.7K
52,Polyfjord @UC1MmrnDaPnNa55twYBiH4NA,461K,1.2%,النرويج,,138.3K
53,Anton S Live @UCpQWh9JggVV9ZKz7IWrHAEA,458K,-,النرويج,,137.4K
54,RailCowGirl @UCj-Xm8j6WBgKY8OG7s9r2vQ,457K,-,النرويج,,137.1K
55,Boomerang Norge @UC86A9CDwx_4aqFMJPOd_n_Q,442K,-,النرويج,,132.6K
56,Emma Ellingsen @UCpdmlPZMeDCqhGqzM4Zd1ww,431K,1.3%,النرويج,,129.3K
57,Dagbladet @UCk5pvsyZJoYJBd7_oFPTlRQ,426K,-,النرويج,,127.8K
58,Alternate @UCDL-lqf51afYoUldSvZMTOA,415K,0.4%,النرويج,,124.5K
59,Madcon official @UCV94szan7U2Ug8qJAdHjC5w,413K,0.2%,النرويج,,123.9K
60,Spirit Tribe Awakening @UC961ko9mCxvoHaeMUJb4Lfg,408K,-,النرويج,,122.4K
61,Milkgore @UCY0-fBwD72-W4w3MisVCVFQ,404K,1.1%,النرويج,,121.2K
62,Garaad TV @UCaxDl0VZHy_JxrJ1Q0D2dVA,395K,-,النرويج,,118.5K
63,Qulasada Filimada @UC-o9P-KzoA7oDIcHq7WUNbw,394K,1.4%,النرويج,,118.2K
64,Mobile Arcade @UChHZWnj7E6EzQPhlp62U2Gw,389K,-,النرويج,,116.7K
65,Linko @UCm5VWa6hIDW88dDo-bmnZxQ,377K,0.9%,النرويج,,113.1K
66,LemaitreMusic @UCux_hBqKE0nh7xLbWsYARHw,372K,0.1%,النرويج,,111.6K
67,ZourChip @UCyQ0PYhw4G-lF7EKMbwsw3g,371K,-,النرويج,,111.3K
68,Alexandre Chappel @UCe1Aj6VEO299Yq4WkXdoD3Q,368K,-,النرويج,,110.4K
69,boy pablo @UCeA2KEyAm5WOG-cLD8jEYfw,367K,1.4%,النرويج,,110.1K
70,Nordavind @UCs3YoWL4OH1wJrrIsf6juzA,358K,-,النرويج,,107.4K
71,شكو ماكو مع حسن السعيدي Shaku Mako @UCXgznj1dzO37qdjFts6la0Q,358K,-,النرويج,,107.4K
72,Skavlan @UCHkapYFq5ev4PDAxZQ_PF9Q,355K,-,النرويج,,106.5K
73,Andyax @UCSP7E88uFuHASIJLDjAhyKg,340K,0.3%,النرويج,,102K
74,Peder B. Helland @UCIIzc3b8U0_vtVScDEyFGew,337K,0.1%,النرويج,موسيقى,101.1K
75,Jigjiga Tube @UCzgxEL622oq1hiVJZk5RbuQ,332K,-,النرويج,,99.6K
76,Islam Net @UC0o4-48gQsavA3-Lr8ksYqQ,330K,-,النرويج,,99K
