#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ayeza Khan @ayezakhan.ak,13.8M,0.34%,Pakistan,Entertainment and Music Modeling,4.1M
2,Aiman Muneeb @aimankhan.official,12M,0.9%,Pakistan,Celebrity,3.6M
3,Hania Aamir 哈尼亚·阿米尔 @haniaheheofficial,12M,4.67%,Pakistan,Art Entertainment and Music Modeling,3.6M
4,Mrs.Falak @sarahkhanofficial,11.6M,1.41%,Pakistan,Entertainment and Music Celebrity Actors Modeling,3.5M
5,IQRA AZIZ HUSSAIN🇵🇰 @iiqraaziz,10.8M,2.85%,Pakistan,Art Music,3.2M
6,Mahira Khan @mahirahkhan,10.3M,1.28%,Pakistan,Entertainment and Music Fashion and Accessories,3.1M
7,Sajal Ali @sajalaly,9.8M,1.8%,Pakistan,Acting and Drama Celebrity Modeling Actors,2.9M
8,Imran Khan @imrankhan.pti,8.7M,1.84%,Pakistan,Education Founder,2.6M
9,Imran Abbas @imranabbas.official,8.4M,0.4%,Pakistan,Acting and Drama Celebrity Modeling Actors,2.5M
10,𝐌𝐔𝐍𝐌𝐔𝐍 𝐃𝐔𝐓𝐓𝐀 🧚🏻‍♀️🦋 @mmoonstar,8.1M,2.9%,Pakistan,Animals Travel Actors,2.4M
11,Feroze Khan Abu Sultan 🇵🇰 @ferozekhan,8M,2.34%,Pakistan,Fashion Modeling,2.4M
12,Hira Mani @hiramaniofficial,7.8M,1.29%,Pakistan,Music,2.4M
13,Maya Ali @official_mayaali,7.5M,1%,Pakistan,Entertainment and Music Celebrity Modeling Actors,2.3M
14,Danish Taimoor @danishtaimoor16,7.4M,0.14%,Pakistan,Celebrity Food,2.2M
15,Humayun Saeed @saeedhumayun,7.1M,0.44%,Pakistan,Entertainment and Music Music Actors,2.1M
16,Neelam Muneer Khan @neelammuneerkhan,7M,1.71%,Pakistan,TV Shows Modeling Photography Fashion,2.1M
17,Zahrah S Khan @zarakhan,7M,1.42%,Pakistan,Acting and Drama Fitness and Health Romance and Wedding Celebrity,2.1M
18,URWA TUL WUSQUA HOCANE @urwatistic,6.1M,0.9%,Pakistan,Acting and Drama Celebrity Modeling,1.8M
19,Zara Noor Abbas Siddiqui @zaranoorabbas.official,6M,1.12%,Pakistan,Entertainment and Music Lifestyle,1.8M
20,Ali Zafar @ali_zafar,5.9M,0.49%,Pakistan,Entertainment and Music Arts and Crafts Singer Music,1.8M
21,Ayesha M Omar @ayesha.m.omar,5.5M,0.08%,Pakistan,Art Celebrity Music Modeling,1.7M
22,Mehwish Hayat @mehwishhayatofficial,5.2M,1.3%,Pakistan,Arts and Crafts Entertainment and Music Actors,1.6M
23,Jannat Mirza @jannatmirza_,5.1M,2.33%,Pakistan,Entertainment and Music Business and Finance,1.5M
24,Rabeeca Khan @rabeecakhan,5M,1.32%,Pakistan,Entertainment and Music,1.5M
25,PAK.KOM @arya.saloka,5M,1.26%,Pakistan,Beauty and Self Care Entertainment and Music,1.5M
26,Shavkat Mirziyoyev @mirziyoyev_sh,4.7M,0.26%,Pakistan,,1.4M
27,Muneeb Butt @muneeb_butt,4.6M,3.26%,Pakistan,Acting and Drama Celebrity Modeling,1.4M
28,Aliza shah @alizehshahofficial,4.4M,1.76%,Pakistan,Celebrity TV Shows Styling Modeling,1.3M
29,Shahid Afridi @safridiofficial,4.2M,3.77%,Pakistan,Sports Modeling,1.3M
30,Momina Mustehsan @mominamustehsan,4.2M,2.36%,Pakistan,Education Entertainment and Music News Moms,1.2M
31,Farhan Saeed @farhan_saeed,4M,1.29%,Pakistan,Entertainment and Music Modeling Music Actors,1.2M
32,Areeka Haq @areeka__haq,3.8M,4.21%,Pakistan,,1.1M
33,Wasim Badami @waseembadami_official,3.7M,0.5%,Pakistan,,1.1M
34,ZaidAliT @zaidalit,3.4M,9.15%,Pakistan,Celebrity Lifestyle Actors,1M
35,Nimra Khan @nimrakhan_official,3.1M,0.27%,Pakistan,Entertainment and Music Celebrity Modeling,933.1K
36,Naimal Khawar Abbasi @naimalkhawarkhan,3.1M,1.3%,Pakistan,Arts and Crafts,919.9K
37,Fahad Mustafa @mustafafahad26,3M,0.6%,Pakistan,Entertainment and Music Modeling,913.9K
38,Momal Sheikh @momal15,3M,0.49%,Pakistan,Celebrity Moms Modeling,908.2K
39,Sonya Hussyn Bukharee @sonyahussyn,3M,1.67%,Pakistan,Entertainment and Music Education Animals Celebrity,905.2K
40,ALISHBAH ANJUM @alishbahannjum,3M,2.91%,Pakistan,,899.6K
41,Hamza Zaidi @hamzazaidi97,3M,2.42%,Pakistan,Fashion and Accessories Soccer Animals & Pets Design,890.2K
42,𝐑𝐢𝐳𝐚 𝐀𝐟𝐫𝐞𝐞𝐧 ( ريزا افرين) 💫 @rizaafreen,3M,1.3%,Pakistan,,889.6K
43,Ahad Raza Mir @ahadrazamir,3M,6.28%,Pakistan,Celebrity Modeling Music Singer,885.8K
44,Saboor Aly @sabooraly,2.9M,3%,Pakistan,Modeling Music Entertainment,857.5K
45,Hareem Farooq @hareemfarooq,2.8M,1.9%,Pakistan,Actors,853.4K
46,Asim Azhar @asimazhar,2.8M,2.78%,Pakistan,Entertainment and Music Music Singer Modeling,844.9K
47,Ali “SypherPK” Hassan @sypherpk,2.8M,1.06%,Pakistan,Games Entertainment and Music Video Gaming Dogs,844.2K
48,Pakistan Cricket @therealpcb,2.8M,1.8%,Pakistan,Sports Cricket,842.2K
49,𝑫𝒂𝒍𝒊𝒅𝒂 𝑲𝒉𝒂𝒍𝒊𝒍 @dalidakhalilofficial,2.7M,2.13%,Pakistan,Arts and Crafts Acting and Drama Celebrity Music,814.4K
50,Kunwar Moeez Khan @kunwarmoeez,2.7M,10.5%,Pakistan,,796.8K
51,Malala Yousafzai @malala,2.6M,4.6%,Pakistan,Education Cricket,789.9K
52,Nadia Khan @outstylewithnadia,2.3M,0.12%,Pakistan,Fashion and Accessories Parenting Business,697.7K
53,𝐌𝐀𝐑𝐢𝐘𝐀 𝐊𝐎𝐙𝐀𝐃 @mariya.kozad,2.3M,0.14%,Pakistan,Fashion and Accessories,692.2K
54,Sanam Jung @jung_sanam,2.3M,0.33%,Pakistan,Celebrity Modeling,681.9K
55,Muniba Mazari @muniba.mazari,2.2M,1%,Pakistan,Fashion Actors,652.7K
56,Nasim Shah @inaseemshah,2M,14.2%,Pakistan,Sports,607.6K
57,Veena Malik @theveenamalik,2M,0.19%,Pakistan,Fashion and Accessories,605.6K
58,Junaid Khan @calljunaidkhan,2M,1.41%,Pakistan,Entertainment and Music Acting and Drama Celebrity Modeling,604.8K
59,Mikaal Zulfiqar @mikaalzulfiqar,2M,0.07%,Pakistan,Finance Entertainment and Music Celebrity Actors,598.5K
60,Tariq Jamil @tariqjamilofficial,2M,7.3%,Pakistan,Education,593K
61,Arslan Aslam @arslanaslamofficial,2M,1.55%,Pakistan,Entertainment and Music,590.1K
62,Food Fusion @foodfusionpk,1.9M,0.12%,Pakistan,Food Food and Drink Events Cooking,578.6K
63,Sarwat Gilani 🇵🇰 @sarwatg,1.9M,0.21%,Pakistan,Business and Finance Art Parenting Modeling,567.4K
64,Kainat Faisal @kainatfaisal.kf,1.8M,1.01%,Pakistan,Fashion and Accessories,549.8K
65,Dananeer | 🇵🇰🌻 @dananeerr,1.8M,5.5%,Pakistan,,547.1K
66,Sahir Ali Bagga @thesahiralibagga_official,1.8M,0.08%,Pakistan,Entertainment and Music,531.3K
67,Dr. Shaista Lodhi @iamshaistalodhi,1.8M,0.39%,Pakistan,Beauty and Self Care Modeling Actors Entertainment,527.4K
68,𝗨𝗿𝗱𝘂 𝗣𝗼𝗲𝘁𝗿𝘆 𝗣𝗼𝗶𝗻𝘁 @urdupoetrypoint,1.7M,0.17%,Pakistan,Fashion,510.4K
69,Shoaib Akhtar @imshoaibakhtar,1.7M,2.31%,Pakistan,Sports,495.4K
70,Muhammad Anas Shahid ®️ @anas_shahid_official,1.6M,5.02%,Pakistan,Fitness and Health Business and Finance Training Coaching,490.8K
71,Nida Yasir @itsnidayasir.official,1.6M,0.8%,Pakistan,,490K
72,Government of Pakistan @govtofpakistan,1.6M,0.01%,Pakistan,Education,481.8K
73,Hamid Shaikh @hamids9898,1.6M,0.07%,Pakistan,Travel Business and Finance Actors Business,476.1K
74,معاز♥️ @maazsafder,1.6M,10.65%,Pakistan,Fashion and Accessories,473.4K
75,Samina Humayun Saeed @saminahumayunsaeed,1.5M,0.07%,Pakistan,Entertainment and Music Business and Finance Celebrity Actors,458.3K
76,HUMAIMA MALICK @humaimamalick,1.5M,0.61%,Pakistan,Entertainment and Music Modeling,452.8K
77,Pakistani Beauty @pakistani_.beauty,1.5M,0.03%,Pakistan,Beauty and Self Care,437.3K
