#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,HAR PAL GEO @UCe9JSDmyqNgA_l2BzGHq1Ug,31.1M,-,Pakistan,,9.3M
2,HUM TV @UCEeEQxm6qc_qaTE7qTV5aLQ,25M,-,Pakistan,,7.5M
3,Islamic Teacher Official @UC1XrhzT6FGdc9eAso7Kv3CQ,8M,-,Pakistan,Education News,2.4M
4,UrduPoint.com @UC8SUpGjRdTSqIBuOfmWp3rg,7.2M,-,Pakistan,,2.2M
5,Tariq Jamil @UCct5L-DaVYK8UtmqGU8gJtw,6.9M,-,Pakistan,,2.1M
6,Hukam Ali @UCk97k0azNvanpvrLBm1ShfQ,6.2M,-,Pakistan,Celebrity Music,1.9M
7,Mehrban Ali @UCl1naPZOHU69BDS1P03PxXw,6.2M,-,Pakistan,,1.8M
8,Dunya News @UCnMBV5Iw4WqKILKue1nP6Hg,5.9M,-,Pakistan,,1.8M
9,Pyaar Lafzon Mein Kahan @UCSZCTqWb3uP7ozMaZnYOA-A,5.9M,-,Pakistan,,1.8M
10,Talk Shows Central @UC25Ntv5IrTD-B0eZ92O50Tg,5.6M,-,Pakistan,,1.7M
11,Random Hands @UCrI3dm4qgAEV67Jc6797WIA,5.4M,0.8%,Pakistan,,1.6M
12,Salman Noman @UCXTyWqKtLLzaom6XwaJu7xw,5.3M,-,Pakistan,,1.6M
13,BOL News @UCz2yxQJZgiB_5elTzqV7FiQ,4.9M,-,Pakistan,News Celebrity,1.5M
14,BOL Network @UCV6-CUNsfe2-STYfYkd7bBQ,4.8M,-,Pakistan,Celebrity News Video Gaming,1.5M
15,A Plus Entertainment @UCdmkPG3FG48A27-PrD-lC8A,4.7M,-,Pakistan,,1.4M
16,92 News HD @UCsgC5cbz3DE2Shh34gNKiog,4.6M,-,Pakistan,News Celebrity Sports Technology,1.4M
17,Top Pakistani Dramas @UCQ5a6t32eTalvd-n2jQN1QQ,4.6M,-,Pakistan,,1.4M
18,Ducky Bhai @UC_c-RTowPbIlzMkIa_O7s6Q,4.4M,-,Pakistan,,1.3M
19,Haqeeqat TV @UCR6yfDK_u5EXby7CnG9-rYw,4.4M,-,Pakistan,,1.3M
20,Kitchen with Amna @UCQ2P7C8UGoVM6AhqsVx-M0Q,4.3M,-,Pakistan,,1.3M
21,Hafiz Tahir Qadri @UCbbgJ-EH05HwinbdVawQj6g,4.3M,-,Pakistan,,1.3M
22,Food Fusion @UCuqBZWK9Wrol_4Y22DzisFQ,4.1M,-,Pakistan,Food and Drink,1.2M
23,The Urdu Teacher @UCbEW8ye_j0HuPFXyiYyQnLg,4.1M,-,Pakistan,,1.2M
24,Peep Peep @UCbVY7uuLVv_b8W8Bxu08aSQ,4.1M,-,Pakistan,,1.2M
25,Pakistan Super League @UCpNzXJ5jpcJojC5mHQvGA8w,4M,-,Pakistan,,1.2M
26,Islam Advisor @UCL_IDeoFWp6VXyMx9hmrHpQ,3.9M,-,Pakistan,,1.2M
27,Pakistan Cricket @UCiWrjBhlICf_L_RK5y6Vrxw,3.8M,-,Pakistan,,1.1M
28,Memoona Muslima @UCImwHhOJFGuWknG0zqlzSzw,3.8M,-,Pakistan,Beauty,1.1M
29,Best Pakistani Dramas @UCyFbHB68DazkUxdq2WvPDfQ,3.7M,-,Pakistan,,1.1M
30,Village Food Secrets @UCQexaAjPn3-1MCE4DmBK3Tg,3.7M,0.2%,Pakistan,,1.1M
31,Dilkash Beauty @UCV-zFVygK6QZT0mHcGRaXfQ,3.6M,-,Pakistan,Beauty,1.1M
32,BaBa Food RRC @UCnGeD5ayRbMykUT1J0ZNF5A,3.6M,-,Pakistan,,1.1M
33,Rohail Voice @UCUtYidq68LZ9z6CZpDrfrpg,3.5M,-,Pakistan,,1.1M
34,Voice Daily @UC4LAx5D1RQ1jIpqzdtvxmtg,3.5M,-,Pakistan,,1.1M
35,Unisys Music @UC6skOpWzyqC5AOTpg8V7Bow,3.5M,-,Pakistan,,1M
36,Qasim Ali Shah @UCn68MHKSGluDcSQbABxW4EQ,3.4M,-,Pakistan,Fashion,1M
37,Shaheen Studio @UCiBddCIK2u6P792FVnh3otw,3.3M,-,Pakistan,,981K
38,Daily Pakistan Global @UCtTGbJC72sakYRXiLiV5rzQ,3.3M,-,Pakistan,,981K
39,Express News @UCTur7oM6mLL0rM2k0znuZpQ,3.2M,-,Pakistan,News,969K
40,Allah Ki Qudrat @UCiDtSBuOaq6izf-4zb0vf-w,3.2M,-,Pakistan,,954K
41,Bao Rami Status @UCrx9h2iLvFzB0WuuGYRUT3A,3M,-,Pakistan,,906K
42,Malumat Tube Official @UCfvl-1CHKqGN6wWdAYHVt_Q,3M,-,Pakistan,,900K
43,Urdu Mag @UCaQafYWgEy1qSIQnvY3f84w,2.9M,-,Pakistan,,873K
44,HUM SAB @UCuS-2oEPKHwAWevROc_v2nA,2.9M,-,Pakistan,,858K
45,Dumb TV @UCogqPGrVifhSNRh0el3kEMg,2.9M,0.2%,Pakistan,,855K
46,Atif Aslam @UCF4uIIqbIy05Cmzx3rRt_8g,2.8M,0.2%,Pakistan,,843K
47,Naya Pakistan @UCKJmzY163_v2ZpxxgtgA0Pw,2.8M,-,Pakistan,,831K
48,Maaz Safder World @maazsafderworld,2.6M,2.6%,Pakistan,,777K
49,Urdu Cover @UC5ZAU-hc5NOeuXUcb4gyqcQ,2.6M,-,Pakistan,,765K
50,Desi Health TV @UCnp2fm6-eVXNqA37zvQFWwA,2.5M,-,Pakistan,Food and Drink,756K
51,Ask Muslim Teacher @UCsFx7C__hXEhQCTrqyyfMNg,2.5M,-,Pakistan,,741K
52,That Was Crazy @UC3b6fFeoaWrf_tYR8nJMBFQ,2.4M,-,Pakistan,,729K
53,Healthsubzwari @UCHWP2qhQ_9bGrIp56F7XFOQ,2.4M,-,Pakistan,,729K
54,Daily URDU Update @UCZmKMrH3gwndXLF1z6GDMEA,2.4M,-,Pakistan,,720K
55,Reality Tv @UCnm1OOV8ufB-yC7TYsARodg,2.4M,0.2%,Pakistan,,717K
56,Aisha Health With Beauty @UCT9B6B1ESokiAH9FubKxqmQ,2.4M,-,Pakistan,,714K
57,VideoWaliSarkar @videowalisarkar1,2.4M,0.3%,Pakistan,Technology,711K
58,Sar e Aam @UCGU6Sw4NDKH3nO10vUfK0JQ,2.4M,-,Pakistan,,708K
59,Urdu Lab @UCVNbJAoA9zBg-VhXz92at8w,2.3M,-,Pakistan,,699K
60,Merium Pervaiz @UCANusfysqkOall5M4_P-xLQ,2.3M,0.5%,Pakistan,,693K
61,RKG ARMY @UCm5DZc8fB7_iSZ-jWXp67bA,2.3M,-,Pakistan,,690K
62,Qari Muhammad Ilyas @UCq68-yXEYvXV-FuxJRTNfJw,2.3M,-,Pakistan,,690K
