#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Omega Berrio 🇵🇦😎 @omegaberrio,2.7M,-,Panama,Entertainment and Music,810K
2,bing bing @bingbing.market,1.6M,-,Panama,Arts and Crafts,480K
3,BARBIE 🇵🇦 @_barbieross,965.7K,-,Panama,,289.7K
4,jflow @jflow_507,928.5K,-,Panama,,278.6K
5,Karen @kkarenlauu,764.1K,-,Panama,,229.2K
6,paola viale @paolaaviale,763.5K,-,Panama,Fitness Fashion,229.1K
7,💕 Karly 💕 @holakarlyland,759.5K,-,Panama,,227.9K
8,Katherine Cruz⚡️ @kathcrush,742.6K,-,Panama,Entertainment and Music,222.8K
9,Alex @mynameisalex___,732K,-,Panama,,219.6K
10,Urane viviana @urane_viviana_01,725.2K,-,Panama,,217.6K
11,Sofi @hatecheeselovepizza,712.2K,-,Panama,,213.7K
12,cindyortega0093 @china2789new,684.2K,-,Panama,,205.3K
13,Henry Alexander @henrryalexanderpty,656.5K,0.1%,Panama,,197K
14,ZLOTHRIC 2.0 @zlothric2.0,656.3K,1.1%,Panama,Food,196.9K
15,Brian Andre @brianandres_,647.2K,-,Panama,Funny,194.2K
16,Sechmusic @sechmusicoficial,646.4K,-,Panama,Entertainment and Music,193.9K
17,Elisama @elisama.a.a,625.2K,-,Panama,,187.6K
18,Mateo @mateop8690,620.1K,-,Panama,,186K
19,Nathalie Pino @nathaliepino1,607.6K,-,Panama,,182.3K
20,Irisbeilin @irisbeilin,595.7K,-,Panama,Beauty and Self Care,178.7K
21,Ana Lorena Ronco @lorena_ronco,581K,-,Panama,,174.3K
22,ivaneloy @ivaneloy0,566.5K,-,Panama,,170K
23,David.Mojica @davidmojica217,562.2K,0.1%,Panama,Pets,168.7K
24,Jay Wheeler Panamá 🇵🇦 @jaywheelerpa,557.2K,0.2%,Panama,Entertainment and Music,167.2K
25,La_VozKid_Global @la_vozkid_global,553K,-,Panama,,165.9K
26,상사 @lion_sangsa,551.6K,-,Panama,,165.5K
27,Mr. Bucktron👨🏽‍💻 @rogeliobucktronar,543.5K,0.2%,Panama,Education Arts and Crafts,163.1K
28,joeymontanaoficial @joeymontanaoficial,542.2K,-,Panama,,162.7K
29,Katherine cruz⚡️ @katherinecruzmm,532.6K,0.5%,Panama,,159.8K
30,Reynier David ✓ @blackmooouth,515.6K,0.1%,Panama,,154.7K
31,Roux Siblings @rollin.with.the.rouxs,499.3K,-,Panama,,149.8K
32,Abraham T Pravia P @abrahamtpraviap,498.5K,-,Panama,Pets,149.6K
33,Marelissa @marelissahim,489.1K,-,Panama,,146.7K
34,Ariel Bosso5 @arielbosso,484.8K,0.1%,Panama,,145.4K
35,Nemz.official @s.nemz,477.2K,0.2%,Panama,,143.2K
36,DecoArt Wallpaper St @decoartwallpapers,476.4K,-,Panama,,142.9K
37,Linneth🇵🇦 @mafiosa.ff_,459.4K,0.1%,Panama,,137.8K
38,JULIAN TORRES @juliantorresoficial,451.1K,0.1%,Panama,Entertainment and Music,135.3K
39,deondra ✪ @asvp.deondraa,425.4K,-,Panama,,127.6K
40,Lamuneca22_ @lamuneca22_,423.8K,-,Panama,,127.1K
41,@javieriin_,405.8K,1.5%,Panama,,121.7K
42,Claudia_tapasco @tapasco_claudia,401.8K,-,Panama,Fitness,120.5K
43,Alan music @alancrisstiktok,398.1K,0.1%,Panama,,119.4K
44,Capuchina🤍 @capuchina114,388.1K,-,Panama,,116.4K
45,TheOmegaPlay 🇵🇦 @theomegaplay,380.3K,-,Panama,Entertainment and Music,114.1K
46,Mar Chelo 507 @marchelo507,369.3K,-,Panama,,110.8K
47,Mao Gomez @maoogomez,367.6K,-,Panama,,110.3K
48,Noa Muñoz @nannyyyy16,362K,-,Panama,Travel,108.6K
49,Elias'Caballero.Herrerax.w29 @herrera.xw29,359.7K,-,Panama,,107.9K
50,Cubilla @tlacuaycuache_,355.7K,-,Panama,,106.7K
51,ＧＩＳＳＥＬღ @xm.gissel,350.4K,0.1%,Panama,,105.1K
52,Ley @yazpadilla29,347.1K,-,Panama,,104.1K
