#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Mimonona Stories @UCXc5x7W5pwn-xz2g2nGTDQQ,7M,-,Panama,,2.1M
2,WindyGirkTV @UCnAPC3MYciLYIpu5m8x-a3A,3.4M,-,Panama,,1M
3,panamamusic @UCtD0-H8t7Fh97Q7y-pXG3sQ,1.9M,-,Panama,,564K
4,Ideas y Manualidades @UCmrif0tPA90NvGZCv_FnhTQ,1.8M,-,Panama,,531K
5,Mgascon @UCehKFyuaU-z-_I0To2_ANjg,1.8M,1.7%,Panama,,525K
6,Parecen Noticias Extra @UCr9xpZl2qNsZiv2acatQVvg,1.7M,-,Panama,,507K
7,Javi Ghan @UChW2uNPprKZEw-3L0yPbl_g,1.6M,-,Panama,,483K
8,La Chama @UC1TAhRcqw4Qyxt2Ab8tgpwA,1.5M,-,Panama,,438K
9,TP Resurrection @UC7bB2twFWCiFWNOfj2Xb06g,1.4M,0.1%,Panama,,414K
10,Giova @UCbMAfL0TzvWjrGPKsSj6HdA,1.2M,0.3%,Panama,,369K
11,ByLiaN @UCJHEXNnX6Yn1tqo7_CKO68Q,1.1M,0.5%,Panama,,327K
12,JasperDev @UCZMfh_hkI_IprkYpyRI-Aog,1.1M,-,Panama,,324K
13,Boza Oficial @UC8ebER2BnZCsocCWJc47RUA,950K,0.9%,Panama,,285K
14,ElisBethM @UC6-YfCJqoiblUunqFjZMD1A,814K,0.2%,Panama,,244.2K
15,Xsequias @UCUL1dW-nv-75a4aWGRcAzIg,772K,-,Panama,,231.6K
16,José Peláez @UCAQc0WboiyFnfoA_sj0KjSg,616K,-,Panama,,184.8K
17,SMARTpro Academy @UCqtA50lNwtNAg6S0UkI5bxw,540K,0.2%,Panama,,162K
18,Fani_crochet @UCD1Ws5xxya9xkyWfLVi88XA,528K,-,Panama,,158.4K
19,Brin @UC4jlzJyMNQkkcEcCN3EFG7g,495K,2.6%,Panama,,148.5K
20,Plantas Medicinales de Roylenis @UCkl7qsnAmDSkXHSuPl6nygQ,456K,-,Panama,,136.8K
21,Makano Oficial @UC5Idt_b4TTNKgVw64s-aTcA,418K,0.2%,Panama,,125.4K
22,MADI MELENDEZ @madimelendez,408K,-,Panama,,122.4K
23,Materia Cris @UCc_e7jRMTn7KfSfLKPvKnyg,362K,0.8%,Panama,,108.6K
24,LuisDev @UCM1KXfxdj74K3D7MpJWk7Vw,330K,33.8%,Panama,,99K
25,Tuner Garage @UCogBBnpXklLiRf_IfZEu4rA,308K,2%,Panama,,92.4K
26,HINEBRO @UCEZ15DQZsDVqYc1_rNWx2yg,305K,-,Panama,,91.5K
27,Samsung Latinoamérica y Caribe @UCYuwIJpesKZiU6qxayMq0Lg,274K,-,Panama,,82.2K
28,Keneth YT @UCW89iEJuCoVjJLlZsceFXow,269K,0.1%,Panama,,80.7K
29,Oxitocina Magazine @UCB721ZXX_VnKFc4TzbE--2w,261K,-,Panama,,78.3K
30,Luise @UCk50rn1BUbpUE8jnze8UDUg,246K,-,Panama,,73.8K
31,Amie lps XD @UC2Z78GFRsxBnUbLqoiwyMng,239K,1.6%,Panama,,71.7K
32,Pastor Moises Bell @UCJybhDoN14E_8NIYwkDP0MQ,229K,0.8%,Panama,,68.7K
33,Jonathan Heres @UCrIACdLpa4zB9LqhQSqQUYA,225K,-,Panama,,67.5K
34,QUE XOPA PANAMA @UC9awV5hh6GdNCw9i6HHmA2g,224K,-,Panama,,67.2K
35,Impacto MMA - MMA en ESPAÑOL @UCsOqRu-Y0vUS5tt8jJhud4A,210K,0.1%,Panama,,63K
36,Ideas de Grandeza @UC9doKzLeanBnxei09I3BThg,187K,3.7%,Panama,,56.1K
37,Quiropractico Chiriqui @UCfumJ7w-ftjtqupEop3WuTw,185K,-,Panama,,55.5K
38,Soy Jorge Pinzon @UCod5sbMaValD3OhvzA3SyZg,182K,0.2%,Panama,,54.6K
39,Telemetro @UCm-EJjdw2bKskUFF5YyWYog,177K,-,Panama,,53.1K
40,CyberZone @UCAtB9mvpwFgG8cgVpikgn1g,169K,-,Panama,,50.7K
41,At' Fat @UClKlNqju-8wvHpfBYyL9ddA,158K,-,Panama,,47.4K
