#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Laurys Rodriguez @laurysdyva,8.5M,0.41%,Paraguay,,2.6M
2,Patty Orue @pattyorue_,2M,0.14%,Paraguay,Actors Fashion,607.4K
3,Sole Cardozo🐰 UNICA CUENTA @solecardozopy,1.6M,1.05%,Paraguay,Fashion and Accessories Entertainment and Music Actors,479.6K
4,Marilina Bogado @marilina_oficial,1.5M,2.9%,Paraguay,Art,448K
5,Fabi Martinez @fabimartinezoficial,1.3M,0.42%,Paraguay,Fitness Actors,394.8K
6,Jessica Torres @jessitorresm,1.3M,0.38%,Paraguay,Arts and Crafts Marketing and Advertising Actors,383.7K
7,Malala Olitte ♾ @malalaolitteoficial,1.2M,0.5%,Paraguay,Entertainment and Music Marketing and Advertising Actors,359.8K
8,Nadia Portillo @nadiaportillooficial,1.2M,0.46%,Paraguay,Entertainment and Music,345.6K
9,FARA MONTGOMERY @faramontgomery,1.1M,0.92%,Paraguay,Music,331.3K
10,RomeroTeam @romeroteam,1.1M,8.25%,Paraguay,Actors,328.1K
11,Ivan Torres @ivan_torres11,1.1M,3.18%,Paraguay,Sports Actors,318.4K
12,PAM RUIZ DIAZ 🪄 @pamruizdiazok,1M,2.9%,Paraguay,Actors Fashion,304.9K
13,Dahiana Bresanovich @dahianabresanovich,932.8K,0.94%,Paraguay,Actors,279.8K
14,lacomadrepy @lacomadrepy,927.8K,2.24%,Paraguay,Automotive Actors,278.3K
15,Club Olimpia Oficial @elclubolimpia,922.9K,1.45%,Paraguay,Sports Actors Sports Team Creators & Celebrities,276.9K
16,Melissa Quiñonez @yendy_melissa,918.6K,0.24%,Paraguay,family Lifestyle,275.6K
17,Jazmin Mernes 💎 @lamernesok,906.6K,0.19%,Paraguay,,272K
18,Gabriela Wolscham @gawolscham,800.4K,0.16%,Paraguay,Fitness and Health Business and Finance Actors Modeling,240.1K
19,PARAWHY @meta_parawhy,764.3K,2.5%,Paraguay,Games,229.3K
20,Mariela Bogado @mariela_bogadook,673.4K,1.24%,Paraguay,Actors,202K
21,🌸Andrea Ocampos🌸 @andru99__,671.1K,0.14%,Paraguay,Fashion Beauty,201.3K
22,🔥 MARLY FIGUEREDO⭐⭐⭐⭐⭐ @marlyfigueredo_paraguay____,663.4K,0.1%,Paraguay,,199K
23,Derlis Gonzalez @derlis10gonzalez,654.6K,3.37%,Paraguay,Actors,196.4K
24,Norita Rodriguez @noritarodriguezok,623.3K,0.32%,Paraguay,Entertainment and Music Actors Modeling,187K
25,Yentel Argüello @yentelarguello,612.7K,4.23%,Paraguay,Art,183.8K
26,MaritoAbdo @maritopresidente,611.6K,3.26%,Paraguay,Life and Society Actors,183.5K
27,Selección Paraguaya de Fútbol @albirroja,606K,1.58%,Paraguay,Sports,181.8K
28,Rosy Alderete🇵🇾 (Única cuenta) @rosyalderetepy,596K,1.21%,Paraguay,,178.8K
29,"Vicente Saenger ""jaka"" @saengervicente",593.3K,0.6%,Paraguay,,178K
30,La Emperatriz Fátima Román @fati_roman,584.9K,0.64%,Paraguay,Acting and Drama Virtualization Actors,175.5K
31,Will Fretes @will_fretes,574.3K,2.19%,Paraguay,Entertainment and Music Marketing and Advertising Actors,172.3K
32,Clara Franco @clarafrancor,555.7K,0.27%,Paraguay,Acting and Drama Actors,166.7K
33,Chenny Tv @chennytv,553.7K,7.3%,Paraguay,Entertainment and Music Actors,166.1K
34,L A S O L E ' I ♥️ @shuli_riquelme,540.9K,5.7%,Paraguay,Entertainment and Music Actors Modeling,162.3K
35,Andrea Araujo @andrealaaraujo,530.9K,0.75%,Paraguay,Coaching Sports Fitness,159.3K
36,Jennifer Ruiz Diaz @jenniferruizdiaz,530.6K,0.33%,Paraguay,Acting and Drama Marketing and Advertising Modeling,159.2K
