#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Hector19Aquino @UCkXd72Un0XaReuatMc52DEA,2.5M,-,Paraguay,,747K
2,elkoalah @UCxagjwvR5NhVf9Pu6grwBWg,1.1M,0.1%,Paraguay,,324K
3,Paul Landó @UCeI3VMfMWQQspYVuDzPrung,962K,-,Paraguay,,288.6K
4,CONMEBOL Libertadores @UClgFf9mS1mZI2D_vo-ZTpmQ,563K,-,Paraguay,,168.9K
5,AleVera Oficial @UC46bOtPQrSPOhQCjWK9fzgw,552K,-,Paraguay,,165.6K
6,Super Xpresiones @UCHLNuUKHcQb6DE6cr9OO-ng,305K,0.1%,Paraguay,,91.5K
7,ABC TV Paraguay @UCEklbFbPoMaV1ciEb-0mAxg,286K,-,Paraguay,,85.8K
8,Entre Polkas y Chamamé / Leandro Samuel Benitez ♪♫ @UCznWI-QW5-vZdFJGXqDApNA,286K,-,Paraguay,Music,85.8K
9,TelefuturoInfo @UC05nHifnRWxoJkzgAP-sffg,276K,-,Paraguay,,82.8K
10,Cero904 @UCLfIH9x1JVSTVUWA0ZBvT7w,262K,-,Paraguay,,78.6K
11,Terere Jere @UCmn3l6kDY-LnUq__vhkblaw,223K,-,Paraguay,,66.9K
12,TOPVIDEO MAKER @UCDn_NS0OMacgZLJj8_8QA-A,218K,-,Paraguay,,65.4K
13,CONMEBOL Sudamericana @UCw7eDYHnA-2PIr-qIldYeBQ,205K,-,Paraguay,,61.5K
14,Telefuturo Paraguay @UCtM-kY8-zx8zzsrWKVUffyA,173K,-,Paraguay,,51.9K
15,Gina Ciccone @UC0hRqIfmoSSmVr4NTexZAMQ,164K,0.3%,Paraguay,,49.2K
16,C9N Paraguay @UC2uoT9_KgHuBzoYX5JepHEA,156K,-,Paraguay,,46.8K
17,Belén Fleitas @UC8kOR2VZWsvN9zsKKUXrWjA,148K,14%,Paraguay,,44.4K
18,ALEX EXPRESS @ALEXEXPRESSOK,148K,-,Paraguay,,44.4K
19,ARIEL 7075 @UCzJFitkdUDs-6LeHbg395wQ,143K,-,Paraguay,,42.9K
