#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Rosangela Espinoza @rosangelaeslo,5.6M,0.3%,Peru,Entertainment and Music,1.7M
2,Pia Copello @piacopellotiktok,4.4M,-,Peru,,1.3M
3,orianabarraza @orianabarraza.d,4M,-,Peru,Entertainment and Music,1.2M
4,K a r i t o 🎨 @karitoruizz,3.9M,-,Peru,Pets,1.2M
5,Letras @l3tras_,3.5M,0.3%,Peru,,1.1M
6,Angie Arizaga @angiearizaga,3.4M,-,Peru,Entertainment and Music,1M
7,Ignacio Baladan @ignaciobaladan11,2.8M,-,Peru,Food,840K
8,Daniela Darcourt @danieladarcourt_oficial,2.4M,-,Peru,,720K
9,Hai ❣️ @snowhai03,2.1M,-,Peru,Fashion and Accessories Beauty and Self Care,630K
10,Luis Miguel Brandon @peruvianmickey,2.1M,-,Peru,Business and Finance,630K
11,Gina Yangali @ginayangali,2M,-,Peru,Acting and Drama,600K
12,Tula Rodríguez ✨ @tulaperu,1.9M,-,Peru,Entertainment and Music,570K
13,Patricio Parodi Cost @patoparodi18,1.9M,-,Peru,Entertainment and Music,570K
14,Brando Gallesi @brandogallesi_,1.5M,-,Peru,,450K
15,Johanna De La Cruz @johananana,1.3M,-,Peru,,390K
16,Cholo Juanito Richard Douglas @juanitoyrichard,1.3M,0.1%,Peru,Entertainment and Music Funny,390K
17,Michela Arbocco @michela_arbocco,1.2M,-,Peru,,360K
18,macarena velez @macarenav25,1.2M,-,Peru,,360K
19,Soto 🔞 @brayansot,1.1M,0.1%,Peru,Entertainment and Music,330K
20,Priyanka Araujo @priyankaaraujo25,1M,-,Peru,Entertainment and Music,300K
21,Maricielo Effio @m4rici3lo,1M,-,Peru,,300K
22,ElCañita @elcanita,995.5K,0.1%,Peru,,298.7K
23,Edgar Rojas @edgarrojasoficial,983.6K,0.1%,Peru,,295.1K
24,Giacomo Selem Masias @giacoselem,979.2K,-,Peru,,293.8K
25,Kyarin @kyara_villanella_,972.5K,0.1%,Peru,Entertainment and Music,291.8K
26,Gianella 7w7 Fri 🇵🇪 @gianella_ff0,962.9K,-,Peru,Romance and Wedding,288.9K
27,J Fala @jfalaoficial1,961.9K,-,Peru,,288.6K
28,Misias pero viajeras @misiasperoviajeras,935.6K,0.1%,Peru,Travel,280.7K
29,Sp Castro @saidpalao_fit,929.5K,0.1%,Peru,,278.9K
30,Jonathan Valdiviezo @theinkafit,925.7K,-,Peru,,277.7K
31,Nea Paz @neapaz96,922.5K,-,Peru,,276.8K
32,MEMES @ktmemes.pe,920.7K,0.9%,Peru,,276.2K
33,⚡️ JF ⚡️ @jose_onich,905.7K,-,Peru,,271.7K
34,Sheyla01ou♥️ @sheyla01ou,898.9K,-,Peru,,269.7K
35,Keiko Sofía Fujimori @keikofujimorih,897.6K,2.4%,Peru,,269.3K
36,dani @danisayan,894.5K,-,Peru,,268.4K
37,Melania Urbina @melaniaurbinak,892K,0.1%,Peru,Acting and Drama,267.6K
38,Pame @pamela_franco01,891.3K,-,Peru,,267.4K
39,elpanaJ @elpanajuegoss,879.4K,0.1%,Peru,Games Product Education,263.8K
40,anahi de cardenas @anahidec,868.5K,-,Peru,Acting and Drama Pets,260.6K
41,𝚆𝚊𝚕𝚍𝚒𝚛 𝚖𝚊𝚚𝚚𝚞𝚎 @waldir.maqque,863.2K,0.3%,Peru,,259K
42,⚠️Kevinlox⚠️ @kevinlox_,857.1K,0.2%,Peru,,257.1K
43,Ruth Morales Lara @ruthmoraleslara25,854.9K,-,Peru,,256.5K
44,ℰ𝒹𝓊𝒶𝓇𝒹𝒶 ☾ @soyeduarda17,844.9K,0.8%,Peru,,253.5K
45,FOODIELOO @elfoodieloo,843.5K,-,Peru,,253.1K
46,RAULITOPUES10 @raulitopues10,842.9K,-,Peru,Entertainment and Music Funny,252.9K
47,Anddy Gerald🚀 @anddyg15,832.3K,-,Peru,,249.7K
48,palomafiuzaoficial @palomafiuzaoficial,828.6K,-,Peru,,248.6K
49,Brenda Garcia @brendagarciagg,827.9K,-,Peru,,248.4K
50,TONIO 🎬 @toniogeek,827K,-,Peru,Entertainment and Music,248.1K
51,EL CHICO DE TUS SUEÑOS❤️ @josecito966oficial2,826.6K,-,Peru,,248K
52,Cesar Jaen @cesar.jaen,824.5K,-,Peru,,247.4K
53,Augusto López @augustolopezzr,823.6K,0.1%,Peru,Travel,247.1K
54,Allison Pastor Romero @allisonpastoroficial,816.3K,-,Peru,,244.9K
55,almar_goes @almar_goes,814.7K,-,Peru,Nature,244.4K
56,Carlos_Lyrics ✨ @carlos__lyrics,804.3K,0.2%,Peru,,241.3K
57,Traductor Perú @traductor.es,798.2K,-,Peru,,239.5K
58,𝗠𝗘𝗥𝗖𝗘𝗗𝗘𝗦 @temazos.p,797K,0.4%,Peru,,239.1K
59,Eduardo Romay @eduardoromay,796.6K,-,Peru,,239K
60,Joel Fuentes @joelfuentes09,788.5K,-,Peru,Entertainment and Music,236.6K
61,D A R L E N E @darrlymm,788.2K,-,Peru,,236.5K
62,Monica Torres @motorresg,786.8K,-,Peru,Acting and Drama,236K
63,B e l l a C a r i o.🤎 @bellacarioo,785.2K,-,Peru,Entertainment and Music,235.6K
64,🔥PELUCHE FREE FIRE🇵🇪 @peluche19.ff,782.1K,0.2%,Peru,,234.6K
65,emersonCA' @rolitas_yt,777.2K,-,Peru,,233.2K
66,Sixto ivan 😎 @farruko.fans,777K,0.1%,Peru,,233.1K
67,🙏YoconfíoEnDios🙏 @yoconfio.endios,776.4K,1%,Peru,,232.9K
