#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Rui Carlota 🇵🇹 @ruicarlota,7.3M,-,Portugal,Entertainment and Music,2.2M
2,Carlos César @_cacesa,5.1M,-,Portugal,Entertainment and Music,1.5M
3,Hian Grylls @hiangrylls,5.1M,-,Portugal,Funny,1.5M
4,Álec Guímel @alec_guimel,4.6M,-,Portugal,Entertainment and Music Animation and Cosplay,1.4M
5,joelbarreira @joelbarreira,3.9M,-,Portugal,Fashion and Accessories,1.2M
6,Cláudia Amaral @claudiia_amaral_,2.8M,0.1%,Portugal,,840K
7,Cristiano Ronaldo @juve_cristiano,1.8M,-,Portugal,Sports,540K
8,LISBOA @olisboa,1.7M,0.2%,Portugal,Entertainment and Music Funny,510K
9,Valter Sousa @valtersousa,1.4M,0.3%,Portugal,Business and Finance,420K
10,3eponto @3eponto,1.1M,0.5%,Portugal,Entertainment and Music,330K
11,∂iσgσ rєis @diogoreiss,1.1M,0.1%,Portugal,,330K
12,SR7 @sedatcrr7,1M,-,Portugal,,300K
13,Cristiano Ronaldo @ronaldojuve007,990.6K,-,Portugal,Sports,297.2K
14,Jeje Lopes @missllopes,951.3K,-,Portugal,,285.4K
15,João Gomes @joaogomescortes,925K,-,Portugal,,277.5K
16,Constanza Ariza @constanzaariza,923.3K,-,Portugal,,277K
17,FC Porto @fcporto,919.1K,-,Portugal,Sports,275.7K
18,danielfaouakhiri @danielfaouakhiri,904K,-,Portugal,,271.2K
19,Lauanda Rios @lauandariosss,892K,-,Portugal,Fashion and Accessories Beauty and Self Care,267.6K
20,Janne Maia @jannemaiaoficial,877.7K,0.8%,Portugal,,263.3K
21,mel 🇵🇹 @mel92officiel,868K,-,Portugal,Beauty and Self Care Fashion and Accessories,260.4K
22,Débora Gomes @deborategomes,853.8K,-,Portugal,,256.1K
23,luiscarvalhoof1 @luiscarvalhoof1,836.1K,-,Portugal,,250.8K
24,Clara Carpegiani @claracarpegiani,822.4K,-,Portugal,,246.7K
25,Kaylee @kayleepereiraa,796.5K,-,Portugal,Entertainment and Music,239K
26,⚽️ Cristaino Ronaldo 🇵🇹 @joanfootball3,774.1K,-,Portugal,Sports,232.2K
27,Ines Silva @irisloveunicorns,771.8K,-,Portugal,Fashion and Accessories,231.5K
28,Leonor Filipa😝💗 @leonorfilipaa,767.8K,-,Portugal,,230.3K
29,𝕯𝖆𝖓𝖎 @hobisreal1,749.8K,0.1%,Portugal,,224.9K
30,Carmona Podologia @carmonapodologia,736.6K,-,Portugal,Beauty and Self Care,221K
31,Ronaldo 🇵🇹 @reyas_7,726K,-,Portugal,Sports,217.8K
32,Mahina @luanasantos,710.5K,-,Portugal,,213.2K
33,Maria Nunes @marianunes2,705.6K,-,Portugal,,211.7K
34,JR7 @_justronny_,689.6K,-,Portugal,,206.9K
35,fasdeportugal @fasdeportugal,675.9K,-,Portugal,,202.8K
36,EU CADU @cadukk021,658.2K,-,Portugal,Video Gaming,197.5K
37,ED7 @eldios.7,652.9K,-,Portugal,,195.9K
38,Susete @monstresss,638.9K,-,Portugal,Arts and Crafts,191.7K
39,Cristianoronaldo @crist.iano,607.9K,-,Portugal,,182.4K
40,Jo @jj_ren,607.3K,-,Portugal,,182.2K
41,carlos ᕙ(`▿´)ᕗ @carloscorreiaa_,602.2K,-,Portugal,,180.7K
42,Cristiano Ronaldo @cristianoronaldo.galaxy,598.7K,0.2%,Portugal,Sports Video Gaming,179.6K
43,Maria Luisa Rodrigue @marialuisarodrigu670,589.1K,-,Portugal,,176.7K
44,Teté @asthefanymo,584.7K,-,Portugal,Entertainment and Music,175.4K
45,Itzdiogoferraz @itzdiogoferraz2,556.6K,-,Portugal,,167K
46,Pedro @pedro.seefeld,551.6K,-,Portugal,Funny,165.5K
47,jessye_hutner @jessye_hutner,541.7K,-,Portugal,,162.5K
48,Bu @brunaroqueneves,537.4K,-,Portugal,,161.2K
49,joaomoreira @eljoaomoreiraag,535.4K,-,Portugal,,160.6K
50,Baselli 🔥 @baselli,533K,-,Portugal,,159.9K
51,CR7🐐🇵🇹 @timeronaldohd7,527.5K,0.2%,Portugal,,158.3K
52,✨Diiana Monteiro✨ @diianamonteiro_,522.5K,-,Portugal,Fashion and Accessories,156.8K
53,mel @melanievicente99,520.5K,-,Portugal,,156.2K
54,dog_piruças @dog_pirucas,512.3K,0.1%,Portugal,Pets,153.7K
55,Planeta Di Vieira @planeta_di_vieira,509.9K,-,Portugal,,153K
56,Cristiano Ronaldo @ronaldo.hdi7,506K,0.3%,Portugal,,151.8K
57,diogo.brehm @diogo.brehm,490.6K,-,Portugal,Business and Finance,147.2K
58,Gerson Rodrigues @gerson_rodriggues,477.9K,-,Portugal,,143.4K
59,Catt Ameixa 🎀 @cattameixa,472.4K,-,Portugal,,141.7K
60,Rafael Bailão 𓅂 @rafaelbailao,461.6K,-,Portugal,,138.5K
61,davidcarreira @davidcarreiratiktok,458.7K,-,Portugal,Entertainment and Music,137.6K
62,Lalis @r3d_d3m0n,447.1K,-,Portugal,,134.1K
63,Kim Kardashian @kimkardashian.westt,437.2K,0.3%,Portugal,,131.2K
64,Bia luz @bialuzl_,431.1K,-,Portugal,Fitness and Health,129.3K
65,· 🪚 | 𝐧𝐮 🏳️‍🌈🧿 @nuriaserrote,425.5K,-,Portugal,,127.7K
66,M @lyriics.musiics,417.8K,-,Portugal,,125.3K
67,megs @meganlissimore,414.4K,-,Portugal,,124.3K
68,Duarte @duartebrty,411.5K,-,Portugal,,123.5K
69,As Melhores Receitas @as_melhores_receitas,410.1K,1.3%,Portugal,Food,123K
70,Salvador Galeão @salvadorgaleao_,409K,3.3%,Portugal,,122.7K
71,Mirela Montinelly 👑 @mirelamontinellyy,408.5K,-,Portugal,,122.6K
72,Sarah Estanislau @sarahestanislau,403.2K,-,Portugal,,121K
73,Billy @memesdobilly,403K,0.1%,Portugal,Entertainment and Music,120.9K
74,catarina barbie @cat.barbiee,394.1K,-,Portugal,Entertainment and Music,118.2K
75,Diogofgcosta @diogofgcosta,393K,-,Portugal,,117.9K
