#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,D4rkFrame @UC7wseMScXyaEP7ubWutNZmQ,4.9M,0.3%,Portugal,,1.5M
2,WildBrain em Português @UCKWGr9VyIYn_c6gXbYctH3w,4.5M,-,Portugal,,1.4M
3,Temperos e Sabores @UCN3Grwgu5ZFNZzkl4IY3V1w,4.4M,-,Portugal,,1.3M
4,wuant @UCSHSIx0CttXzzuT3YLVZC7Q,3.7M,-,Portugal,,1.1M
5,Fer0m0nas @UC4pxiz_9Ok-B4jiKBVYLODg,3.2M,-,Portugal,,972K
6,Panda E Os Caricas @UCrRCYfAdzBO3ViaOseB9dJw,2.9M,-,Portugal,,855K
7,FEEL MY STYLE @UCYG6DQUw79szmnuNux_S8pg,2.8M,-,Portugal,,846K
8,Nu Meditation Music @UCYy9EGb3fvmUSgMVfJ7KXJw,2.6M,-,Portugal,,786K
9,Os Amiguinhos Contos e Historinhas @UCy2lbjas8-0tw1nGkDkWo5A,2.2M,-,Portugal,,651K
10,Olena Starodubets @UC_o_CN1UbEuIN4VA-08WRpQ,2.1M,0.1%,Portugal,,618K
11,MIRACULOUS - As Aventuras de Ladybug @UCBDEu1tO_K4CpfHJqo6jxmQ,1.9M,-,Portugal,,567K
12,Gabriel Herrera @UCmJocBytBRMbGw6haSRXnjQ,1.6M,0.7%,Portugal,,477K
13,Dreamau @UCGDXvB6qgN7JQ1w2_rBalFA,1.6M,6.2%,Portugal,,471K
14,V Kids @UCLvYm3vnjj1ehSW1YJ7KcQA,1.6M,-,Portugal,,471K
15,Cakepedia @UCB5-vMdPI0bLMtmgtOHJGMQ,1.4M,-,Portugal,,423K
16,自说自话的总裁 @UCgo_-fjJxnLwwwq5dSY72rg,1.4M,-,Portugal,,417K
17,Dima e Carros @UCsgVEZ5vrKQrQQER7p5HwBA,1.4M,-,Portugal,,405K
18,Eiro Nareth @UCOR-iqlcedb8VMnax37m3MQ,1.3M,-,Portugal,Celebrity Music,384K
19,Eatyourkimchi Studio @UCLMtDePlMyiqv2XC_ByNEVQ,1.2M,-,Portugal,Food and Drink,366K
20,Pi @UCSmFxzDZh8M2oKlRslNtdWw,1.1M,0.1%,Portugal,,342K
21,K Tech @UCJY41yD2uXdj3sV-8sMOcGw,1.1M,0.2%,Portugal,Technology,342K
22,Município Boticas @UC7IsOoh1TfF9sc1gisWwKgQ,1.1M,-,Portugal,,339K
23,Lorenzo F7 @UC7oiSNQLq7o-NpYP-SEY_NQ,1.1M,0.5%,Portugal,,336K
24,SEA3P0 @UC3l2Zful_g75Ue4SxDvrnlw,1.1M,3.7%,Portugal,,333K
25,Dino Pereira @UCdwXIx_-gEak1Wz2ijdq12g,1.1M,-,Portugal,,315K
26,RicFazeres @UC7I9vRncx1-vox41l1A0ACQ,1M,0.5%,Portugal,,312K
