#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Bad Bunny @badbunny,31.8M,18.4%,Puerto Rico,,9.5M
2,Andrea & Lewis @andreaandlewis,7M,-,Puerto Rico,Travel Home and Garden,2.1M
3,Nicky Jam @nickyjam,4.9M,-,Puerto Rico,Entertainment and Music,1.5M
4,Candylover89 @candylover89official,4M,-,Puerto Rico,Food,1.2M
5,Cocina con Coqui @cocinaconcoqui,3.6M,5.7%,Puerto Rico,Food,1.1M
6,Luv @kierraluv,3.4M,-,Puerto Rico,Entertainment and Music Romance and Wedding,1M
7,Ana Coto @anaocto,2.1M,-,Puerto Rico,,630K
8,CAMI NICCOLE @caminiccole,1.9M,-,Puerto Rico,Entertainment and Music,570K
9,simbah🌹 @lindsaynikole,1.9M,-,Puerto Rico,,570K
10,Tqstaceyy @staceyyrosado,1.9M,-,Puerto Rico,,570K
11,tabby 🍓💫 @strawberrytabby,1.6M,-,Puerto Rico,,480K
12,Jose 🇵🇷 @imtropicaljoe,1.6M,-,Puerto Rico,Entertainment and Music,480K
13,A L E X I A @lexdelvalle,1.5M,-,Puerto Rico,,450K
14,Jenoah Santiago @just_jenoah_,1.4M,0.1%,Puerto Rico,Animation and Cosplay,420K
15,Leonardo Van der Neut @leosemfiltro,1.3M,-,Puerto Rico,,390K
16,Carlos @carlosemmanuelcal,1.3M,-,Puerto Rico,Entertainment and Music,390K
17,Villaa Oficial @villaaoficial,1.3M,-,Puerto Rico,,390K
18,Jessica Vill @jbunzie,1.2M,-,Puerto Rico,,360K
19,Bad Bunny @benitomartinezz1,1.1M,-,Puerto Rico,Entertainment and Music,330K
20,Caroline Reyes @caarolitaa,1.1M,-,Puerto Rico,,330K
21,🤱🏻AMO LA LACTANCIA🤱🏻 @paulysant,966K,-,Puerto Rico,family,289.8K
22,EFKTO @efktomusic,938.9K,-,Puerto Rico,Entertainment and Music,281.7K
23,Flohyran Correa @flohyran,936.5K,-,Puerto Rico,,281K
24,Bryan Yaniel🤌🏿 @bryannyaniel,914.3K,-,Puerto Rico,,274.3K
25,Luis Fonsi @luisfonsi,912.4K,-,Puerto Rico,,273.7K
26,K I M B E R L Y 🦋 @kiikiimarie,892.3K,-,Puerto Rico,,267.7K
27,SUPA @_supapeach,861.9K,0.2%,Puerto Rico,,258.6K
28,Dean Huertas @deanhuertas,855K,0.1%,Puerto Rico,,256.5K
29,Adriana @adrianafilomeno,839.1K,-,Puerto Rico,Beauty Fashion,251.7K
30,Arián @nairashlee,820.3K,1%,Puerto Rico,,246.1K
31,Emily Rios @itsemilyrios,817K,-,Puerto Rico,Entertainment and Music,245.1K
32,Jonathan @paganjonathan,816.2K,-,Puerto Rico,,244.9K
33,Khaby Lame @khaby.lame_lives,808.1K,-,Puerto Rico,,242.4K
34,carmenluvana @carmenluvana,802.8K,0.1%,Puerto Rico,,240.8K
35,Chicle @chicleclown,802K,-,Puerto Rico,,240.6K
36,M I Z V A N E Z Z A @iammizvanezza,795.4K,-,Puerto Rico,,238.6K
37,Hazel Moore @dulce.mami,783.6K,-,Puerto Rico,,235.1K
38,Steven Brundage @stevenbrundageart,782K,-,Puerto Rico,,234.6K
39,Molusco @yosoymolusco,774.7K,-,Puerto Rico,Parenting,232.4K
40,Arcangel @arcangel,766.2K,1.1%,Puerto Rico,,229.9K
41,dia @anxrosa,744.1K,-,Puerto Rico,Entertainment and Music,223.2K
