#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43.1M,-,Puerto Rico,,12.9M
2,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.4%,Puerto Rico,Celebrity Music,10.6M
3,NickyJamTV @UCpb_iJuhFe8V6rQdbNqfAlQ,23.2M,0.1%,Puerto Rico,,7M
4,Hear This Music @UCz2SUbUr2k0T3nEmutgsPjg,14.2M,-,Puerto Rico,,4.3M
5,Rauw Alejandro @UC_Av98lDjf5KvFib5elhpYg,12.4M,-,Puerto Rico,,3.7M
6,DANIEL EL TRAVIESO VIDEOS @UCgSk89VX4QiKZsjS25FCBsQ,11.5M,0.5%,Puerto Rico,,3.5M
7,Arcangel @UCu4bj03KW4CwAsYtHSwMEsQ,10.1M,0.5%,Puerto Rico,,3M
8,Bryant Myers @UCTHTB1_BGcac49N3527qQ9Q,8.3M,-,Puerto Rico,,2.5M
9,Residente @UCzSz51ZH79cp5jvSkw_tJGA,5.4M,-,Puerto Rico,,1.6M
10,BrytiagoTV @UCuVvjHUPjVsJraijv120D_A,5.2M,1.5%,Puerto Rico,Music,1.6M
11,Jay Wheeler @UC7fi3WLjvsa5U4LYLn1B56Q,4.6M,-,Puerto Rico,,1.4M
12,Guaynaa @UCMCiKO21-niWqCIW4LA170w,3.4M,0.4%,Puerto Rico,,1M
13,Eladio Carrion @UC0_95MpNlRz9x7JmsXBClZA,3.3M,-,Puerto Rico,Music,984K
14,Lenny Tavarez @UCZaF5bLUS5XRsXDCnH8jFeg,3.1M,-,Puerto Rico,,924K
15,De La Ghetto @UCRp097cJIVS-cQ_GuZWQkJg,2.8M,1.6%,Puerto Rico,Careers Music,834K
16,Jowell & Randy @UCR1aSfi_Vp8vyjuWnzJMGjQ,2.7M,0.6%,Puerto Rico,,804K
17,Ele A El Dominio @UC1A16dAPbDIoWT9wBGihOaQ,2.5M,1.4%,Puerto Rico,,762K
18,Jamby El Favo @UCIVux4dBPIVNp_TJkEgVo6A,2.4M,0.4%,Puerto Rico,Music,726K
19,"Tito ""El Bambino"" @UCxn6ts-dyAMahcpYBi95X1Q",2.2M,0.3%,Puerto Rico,,672K
20,Daniel El Travieso Musica @UC2IIQm_6oV0uU_Ok_mCksxA,2.2M,0.5%,Puerto Rico,,666K
21,Rimas Music @UCWC8bwUOlQEsUOqLSIESI7A,2.1M,1.6%,Puerto Rico,,624K
22,AlexisyFidoOfficial @UCRMm8HgS0cjsvi87BBxW5OA,1.9M,-,Puerto Rico,,576K
23,Darkiel @UC6EWYeeCgW5OCfNpAQurwuQ,1.8M,1.3%,Puerto Rico,Celebrity Music,534K
24,Revol @UCio3FGH-c_t9oXD3hKshXnw,1.4M,-,Puerto Rico,,432K
25,Mora @UCv0Gdfwyin6w3vbpZnEpmrQ,1.4M,12.8%,Puerto Rico,,423K
26,Nio Garcia @UCTA-G0O4k0t_N_LchVa8uMw,1.3M,-,Puerto Rico,,399K
27,Gilberto Santa Rosa @UCCTs64yAtgvbvySwf18aAIg,1.3M,-,Puerto Rico,,387K
28,Christian Daniel Oficial @UCQY0LRLw07mgbF83kBHJ49w,1.1M,-,Puerto Rico,,324K
29,Elvis Crespo @UCobKqaC9kUzCHKBZrd3ATiA,1.1M,0.3%,Puerto Rico,,321K
30,Cultura Profética Oficial @UC0Kj5Kr1DjdAmt7adScltMw,1.1M,1.9%,Puerto Rico,,321K
31,Chente Ydrach @UCLRbnb5jxP-x6OAN9m-3AOw,1.1M,0.2%,Puerto Rico,,318K
32,Los G4 @UCuyyjqi2Ve604GrlT2rwNzA,1M,0.4%,Puerto Rico,,306K
33,Tempo @UC0SYAB5AaDMeEQs11FbVzUA,938K,-,Puerto Rico,,281.4K
34,Javiielo @UC0gpsd4xLxNUp-7SYI9irBw,772K,1.1%,Puerto Rico,,231.6K
35,Desiree Lowry @UC5lpM3-ILsReXjphRP9c53Q,736K,0.5%,Puerto Rico,,220.8K
36,Gigolo Y La Exce @UCe24yt-fiMAVfVMhAK06AWw,715K,2.4%,Puerto Rico,,214.5K
37,CautyTV @UCPUf1ObdZfwQ4QbBng26JVw,691K,0.5%,Puerto Rico,,207.3K
38,Trapeton @UCCgtiVHQYqXc7CTu2zZAQ4Q,647K,0.1%,Puerto Rico,,194.1K
39,Samuel Hernandez @UCKrQoMOHkx89BU6hf0mv09w,646K,0.1%,Puerto Rico,,193.8K
40,Michael Vargas @UCPx8FMfGbWdL_4XH9HhVJAg,585K,-,Puerto Rico,,175.5K
41,Olympos Tops @UCLnElNO4IA8RtAGQ4-XfyQg,576K,-,Puerto Rico,,172.8K
42,LaCimaTV @UCLMMqw-UEJM-snuhuy1K3ig,556K,-,Puerto Rico,,166.8K
43,Trap House Latino @UCbw7LLT6Wq4hYdg_3Z0R4NQ,548K,3.7%,Puerto Rico,,164.4K
44,INDIOMAR @UCpMOs2jTOGNvBtn4bwRkxfA,532K,2.1%,Puerto Rico,,159.6K
45,Peter Schiff @UCIjuLiLHdFxYtFmWlbTGQRQ,510K,0.4%,Puerto Rico,,153K
46,SinfonicoTV @UCDPEgjEPyGjWd2F5AqBcdIA,484K,0.6%,Puerto Rico,,145.2K
47,VF7 PR @UCm4O1nMZpI3GlGKG8vqSPjw,477K,1.8%,Puerto Rico,,143.1K
48,JRVstudio @UC2zfPbipipAuMdQglaZ6sYw,445K,-,Puerto Rico,,133.5K
49,Villaa Oficial @UCsDOCWQIe-AlPrklH3Q1qyw,443K,-,Puerto Rico,,132.9K
50,BeautyByMayely @UCmvBTVq4xM-oBhrPsZRaWQg,433K,-,Puerto Rico,,129.9K
51,MannyMontesTV @UCNkZ67MF6q20PXBzPAs6URQ,429K,-,Puerto Rico,,128.7K
52,Chente Ydrach Clips @UCXAO-BsguYdT77p4Y9497dw,421K,-,Puerto Rico,,126.3K
53,Harold Velazquez official @UCaEQ1xL4P9lvV9WDFptjWsg,392K,-,Puerto Rico,,117.6K
54,Lucha Libre Online @UCgQ4okhw7MksyRngxOzT1vA,391K,-,Puerto Rico,,117.3K
55,Jossef @UC3Mk0U4xRa1tw6R0NQHWhzQ,382K,-,Puerto Rico,,114.6K
56,EL JÍBARO MODERNO @UCZKkgPW60NwDPMmi8U-UcJg,377K,-,Puerto Rico,,113.1K
57,Maiky Backstage @UClbcTKRxFMYpZ2zReSReN7A,326K,0.1%,Puerto Rico,,97.8K
58,Wapa TV @UCS8ijwbihAxO9grbNnBT09g,324K,-,Puerto Rico,Television,97.2K
59,JoJo Chan Shine @UC818Tjy2E_sFG74S-r_C79A,319K,-,Puerto Rico,,95.7K
60,Lover Joe @UCGUyD-Rgg93-p06WlmZMYsw,310K,-,Puerto Rico,,93K
61,Pacho El Antifeka @UCOzuXzbZgZLJGQ7JMlzgzAA,308K,1.6%,Puerto Rico,,92.4K
62,Trada Art @UCzM58wqsK1iyohjl0Cf8z8w,304K,3.7%,Puerto Rico,,91.2K
63,Atención Atención - Videos y canciones infantiles @UCulfCHLfscmGmPPqRuFcX8g,301K,-,Puerto Rico,,90.3K
64,Freestyle Mania Season @UCe1yeIzSLfxxqiGjqQbGQJg,300K,-,Puerto Rico,,90K
65,Tatito Tales @UCOUYx9mPaMvVvuZ78y5naiA,292K,-,Puerto Rico,,87.6K
66,El Viejardou @UC7YNKi_cpozSd5RNd95BnMw,288K,0.4%,Puerto Rico,,86.4K
67,Aires Esotéricos Tarot @UC0aWjtA0H1bRCDfo1ebZyXQ,288K,-,Puerto Rico,,86.4K
68,Norberto Vélez @UCoYG2_6XGtxkNpyslskTcwQ,286K,0.6%,Puerto Rico,,85.8K
69,D.OZi @UCKySa56gaq6qvbT9ChScs-g,274K,1.2%,Puerto Rico,,82.2K
70,NaturalSlim® @UCwy5Iza8GxfNK5OKkI9-Ucg,273K,-,Puerto Rico,,81.9K
71,Rafa Pabon @UCYwiWPVeuwiCrXOwii9tQdA,264K,1%,Puerto Rico,,79.2K
72,The Spirit of Orchestral Music @UCAorliAMLIw_US9fmKxqOdg,261K,-,Puerto Rico,,78.3K
73,WILLIE GONZALEZ @UC5of-Zi5TFfwrtbnkVWVmBg,261K,0.1%,Puerto Rico,,78.3K
74,Anonimus TV @UCPHa-ODrqB8jbVwje6wUsHA,260K,1.1%,Puerto Rico,,78K
75,compostapr @UC1Fop1sGlHVnsuLSiI_B5sg,254K,0.4%,Puerto Rico,,76.2K
76,lapatanamusicalnet @UCHF4eVWbU24tLoqmB5WOn-w,253K,-,Puerto Rico,,75.9K
77,Kevin Peña y Zuleyka Barreiro Ministries @UCwmHrgH4UO8MY3w9In5-yiA,247K,-,Puerto Rico,,74.1K
78,Hozwal @UCYopTA1SG3KGd8riW4aQj5g,244K,4%,Puerto Rico,,73.2K
79,Gabriel EMC @UCg2DqfapaPAOSbK8ulf12wg,238K,-,Puerto Rico,,71.4K
80,El Gran Combo de Puerto Rico @UCudqQoeNff0uGMTd6vhDNfQ,237K,0.4%,Puerto Rico,,71.1K
81,حمزة الاعمص Hamza Alams @UCqvQZi2VrjQzOxmNJmPnvhg,232K,0.5%,Puerto Rico,,69.6K
82,Gabiilon @UCKtkHjG_vofOs_HEIXYUllQ,231K,-,Puerto Rico,,69.3K
83,TheRealSonicFan @UCnYwVM9uyLGzTFfAkWqiUdQ,225K,-,Puerto Rico,,67.5K
84,JOSEPH FONSECA MUSIC @UCrbXasT1grb4W7eDm5ZkrmA,223K,0.1%,Puerto Rico,,66.9K
85,Melvin Comedia @UCoBKtB9za-HOqQx7Uv9HgwQ,221K,0.3%,Puerto Rico,,66.3K
86,Full Harmony @UCgADb3wDZG8BcOruPLphlSw,216K,0.1%,Puerto Rico,,64.8K
87,Naria Astryal @UCdIICnicxmDyTh1zPNM-9rA,211K,0.1%,Puerto Rico,,63.3K
88,V1P3R @UCmEBODMKzne24XqL2AUvdog,211K,1.5%,Puerto Rico,,63.3K
89,Franco El Gorila @UCdff7xPz3zykHH8EewBvUXw,211K,3.8%,Puerto Rico,,63.3K
90,TrashToy @UCvLLm3IBA118KbR0j-XmytQ,208K,-,Puerto Rico,,62.4K
91,Amarion @UCiFCOVgAWFUn5j0qEw4hsjA,208K,21.9%,Puerto Rico,,62.4K
92,Magic Trap TV @UCrZoBTtZZz3NROwA8h0nb2Q,204K,-,Puerto Rico,,61.2K
93,Jaydan @UCDck4XHsxREHXwAzulloAmg,203K,-,Puerto Rico,,60.9K
94,Vanessa Sonica @UCIKXTdaWYRxruUg42U4PAQA,202K,-,Puerto Rico,,60.6K
95,Yaga & Mackie @UCmOnsPuS68hRkm18o1kua9Q,202K,0.2%,Puerto Rico,,60.6K
96,Trap Cartel @UCedKMitCYfmf_PPbisS3idA,201K,-,Puerto Rico,,60.3K
97,ELYSANIJ @UCCEcOLEBJUx6YGs1VHqUuVQ,196K,-,Puerto Rico,,58.8K
98,Dale Rewind @UCOYZ6kOGNy6EbCDvOFBc7iA,193K,-,Puerto Rico,,57.9K
99,En La Intimidad TV @UC8Aii-pXOaUINK-KGpqwy9A,190K,-,Puerto Rico,,57K
100,Roberto Lugo @UCL9NVikT5u1TDq4yoElFOSw,189K,0.1%,Puerto Rico,,56.7K
