#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Remus Bujor @remusbujor,10.8K,0.08%,Romania,Photography,3.2K
2,Lali 🌶️ @anti_parallali,4.5K,1.02%,Romania,Auto and Vehicles Outdoor Activity,1.3K
3,🐝 Bianca Vanessa 🦋 @biancaandreescu_,4.2K,5.84%,Romania,Sports,1.3K
4,Alina K @alinak.official,4.1K,0.14%,Romania,Fashion & Accessories,1.2K
5,Kaan Yeşilbudak @kaanyesilbudak,2.8K,1.66%,Romania,Travel,852
6,Josh S Rose @joshsrose,2.3K,0.42%,Romania,Photography,690
7,𝓢𝓮𝓶𝓲𝓻𝓪𝓱 @mirah_balogun,2K,0.4%,Romania,Entertainment & Music,606
8,JASMINA SHOW @jasmina_show,1.7K,0.18%,Romania,Education,504
9,Patricia Romania @patriciaromania,1.6K,0.7%,Romania,Arts & Crafts,483
10,Flonta Montar @flontamontar,1.6K,1.4%,Romania,,468
11,Mihail Onaca @mihailonaca,1K,1.79%,Romania,Photography Travel,309
