#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Aurelia Dobre @aureliadobre,6.7M,-,Romania,Sports,2M
2,Lavbbe @lavbbe,3.7M,-,Romania,Fashion and Accessories Beauty and Self Care,1.1M
3,Adelina Pestritu @adelinapestritu,1.8M,-,Romania,Fashion and Accessories,540K
4,andragogan.ro 🇷🇴 @andragoganro,1.7M,-,Romania,,510K
5,Andra @andratwork,1.4M,0.1%,Romania,Education,420K
6,Anca Thunder @ancathunder,1.1M,-,Romania,,330K
7,Oana Zara @oanazara,1.1M,2.6%,Romania,Acting and Drama,330K
8,Stefania @cristinaa.stefaniaa,992.2K,-,Romania,,297.7K
9,Motivation @andrei_deiu.01,988.3K,-,Romania,,296.5K
10,💜Mady💜 @maddymaddy9,984.5K,-,Romania,,295.4K
11,Daniel Pavel @danielpavell,984.3K,0.3%,Romania,,295.3K
12,Alexandra Campan @ale.campan15,961.3K,-,Romania,,288.4K
13,Florin Giura @dibujos.animadoos,949.3K,-,Romania,,284.8K
14,Lucas Popan @lucaspopan,940.8K,0.8%,Romania,,282.2K
15,David @davidencu,933.4K,0.3%,Romania,,280K
16,KingBish @spicedevilcaleb,911.6K,-,Romania,Food and Drink,273.5K
17,Smiley @smiley_omul,910.1K,-,Romania,,273K
18,Miruna Rumina @miruna.rumina,908.7K,-,Romania,,272.6K
19,dominic @dominicgabriele,888K,-,Romania,,266.4K
20,S💜I💜M💜O💜N💜N💜A @simonna_braboveanu,876.9K,-,Romania,,263.1K
21,Ines Stana @ines,839.1K,-,Romania,,251.7K
22,Louis Florea @louismflr,834.8K,-,Romania,,250.4K
23,Romania @romania,813.6K,-,Romania,Nature,244.1K
24,Lorena Visan @lorevsn,806.4K,-,Romania,,241.9K
25,Diana C @dianacondurache,787.9K,-,Romania,,236.4K
26,Alex Cojuhari @alex.cojuhari,783.9K,0.2%,Romania,,235.2K
27,andreeacorb @andreeacorb,775.9K,-,Romania,Food,232.8K
28,1Petru @1petru,773K,0.7%,Romania,,231.9K
29,Lord Dracula @draculamlph,756.4K,-,Romania,,226.9K
30,Ina @terescencoina_,752.9K,-,Romania,,225.9K
31,azaleea.necula @azaleea.necula,749.7K,-,Romania,,224.9K
32,Bianca Maria Comanici @comanicibianca14,735.7K,-,Romania,,220.7K
33,Nikolas Sax @nikolassax,734.9K,-,Romania,,220.5K
34,🔺Vlad🔻 @vladneamtu0,731.8K,-,Romania,,219.5K
35,✪Sportactivities✪ @sportactivities,727.8K,-,Romania,,218.3K
36,VLAD MUNTEANU @mnt.vlad,712.8K,-,Romania,,213.8K
37,Vlada Grecu 😈 @vlada.prada,704.7K,-,Romania,Travel,211.4K
38,Leoo Dumitru @leoodumitru,703.4K,-,Romania,Entertainment and Music,211K
39,Mihai Dragomir @mihai_dragomir,693.8K,0.1%,Romania,,208.1K
40,rita.engleza @rita.engleza,684.4K,-,Romania,,205.3K
41,Barnoschi Ana Maria @barnoschianamaria,679.3K,-,Romania,,203.8K
42,Hair Hood @hairhood.ro,675.3K,-,Romania,Fashion and Accessories,202.6K
43,Dr. Alexandra Mircea @dr.alexandra.mircea,674.6K,-,Romania,Beauty and Self Care,202.4K
44,Vlăduța Lupău @vladutal,672.4K,0.1%,Romania,,201.7K
45,Cosmin Popa @cosminpopa,671.2K,-,Romania,Animation and Cosplay,201.4K
46,Bromania @bromania,660.8K,0.1%,Romania,,198.2K
47,Iuliana Nistor @iuliananistor4,649.2K,-,Romania,,194.8K
48,Sorana Maria @soranamaria26,646.5K,-,Romania,Entertainment and Music Business and Finance,194K
49,Telcean Marius @telceanmarius,632.3K,-,Romania,,189.7K
50,Alexandra🌞 @heyitsalexandraaa,623.8K,-,Romania,,187.1K
51,Iulian Mehedint @iulian.3chestii,574.6K,-,Romania,,172.4K
52,Robert Ștefănescu @robert.stefanescu,571.1K,-,Romania,,171.3K
53,Geta Sterp @geta.sterp,561.4K,0.1%,Romania,,168.4K
54,TARZY @tarzyoficial,555.4K,-,Romania,,166.6K
55,Camelia Radu @cameliaradu,552.2K,-,Romania,,165.7K
56,Maria Nedelcu @marianedelcu6,542.2K,-,Romania,Fitness and Health,162.7K
57,Alice @alicedraghicii,530.3K,-,Romania,,159.1K
58,georgecgf @georgecgf,528.8K,-,Romania,,158.6K
59,🔐𝑅𝒪𝐵𝐸𝑅𝒯🔐 @robertandrei400,524.1K,-,Romania,Romance and Wedding,157.2K
60,Nadina Ioana @nadinaioanaofficial,523.6K,-,Romania,Beauty and Self Care,157.1K
61,Andreea Balan @andreeabalan,513.6K,-,Romania,,154.1K
62,Bogdan Medvedi @bogdanmedvedi,511.4K,-,Romania,,153.4K
63,Codin Maticiuc @codin_maticiuc,511.4K,-,Romania,,153.4K
64,Chirila Radu @chirilaradu,508.9K,-,Romania,,152.7K
65,Romario Mocanu @romario.mocanu,495K,-,Romania,,148.5K
66,REGELE FABIAN OFICIALL 👑 @_regele_fabian_oficiall_,491.5K,-,Romania,,147.5K
67,Pavel Bartos @pavel_bartos,480.8K,-,Romania,,144.2K
68,Mihaela Gabriela @mihaelagabriela359,475.7K,-,Romania,,142.7K
69,Alina Cheșcu ✅ @alina954w1,461.3K,-,Romania,,138.4K
70,qwertykey.ro @qwertykey.ro,460.7K,-,Romania,,138.2K
71,Cozyyyy @cozzy.mina,455.3K,0.4%,Romania,,136.6K
72,adelindoamnefereste @adelindoamnefereste,455.1K,0.2%,Romania,,136.5K
73,Adinuta😍 @adinacozma,454.3K,-,Romania,,136.3K
74,Nemo @florentindani_el,452.3K,-,Romania,,135.7K
75,mitzuu @mitzuu_,452.2K,0.3%,Romania,,135.7K
76,Pyker51 @pyker51,446.1K,-,Romania,,133.8K
77,Bianca @amyclaire_97,444.5K,-,Romania,,133.4K
78,Cristiana.ioana._ @cristiana.ioana._,440.9K,-,Romania,Entertainment and Music Funny,132.3K
79,⚜rebecca⚜ @rebecca_kd0.33,440.4K,-,Romania,,132.1K
80,Radu Țibulcă @radutibulca,438.6K,-,Romania,,131.6K
81,Marta🌻 @martasascau80,434.8K,-,Romania,Funny,130.4K
82,MApN-Armata României @armataromaniei,433.9K,0.1%,Romania,,130.2K
83,Radu Constantin @radu.co,432.9K,-,Romania,,129.9K
84,Ioana Sfinxul @ioanasfinxul,432.5K,0.1%,Romania,,129.8K
