#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,ГУСЕЙН ГАСАНОВ @gusein.gasanov,189.6K,3.63%,Russia,,56.9K
2,Саша Митрошина. Она же Матерь Бложья @alexandramitroshina,125.1K,1.03%,Russia,Fashion & Accessories,37.5K
3,Двощанский @dvoshansky,116.5K,0.05%,Russia,Arts & Crafts Photography,35K
4,🔞💄Алексей💋🔞 @zhidkovskiy,91K,0.98%,Russia,,27.3K
5,Ирина Хакамада @irina_hakamada,88.5K,0.75%,Russia,Education Politics,26.6K
6,IRINA BAEVA @irinabaeva,86.3K,0.46%,Russia,Beauty & Self Care,25.9K
7,КАТЯ ВАРНАВА @kativarnava,83.4K,0.86%,Russia,Fitness & Health,25K
8,Елена Сажина @helen_yes1,81.6K,1.02%,Russia,family Romance & Wedding,24.5K
9,VICTORIA BONYA @victoriabonya,78.5K,0.31%,Russia,Beauty & Self Care Fashion & Accessories,23.6K
10,Ирина Дружинина @mrs.druzhinina,72.1K,0.39%,Russia,family Education,21.6K
11,ЛЭТУАЛЬ @letoile_official,68.6K,0.11%,Russia,Beauty & Self Care Product Education,20.6K
12,ANASTASIIA SOZONIK @nastyasozonik,65.1K,0.22%,Russia,Arts & Crafts Entertainment & Music,19.5K
13,Jah Khalib @jahkhalib,63.9K,5.18%,Russia,Entertainment & Music,19.2K
14,Русская редакция Forbes @forbes.russia,62.2K,0.59%,Russia,Finance,18.7K
15,Valentin Petukhov @wylsacom,62K,2.04%,Russia,Education Product Education,18.6K
16,Стас Круглицкий @stasprostoklass,61.8K,0.31%,Russia,Beauty & Self Care,18.5K
17,Katrin Klimova @katrinka_family,61.8K,0.61%,Russia,Home & Garden DIY & Life Hacks,18.5K
18,Алина Акилова @alina_akilova,60K,1.37%,Russia,,18K
19,✪ ЛОФТ ИНТЕРЬЕРЫ LOFT INTERIOR @loft_interior,59.1K,0.39%,Russia,Home & Garden Arts & Crafts,17.7K
20,Анастасия Тарасова | Инвестиции | Экономика @nastya_docs,58.2K,0.14%,Russia,Finance,17.5K
21,Доктор Наталья Зубарева @doctor_zubareva,58K,0.25%,Russia,Health & Fitness Product Education,17.4K
22,Ольга Гогаладзе | МАТЬ ДЕНЕГ 🤟🏻💰 @pro.finansy,54.6K,0.5%,Russia,Finance Education,16.4K
23,Ляйсан Утяшева @liasanutiasheva,53.6K,0.96%,Russia,Entertainment & Music,16.1K
24,ANNA SEDOKOVA @annasedokova,53.5K,0.13%,Russia,Entertainment & Music,16K
25,12 STOREEZ @12storeez,50.6K,0.15%,Russia,Fashion & Accessories,15.2K
26,Наташа Рудова @rudovanata,50.2K,0.35%,Russia,Acting & Drama,15.1K
27,SUPER @super.ru,50.2K,0.4%,Russia,Entertainment & Music,15K
28,slavamarlow @slavamarlow,46.8K,0.86%,Russia,Entertainment & Music,14K
29,"Молли, девочка с каре @ya.molli",45.8K,0.17%,Russia,Education,13.7K
30,"Бабич, БабиТч или Бубич?😂 @ba.bitch_",43.6K,1.04%,Russia,,13.1K
31,Sergey Romanovich @s_romanovich,43.5K,0.6%,Russia,Business & Finance,13K
32,Elena Temnikova ・ Темникова @lenatemnikovaofficial,43.4K,-,Russia,Entertainment & Music,13K
33,ПЕТР ОСИПОВ @petrosipov1,42.2K,0.82%,Russia,Auto and Vehicles Life & Society,12.7K
34,Rafkat Shakirov @rafkat,42K,0.53%,Russia,Photography,12.6K
35,🇬🇧🇺🇸ENGLISH & ACCENT & ACTING @sasha_mayorik,41.4K,0.13%,Russia,Education Upskilling Animation & Cosplay,12.4K
