#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44.3M,-,Russia,,13.3M
2,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39.1M,-,Russia,,11.7M
3,HiMan @UCM44x9uWlx__9M9Y2IFhxzQ,18.1M,0.8%,Russia,,5.4M
4,TheBrianMaps @UCyJrhZm9KXrzRub3-wD2zWg,16.5M,1.7%,Russia,,5M
5,AdMe @UCuVpbMt4yu4I9eAey3khnGg,15.7M,-,Russia,,4.7M
6,Мастерская Настроения @UCRW3VLiVep5Ud4Ovhj2eUyA,14.1M,-,Russia,,4.2M
7,Поззи @UCuZeiI5pdpgqDojXZujoYgg,13.1M,0.1%,Russia,,3.9M
8,Compot @tastycompot,12.2M,0.3%,Russia,,3.7M
9,MrGear @UCo6DJdltbIub80bLiyJRv3w,11.9M,-,Russia,,3.6M
10,MORGENSHTERN @UCWnqnojAgMdN0fQpr_xByJw,11.8M,1.7%,Russia,,3.5M
11,BIBO и Игрушки @UCqk10y8p4_QVUT9e5LWKkdg,11.7M,-,Russia,,3.5M
12,EugenBro @UCI-t7aBR9T38EzLaNNXLLqA,10.7M,-,Russia,Video Gaming,3.2M
13,СТС @UCdmauIL-k-djcct-yMrf82A,10.7M,-,Russia,,3.2M
14,AdamThomasMoran @UC-27_Szq7BtHDoC0R2U0zxA,10.6M,0.6%,Russia,,3.2M
15,Family Box @UC-jHNWViReG6R_kJ6b45FdQ,10.4M,0.3%,Russia,,3.1M
16,Теремок - Песенки для детей @UCqZZoXlUEki3H7_GCQrw53A,10.3M,-,Russia,Marketing and Advertising,3.1M
17,Давай поиграем в игрушки @UCC-7t96Wrq1d5lwygxOvufQ,10.2M,0.2%,Russia,,3.1M
18,Wylsacom @UCt7sv-NKh44rHAEb-qCCxvA,10.1M,0.1%,Russia,,3M
19,FixEye @UCCiGUQiWcz3lKev49TX8-Ew,9.7M,-,Russia,,2.9M
20,LITVIN @UCy6p8krDY33mDRMt19YrlXg,9.7M,-,Russia,,2.9M
21,FROST @UC9diVCDUnRAB3buT1vLn4-w,9.4M,0.4%,Russia,,2.8M
22,Аид [VyacheslavOO] @UCPX53dr-NSKoXspKmXanbCw,9.1M,-,Russia,,2.7M
23,ЕГОРИК @UCUHQKxU-_DWsrwBxlKWgsew,8.6M,1.1%,Russia,,2.6M
24,HomeAnimations - Мультики про танки @UC-Bc-4nV2-Tk4Af2rqrmrjA,8.6M,0.2%,Russia,,2.6M
25,Говорящий Том и Друзья @UCnBTGpEQ3LGPW2Shh7fiabg,8.4M,-,Russia,,2.5M
26,Little Miss Sofia @UC3p6RnGpU0QQ_H7eYbnH2AA,8.2M,-,Russia,,2.5M
