#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Kooora.com @kooora,328.4K,0.25%,Saudi Arabia,Sports,98.5K
2,أخبار السعودية @saudinews50,275.4K,0.55%,Saudi Arabia,Education Life & Society,82.6K
3,Hisham Baeshen - هشام باعشن @misho_baeshen,251.4K,0.16%,Saudi Arabia,Food,75.4K
4,لنفسي ⚜️ @aghar_fb,211K,0.38%,Saudi Arabia,,63.3K
5,SHASHTARI TWINS 👬 @shashtaritwinss,195K,0.84%,Saudi Arabia,family,58.5K
6,ArabWood @arabwoodtv,183.8K,0.38%,Saudi Arabia,Entertainment & Music,55.1K
7,S7S👌🏻سحس @hussain.sallam,167.2K,0.25%,Saudi Arabia,Entertainment & Music,50.2K
8,GOAL Arabia @goalarabia,163.4K,0.35%,Saudi Arabia,Personal Blog,49K
9,غرام || الصفحة الرسميّة @gharam_official,159.1K,1.31%,Saudi Arabia,Life & Society,47.7K
10,شيف عمر CHEF OMAR @chef1omar,142.4K,0.67%,Saudi Arabia,Food,42.7K
11,Tareq Al-Harbi @6ar8o,138.1K,0.25%,Saudi Arabia,Arts & Crafts,41.4K
12,ALEX @alexanderuloom,126K,1.87%,Saudi Arabia,Entertainment & Music,37.8K
13,Abdullah Bakr | عبدالله بكر @boodyzozo,125.9K,2.14%,Saudi Arabia,Beauty & Self Care Fashion & Accessories,37.8K
14,Nahla نهلة ✨ @nahlatv,112.8K,0.99%,Saudi Arabia,Entertainment & Music,33.9K
15,Mohammad Nabeel @m_nabil79,105.6K,1.36%,Saudi Arabia,Entertainment & Music,31.7K
16,ميتو الشامسي | Mohammed Shamsi @imeeto,102.1K,0.61%,Saudi Arabia,Entertainment & Music Funny,30.6K
17,Salam Katanani • سلام قطناني @salamkatanani,97.3K,1.32%,Saudi Arabia,Science Business,29.2K
18,اطيب طبخة - atyabtabkha @atyabtabkha,93.4K,0.05%,Saudi Arabia,Food,28K
19,Majid Almohandis ماجد المهندس. @majidalmohandis,75.6K,4.39%,Saudi Arabia,Entertainment & Music,22.7K
20,#ميلا_الزهراني @milaalzahrani,71.7K,-,Saudi Arabia,Acting & Drama,21.5K
21,Celebs Arabic @celebsarabicnet,69.6K,0.38%,Saudi Arabia,Entertainment & Music,20.9K
22,Omar Borkan عمر بركان @omarborkan,68.7K,0.5%,Saudi Arabia,,20.6K
23,KFC Arabia @kfcarabia,67.1K,0.17%,Saudi Arabia,Food,20.1K
24,Saudi Gamer - سعودي جيمر @saudigamer,67K,0.2%,Saudi Arabia,Animation & Cosplay Games,20.1K
25,XZIT @xzit_thamer,64.9K,0.23%,Saudi Arabia,Games,19.5K
26,مكتبة جرير السعودية @jarirbookstore,62.9K,0.1%,Saudi Arabia,Education,18.9K
27,الربع ... صديق الكل @rbaa33,56.8K,0.77%,Saudi Arabia,Art & Crafts DIY & Life Hacks Education Upskilling,17K
28,ثنيان خالد || Thunayyan Khalid @thunayyan16,53.8K,-,Saudi Arabia,Finance Business,16.1K
29,Shereen Anwar شيرين أنور @shereen.anwarr,51.6K,0.21%,Saudi Arabia,Fashion & Accessories,15.5K
30,A⃨l⃨a⃨n⃨o⃨u⃨d⃨ B⃨a⃨d⃨r⃨ • العنود بدر @fozaza,51.4K,0.31%,Saudi Arabia,Fashion & Accessories,15.4K
