#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,mmoshaya @UCPOw2O3_uZ1doro9iR4x6vw,21.9M,0.1%,Saudi Arabia,,6.6M
2,Rotana @UCNhqvQMXIgRfjAGmxQqdNRw,19.7M,0.1%,Saudi Arabia,Music,5.9M
3,شبكة العاب العرب | Arab Games Network @UCV2JkEBmtfSYGAIlprAhAyQ,17.3M,-,Saudi Arabia,,5.2M
4,حقائق وأسرار @UCBzrJ1zGf9-0cd5-n7sBraQ,14.5M,-,Saudi Arabia,,4.4M
5,انصالة فاميلي I أنس و أصالة @UCqJNTGwKmgMCwfYDbnz514Q,14.4M,-,Saudi Arabia,,4.3M
6,ماشا و الدب @UCpm9UA5N0Y9Kv1FJNtnNlJA,13.9M,-,Saudi Arabia,,4.2M
7,Katakit Baby TV @UChDk1SYEDyC4s74mKwfBUKQ,12.9M,-,Saudi Arabia,,3.9M
8,BanderitaX @UCxEGVXh6fi-XYo58NZrbIHQ,12.6M,-,Saudi Arabia,,3.8M
9,قناة وناسة - Wanasah TV @UCiRfBu1ymNpygUgpvGzVr_w,12.1M,-,Saudi Arabia,,3.6M
10,روتانا خليجية @UCsVQJ4sjopcYEQHxWnS2Spg,9.3M,-,Saudi Arabia,,2.8M
11,قناة سعود Saud Channel l @UC7loSNYw43oSTLlThtm_Ytw,9M,-,Saudi Arabia,,2.7M
12,متع عقلك @UC5ls68cohdcyGx10e1TV9XA,8.8M,-,Saudi Arabia,,2.6M
13,MjrmGames @UCesOgVkywcnbAtyNf-XZ4AA,8.6M,0.4%,Saudi Arabia,,2.6M
14,Spacetoon @UCuQKih3Ac3NABADQKQdeV6A,8.6M,-,Saudi Arabia,,2.6M
15,TheSaudiReporters | سعودي ريبورترز @UCGA_iwc3t5I1dVFff54wYGA,8.6M,0.8%,Saudi Arabia,,2.6M
16,BabyBus Arabic TV - أغاني أطفال ورسوم متحركة @UCHnhz7XCP6Zx6l22npF-yWA,7.7M,-,Saudi Arabia,,2.3M
17,Dyler | دايلر @UCi0LRhUrjY8tLx7GYFNSo_Q,7.5M,0.2%,Saudi Arabia,,2.2M
18,Hello TV- Nursery Rhymes @UCca90sQqNC4AXmyox0FNTWQ,7.3M,-,Saudi Arabia,,2.2M
19,توبز TOPZ @UC0fkyMAE7T3OFs7lnGCr33A,7M,-,Saudi Arabia,,2.1M
20,d7oomy_999 | دحومي٩٩٩ @UC-3QwnB0mefZMnPjAqOyNkg,6.9M,2.1%,Saudi Arabia,,2.1M
21,Yousef Ahmed @UC74zXUjEMrC-itAVWOLjbvg,6.8M,-,Saudi Arabia,,2M
22,دستور DSTOR I @UC-S4_xweX_Re4JI7HrRJi9A,6.7M,0.4%,Saudi Arabia,,2M
23,Saud Brothers @UCVXFRM2jUeYyrp2Y9laB8WA,6.7M,2.1%,Saudi Arabia,,2M
24,صالح - oPiiLz @UCHVDgaiLbpj5Leazw8vsAmg,6.6M,0.9%,Saudi Arabia,,2M
25,محمد عدنان Mohamad Adnan @mohamadadnan,6.5M,11%,Saudi Arabia,,1.9M
26,lolo 7 لولو @UCmymNIaWWPbEHQTUrsVD6Ww,6.4M,-,Saudi Arabia,,1.9M
27,اغرب @UCAH7rJ_y-y_0Gli4a4oDsJg,6.1M,-,Saudi Arabia,,1.8M
28,MrSnb2 @UCcPrIyV7VhqxfotQCAeD1ew,5.7M,0.8%,Saudi Arabia,,1.7M
29,عائلة فيحان @UC_Bd5Yrn9kL8fisLfPmH5ww,5.7M,1.1%,Saudi Arabia,,1.7M
30,انيينكم | ANINNKM @UCniw52HKz6bXAxUGZ6efKRw,5.6M,0.9%,Saudi Arabia,,1.7M
31,ثقف نفسك @UC8JJ2en6OsyCwHhbwf8bxUw,5.5M,-,Saudi Arabia,,1.7M
32,SHoNgxBoNg @UC5hnxbraFmMPxv63U4hCwTQ,5.5M,2.6%,Saudi Arabia,,1.6M
33,راشد بن عبدالله @UCMnsS0onDu4KKLcDWGl3bWA,5.4M,2.5%,Saudi Arabia,,1.6M
34,MAX HD @UCdYt25YVNOQET06LMlr54aA,5.2M,1.6%,Saudi Arabia,,1.6M
35,انت تستطيع @UCDZFI4LOb0IF-UB7Fxxevdw,5.2M,1.7%,Saudi Arabia,,1.6M
36,EstubeGaming @UC8z_uxBRoIjSeVRIeVaE9hQ,5.1M,-,Saudi Arabia,,1.5M
37,Pikachu/بيكاتشو @UCuL7aVT2aY1jHydL2NaERuw,4.9M,0.8%,Saudi Arabia,,1.5M
38,bashar arabi @UCqnqH8s3rPbYyKzm8HBRUNg,4.9M,1%,Saudi Arabia,,1.5M
39,تايقر | t1GGEEr @UCLWBv6SD1mdvajkN9fcMaWQ,4.9M,-,Saudi Arabia,,1.5M
40,Osama Marwah I اسامة مروة @UCwBGFE-r7YeFFHT7JmxWPgg,4.9M,4.1%,Saudi Arabia,,1.5M
41,ماوكلي @UCVaVRP646r6YQblXpfYWasw,4.9M,0.1%,Saudi Arabia,,1.5M
42,غـذي ذهنك @UCOsLzPx5EqzDk4KKXs3wl-Q,4.9M,-,Saudi Arabia,,1.5M
43,Its OZX @UC-Kw2wQSm9O5klQtzBuDE9w,4.8M,0.6%,Saudi Arabia,,1.4M
44,Turkish Drama HD العربية @UC1VhGkdtk7z_KxB6wtQ-XkQ,4.8M,-,Saudi Arabia,,1.4M
45,TMFaisal @UCqHYv6X1J7eXINLW_WLKURA,4.7M,0.3%,Saudi Arabia,,1.4M
46,هل تعلم ! Did you know @UC3QLsqW5lI_QJXz5I_sj4dQ,4.6M,-,Saudi Arabia,,1.4M
47,KhalafZone | خلف زون @UCXeAeYy7LPLTzGMeo8IBEgQ,4.4M,-,Saudi Arabia,,1.3M
48,Saud Brothers Gaming @UCsx34Mgq868blrmlALy9lJQ,4.3M,-,Saudi Arabia,Video Gaming,1.3M
49,Fahad Sal @UCqPoFn6HYi9YULPsUwef1Bw,4.2M,0.2%,Saudi Arabia,,1.3M
50,هل تعلم؟ الرياضية @UC6I9kmGVlehae4PyqYjp4PA,4.2M,-,Saudi Arabia,,1.3M
51,Mohamad Gowani محمد جواني @UCzLu9vEc086jxlz-TBtJLBg,4.1M,1.2%,Saudi Arabia,,1.2M
52,Abdoh4Magic @UCLZBSO20PWAIJ-o9I5Als8w,4M,1%,Saudi Arabia,,1.2M
53,xxYjYxx @UCGp1spbGVT12xm-qfYhaWIw,3.9M,-,Saudi Arabia,,1.2M
54,THE HORROR - مهند السيوف @UCCkYAuj2Ial-2r3c7aomiNQ,3.9M,2.6%,Saudi Arabia,,1.2M
55,عائلة رياض @UCsc0cXTWBI7suJmQXvfs5Hw,3.9M,-,Saudi Arabia,,1.2M
56,كوكب المعرفة @UC0Li49BE9KfjEepnsg_cYOA,3.9M,-,Saudi Arabia,,1.2M
57,Thunayyan Khalid @UCtAUHu0stm1w5Sw_m1CaIKw,3.9M,1%,Saudi Arabia,,1.2M
58,Lift and Cheat channel @UCXSMfrVb0NkCbBuaWJGKcrw,3.8M,0.4%,Saudi Arabia,,1.2M
59,روائع فضيلة الشيخ/ عبد الباسط عبد الصمد @UCtMXCP6VpGslunPH_n9d5JQ,3.8M,-,Saudi Arabia,Careers,1.1M
60,Fir4sGamer @UCxmN5lIImQLWerXEF35aXCQ,3.8M,-,Saudi Arabia,,1.1M
61,Octan l أوكتان @UCCITGLw4qwL-azWED2RAWkw,3.8M,-,Saudi Arabia,,1.1M
62,الوجه المُشرق - Bright Face @UCA_m1q4HNzpTqIkKBl4uAoQ,3.8M,-,Saudi Arabia,,1.1M
63,AMIGOS FOREVER! Arabic @UCbVqXkCVRwSDS1nYNB7qmSQ,3.8M,0.1%,Saudi Arabia,,1.1M
64,Rakanoo @UC4Ps1x7PyRNYVz7E1Kymihw,3.7M,-,Saudi Arabia,,1.1M
65,UTD Saudi فيصل السيف @UCMM1y0hm7qXW8yGJ6DeQeSQ,3.7M,-,Saudi Arabia,,1.1M
66,Encise @UCsoVHOzDAFTW3LZlBMfsZVA,3.6M,5.3%,Saudi Arabia,,1.1M
67,تكسلر | Txlir @UCrZQbjYUJ4b6FjhbrqvLLvg,3.6M,-,Saudi Arabia,,1.1M
68,FFearFFul @UCluPPa2FoTzks_JupmO4KkA,3.6M,2%,Saudi Arabia,,1.1M
69,وليد الغابر @UCtCpj_xeBmbNsUw-rLcsXCw,3.6M,1.3%,Saudi Arabia,,1.1M
70,تفسير الاحلام @UCQJmZUtLEEBJ-C_WTZjlJlg,3.6M,-,Saudi Arabia,,1.1M
71,فى رحاب السنة النبوية @UCClRc-NLQmr3HnON4HjHKew,3.5M,-,Saudi Arabia,,1.1M
72,صاحي Sa7i @UCw5nIlwE0OHkNuIe1ty0lxQ,3.5M,-,Saudi Arabia,,1.1M
73,NeroGamer55 l نيرو قيمر55 @UCNTD9gBNizQUYlx8mSc_k2Q,3.5M,0.2%,Saudi Arabia,,1M
74,ABDULAH HAFS @UC3Y0R759lgjpeDB0opAlxKw,3.5M,-,Saudi Arabia,,1M
75,Mortada Radawy @UCZzAekV7LXD_uvBKa7My0jg,3.5M,-,Saudi Arabia,,1M
76,Ahmed A R @UC4dlyhMEWB_pS_JZjro_cTQ,3.5M,-,Saudi Arabia,,1M
77,متع عقلك | حقائق @UCQ0imqAHB4pJWvIih3xTH5A,3.5M,-,Saudi Arabia,,1M
78,STARK X @UC0rdgDwYvcITug_IXB7rmwg,3.5M,0.6%,Saudi Arabia,,1M
79,حقائق وأسرار 2 @UCj2xJxAiCnBV8-pglxCq-Gg,3.4M,-,Saudi Arabia,,1M
80,ARAB DIY ASMR @UCiOoNXlOuizZhgubi89J7gw,3.4M,0.1%,Saudi Arabia,,1M
81,DvLZStaTioN @UCZdXCDG3MVIMeezeefHmW4A,3.4M,0.2%,Saudi Arabia,,1M
82,رحلة العقل @UCDuYdyewXlP8O55CVRSAxpg,3.3M,-,Saudi Arabia,,990K
83,HANODY AWESOME ! @UCf9wV1445sWowaraXZQa91Q,3.3M,1%,Saudi Arabia,,981K
84,سيف SAIF 🎥 @UCb4jFGZlfdlo73ddg8Eu-Qw,3.3M,0.1%,Saudi Arabia,,975K
85,خلودي 25 @UCjtJWphpeoyCSwwyHNB8Dpg,3.2M,-,Saudi Arabia,,960K
86,Fares Alhumaid - فارس الحميد @UCzECoWACPBBR7RhDX2F__KA,3.2M,0.2%,Saudi Arabia,,951K
87,كن مع الله @UCwfu6d4uXvT5Gt-fz8HnsRQ,3.2M,-,Saudi Arabia,,951K
88,Every Day Surah كل يوم سورة @everydaysurah,3.2M,-,Saudi Arabia,,948K
89,Sbeata Academy @UCKlfBvpeprskPYfDT9iSvzg,3.1M,-,Saudi Arabia,,942K
90,Essamnour Family I عصام و نور @UCGglCds0-SIL7RxqdIrNwbA,3.1M,-,Saudi Arabia,,939K
91,عز الخد cm1 @UCTcROPGv0RFWK_MSKXJ-cxQ,3.1M,-,Saudi Arabia,,936K
92,يوميات علاوي @UCe4UqqH5zWImKg-Xo6Sr7vQ,3.1M,-,Saudi Arabia,,921K
93,وصفات لجمالك @UCvG84EDjUHtEUHbQO5qxb5g,3.1M,-,Saudi Arabia,,915K
94,papi mami tv @UCN4HhT7ycBGjbh0FWt54jaw,3M,-,Saudi Arabia,,912K
95,ahmet bayat @UCyTN5yKzPMxQbjl2Pfq3ucQ,3M,-,Saudi Arabia,,909K
96,اودن Odin @UCE6jaWV3iSUFAjRhjLwCQiQ,3M,1.1%,Saudi Arabia,,897K
97,اوكا - OKA @UCwt6MuiMnUm2Rod-MWyFnWw,3M,-,Saudi Arabia,,891K
98,ARAM TV - آرام تي في @UC_Ds7nedV3NqYf0zhpYti4A,3M,-,Saudi Arabia,,891K
99,مودي الاسمر @UCRXLHqtG9XNo3GhdZH0Og9w,2.9M,1.8%,Saudi Arabia,,879K
100,Xzit Thamer @UCUwf9tuytTCVP6SzMaGwDVA,2.9M,-,Saudi Arabia,,876K
