#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Isha Borah @ishaborah,80.1K,0.47%,Singapore,Fashion & Accessories,24K
2,Jeryl 🇸🇬 @smilewithjeryl,73.4K,0.31%,Singapore,Arts & Crafts,22K
3,SGAG @sgagsg,70.2K,0.29%,Singapore,Entertainment & Music Funny,21.1K
4,Shi Qi @qiwiie,67K,0.26%,Singapore,Fashion & Accessories,20.1K
5,🤍Yuuno_小琦🤍 @y.uuno,58.8K,1.1%,Singapore,Fashion & Accessories Fitness & Health,17.6K
6,Singapore Changi Airport (SIN) @changiairport,31.1K,0.6%,Singapore,Travel,9.3K
7,Aaron Aziz @aarondwiaziz,27.7K,0.7%,Singapore,Acting & Drama,8.3K
8,Sean Gelael @gelaelized,26.8K,0.56%,Singapore,,8K
9,PlayStation Asia @playstationasia,26.6K,1.01%,Singapore,Video Gaming Games,8K
10,Arian Teo | Singapore 🇸🇬 @arianteo,23.3K,-,Singapore,Celebrity Animation & Cosplay,7K
11,Miki Tew @miki_tew,22.5K,0.97%,Singapore,Fashion & Accessories,6.8K
12,stephanie ༺♡༻ @stephaniepriscilla,20.5K,1.98%,Singapore,Arts & Crafts,6.1K
13,小鱼KIKO • COSPLAYER @xiaoyukiko,20.1K,1.14%,Singapore,Animation & Cosplay Games,6K
14,Rebecca Lim 林慧玲 @limrebecca,20K,0.91%,Singapore,Food,6K
15,Nattapol D. @maxiiin_,17.4K,2.68%,Singapore,Fashion & Accessories Beauty & Self Care,5.2K
16,thesmartlocal.com @thesmartlocalsg,17.2K,0.22%,Singapore,Travel Food,5.2K
17,MOMOCLOTHiNGLAB 品牌選物店 @momoclothinglab,16.8K,0.26%,Singapore,Fashion & Accessories Beauty & Self Care Fitness & Health,5K
18,Brian D. Evans @briandevans,16.3K,0.56%,Singapore,Finance Upskilling Entertainment & Music,4.9K
19,Ayaka(市原彩花/あーちゃん) @ayaka_ichihara,15.6K,1.97%,Singapore,Fashion & Accessories,4.7K
20,Melissa Celestine Koh @melissackoh,15.4K,0.4%,Singapore,family,4.6K
21,Min-Liang Tan @minliangtan,14.1K,1.05%,Singapore,Business and Finance Gaming Entrepreneurship,4.2K
22,Mongchin Yeoh @mongabong,13.6K,0.29%,Singapore,Fashion & Accessories Food Pets,4.1K
23,Carrie Wong 黄思恬 @carriewst,13.4K,1.69%,Singapore,Entertainment & Music,4K
24,陈伟强 | Frandy @frandytan,13.4K,1.94%,Singapore,Fashion & Accessories,4K
25,Dennis Lim Ming @dennislimming,13.3K,0.5%,Singapore,Games,4K
26,"katerina | travel, fashion & lifestyle @life_in_tokyo",13.2K,0.45%,Singapore,Travel Lifestyle,4K
27,Netflix Singapore @netflixsg,13.2K,0.19%,Singapore,Entertainment & Music,4K
28,Krison Sum @krisonsum,13K,1.02%,Singapore,Fashion & Accessories,3.9K
29,AKAEI RAY ♡ アカエイ♡ 蕊蕊 @akaei_ray,12.6K,1.8%,Singapore,Animation & Cosplay Fashion & Accessories,3.8K
30,MustShareNews @mustsharenews,12.3K,0.05%,Singapore,Education News,3.7K
31,❁ ❁ ❁ ❁ ❁ ❁ @noel.lin,12.2K,0.21%,Singapore,Food Fashion & Accessories,3.7K
32,Priscillia Tan @vainyllia,11.7K,-,Singapore,Beauty & Self Care Romance & Wedding Fashion & Accessories,3.5K
33,Tasha Low 刘怡伶 타샤 @tashaalow,11.6K,1.03%,Singapore,Fashion & Accessories,3.5K
34,Celine【MiniMoochi】小摸鸡🖐🏻🐔 @moochihehe,11.3K,0.29%,Singapore,Funny,3.4K
35,Rizz-w-an Az-man 仁毅翔 🦖Ridhwan Azman🦕 @ridhwannabe,11.1K,0.26%,Singapore,Entertainment & Music,3.3K
36,DESMOND TAN 陈泂江 @thedesmondtan,10.8K,1.07%,Singapore,Entertainment & Music Fashion & Accessories,3.2K
37,ROZZ @heyrozz,10.7K,0.71%,Singapore,Travel,3.2K
38,"Have Halal, Will Travel @havehalalwilltravel",10.7K,0.14%,Singapore,Travel,3.2K
39,Kev @kevouthere,10.1K,1.25%,Singapore,Photography,3K
40,FIONA FUSSI 智欣 @fionafussi,9.9K,0.22%,Singapore,Fashion & Accessories Beauty & Self Care Entertainment & Music,3K
41,Tyen Rasif @tyenrasif,9.5K,0.62%,Singapore,Fitness & Health Entertainment & Music,2.9K
42,MISSTAMCHIAK.com @misstamchiak,9.3K,0.25%,Singapore,Food Travel,2.8K
43,sahur saleim @sahursart,9K,0.09%,Singapore,Beauty Beauty & Self Care,2.7K
44,Bagaholicboy @bagaholicboy,8.8K,0.43%,Singapore,Fashion & Accessories,2.6K
45,He Ying Ying 何盈莹 @hereisyingying,8.6K,0.76%,Singapore,Entertainment & Music Product Showcase,2.6K
46,MAE TAN 陈慧 @marxmae,8.5K,0.22%,Singapore,Food,2.5K
47,Ardhira Putra @ardhiraputra,8.5K,2.34%,Singapore,Animation & Cosplay Arts & Crafts,2.5K
48,Lindsay | style + reels @lindsayvoitton,8.3K,1.18%,Singapore,Fashion & Accessories,2.5K
49,TiffwithMi Tiffanie 티파니 🐯💎🎵 @iamtiffanie,8.2K,0.28%,Singapore,Education Product Showcase,2.5K
50,Graceglazee @graceglazee,8.1K,0.19%,Singapore,Travel,2.4K
51,啊貓咪 @kiaraakitty,8K,0.89%,Singapore,Outdoor Activity Entertainment & Music Finance,2.4K
52,Nadya Hutagalung @nadyahutagalung,7.8K,0.15%,Singapore,Nature Education Entertainment & Music,2.3K
53,AmanderSings @amandersings,7.8K,0.29%,Singapore,Beauty & Self Care Fashion & Accessories Fitness & Health,2.3K
54,Trotter - Curated City Guides @trottermag,7.7K,-,Singapore,Travel Arts & Crafts,2.3K
55,Elizabeth Boon @elizabethboon,7.6K,0.1%,Singapore,Celebrity Acting & Drama Entertainment & Music,2.3K
56,David Eung Hao អុឹងហាវ 黄豪 🇸🇬🇰🇭 @mr.davidd__,7.6K,1.33%,Singapore,Music,2.3K
57,Susanne Ng @susanne.decochiffon,7.6K,1.14%,Singapore,,2.3K
58,Jean Seizure @jeanseizure,7.5K,0.35%,Singapore,Entertainment & Music Outdoor Activity,2.3K
59,Hong Ling @honglingg_,7.5K,0.64%,Singapore,Acting & Drama Fashion & Accessories,2.2K
60,Denise Camillia 陈楚寰 @denisecamillia,7.2K,1.08%,Singapore,Entertainment & Music,2.2K
61,supercatkei • live streamer @deniseteojiaqi,7K,0.64%,Singapore,Fashion & Accessories Entertainment & Music Finance Games,2.1K
62,SONIA CHEW @soniachew,6.9K,0.41%,Singapore,Entertainment & Music Travel,2.1K
63,HIRZI ♋️ @hirziofficial,6.6K,0.24%,Singapore,Entertainment & Music,2K
64,ⒷⓔⓝⓉⓐⓝⓖ @bentanggg,6.5K,0.34%,Singapore,Oddly Satisfying,2K
65,Pamela Lee Nur Shuhadah @leeshuhadah,6.5K,0.24%,Singapore,Fashion & Accessories,2K
66,Mason & Smith @masonandsmith,6.5K,0.43%,Singapore,Fashion & Accessories,2K
67,Danil Palma @whathebronte,6.4K,5.21%,Singapore,Travel Nature,1.9K
68,andi lim @_andiloo,6.4K,7.04%,Singapore,Beauty & Self Care Fashion & Accessories,1.9K
69,李枳燊 @zippyzipeng,6.3K,0.43%,Singapore,Food and Drink Food,1.9K
70,Anjohink // AFA Creator’s Fest A25-26 @anjohink,6.2K,2.81%,Singapore,Arts & Crafts,1.9K
71,It's The Ship @itstheship,6.2K,0.16%,Singapore,Entertainment & Music,1.9K
72,YOSUKE @yosukecosplay,6.2K,1.92%,Singapore,Animation & Cosplay Entertainment & Music,1.8K
73,The Meatmen — Recipes & More @themeatmensg,6.1K,0.15%,Singapore,Food,1.8K
74,HBO Asia @hboasia,6.1K,0.25%,Singapore,Entertainment & Music,1.8K
75,Hayley @huinileee,5.9K,0.6%,Singapore,,1.8K
76,Chen Bangjun 陳邦鋆 @andiechen,5.9K,0.23%,Singapore,,1.8K
77,"Nicholas Tan - Stormscape Luxury Hotel, Food Travel @stormscape",5.9K,0.19%,Singapore,Travel,1.8K
78,A mama cat 😻 @natashaelyzza,5.8K,0.54%,Singapore,Beauty & Self Care Fashion & Accessories,1.8K
79,Benny Tang | Singapore 🇸🇬 @bennytgh,5.7K,0.16%,Singapore,Romance & Wedding Business & Finance,1.7K
80,JANAE CHUA • SINGAPORE @janaechua,5.7K,0.2%,Singapore,Finance Business,1.7K
81,RUSYDI NAF • rizuリズ @redrinox,5.6K,0.6%,Singapore,Entertainment & Music,1.7K
82,Sujimy Mohamad @sujimymohamad,5.6K,1.54%,Singapore,Travel Food family,1.7K
83,ANDEE CHUA 滷蛋 @andeecys,5.6K,0.42%,Singapore,Entertainment & Music,1.7K
84,朱智賢 Ashley @ashley_ellabel,5.6K,0.59%,Singapore,Fashion & Accessories,1.7K
85,Ryan Tan @ryanxgo,5.5K,0.19%,Singapore,Fashion & Accessories Entertainment & Music,1.6K
86,Yafiq Yusman @yafiqyusman,5.5K,2.15%,Singapore,Photography Travel,1.6K
87,Wah!Banana @wahbananasg,5.5K,0.26%,Singapore,Entertainment & Music,1.6K
88,JEAN DANKER @jeandanker,5.5K,0.49%,Singapore,Entertainment & Music Life & Society Upskilling Education,1.6K
89,Zane Lim @thezanification,5.3K,0.23%,Singapore,Fashion & Accessories,1.6K
90,Nathan Hartono 向洋 @nathanhartono,5.3K,0.12%,Singapore,Entertainment & Music Funny Life & Society,1.6K
91,Grab Singapore @grab_sg,5.3K,-,Singapore,Auto and Vehicles,1.6K
92,Rajeswari Vijayanand @rakskitchen,5.2K,0.16%,Singapore,Food,1.6K
93,Sophie Willocq @sophiewillocq,5.1K,0.24%,Singapore,Beauty & Self Care Travel,1.5K
94,Trevor Tham 谭志杰 @trevtham,5.1K,0.25%,Singapore,Arts & Crafts Entertainment & Music Photography,1.5K
95,CHOW 周佳慧 @chowjiahui,5K,0.5%,Singapore,Entertainment & Music,1.5K
96,Lazada Singapore @lazada_sg,5K,0.19%,Singapore,Product Showcase,1.5K
97,𝓘𝓼𝓪𝓪𝓬 𝓛𝓲𝓶 | IzCreamz @iz_cream,5K,0.42%,Singapore,Entertainment & Music Games,1.5K
98,8视界新闻网 @8worldnews,5K,0.09%,Singapore,News,1.5K
99,The Celebrity Agency @the_celebrityagency,4.9K,-,Singapore,Entertainment & Music,1.5K
100,RUTH🌙 @ruthisrandom,4.9K,0.41%,Singapore,Games Animation & Cosplay,1.5K
