#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Nas Daily @nasdaily,6.8M,2.8%,Singapore,Education,2M
2,Kim Huat Ng🇵🇭/🇸🇬 @kim_huat1702,2.7M,-,Singapore,,810K
3,ONE Championship @onechampionship,2.3M,-,Singapore,Sports,690K
4,Doctor Tristan Peh - Dentist @doctortristanpeh,2.2M,-,Singapore,Education Medical Health,660K
5,Heng Official @tostenhpremium168,2M,-,Singapore,,600K
6,Jianhao Li @cn_streetfashion,1.8M,-,Singapore,Entertainment and Music,540K
7,gordonmoments @gordonmoments,956.2K,-,Singapore,,286.9K
8,Stephanie @sharemakeup,942.6K,0.1%,Singapore,Beauty,282.8K
9,Hoàng Minh Tuấn @hoangtuan_photo,839.5K,-,Singapore,Education Arts and Crafts Photography,251.9K
10,С ʀ ʏ ƨ т α в ɛ ℓ 🌻 @crystabel_,830.2K,1%,Singapore,Games,249.1K
11,no588211 @makeuppp05,826.6K,0.8%,Singapore,Beauty,248K
12,The Health Bites @the_health_bites,822.4K,-,Singapore,Fitness and Health,246.7K
13,Syimah Mac @macz3us,785.6K,0.1%,Singapore,,235.7K
14,jj @phawphaw414,757.9K,-,Singapore,,227.4K
15,Zhlowart_official @zhlowart_official,696.9K,2.7%,Singapore,Product Education Product Showcase,209.1K
16,Mamiko @mamiczka,685.1K,-,Singapore,Life and Society,205.5K
17,caydences @cayydences,614.5K,4.4%,Singapore,,184.4K
18,Joseph salameh @sg_diamonds,607.3K,-,Singapore,Fashion and Accessories Finance,182.2K
19,Titus Low @tituslow,586.9K,-,Singapore,Entertainment and Music Funny,176.1K
20,🍑Theingi💃🥂✂️✂️👗👗🇸🇬 @jessica1072,577.2K,-,Singapore,,173.2K
21,ꜱᴛᴀʀᴅᴜꜱᴛ.ꜱɪɴɢᴀᴘᴏʀᴇ🇸🇬 @stardust.singapore,572K,-,Singapore,,171.6K
22,新加坡小蛙 @xwshawn96,564.1K,-,Singapore,,169.2K
23,WahBanana @wahbananasg,563.2K,-,Singapore,,169K
24,TikTok Singapore @tiktoksg,560.8K,-,Singapore,,168.2K
25,updeals_beauty @beautyzzz,557.8K,-,Singapore,Fashion,167.3K
