#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Survival Builder @UCj6VfZEQTxX8Tp2My5L9Ykw,10.5M,-,Singapore,Technology,3.2M
2,মায়াজাল @UCfixIpf6Z09QH-vZT-mpgZg,9.5M,0.2%,Singapore,,2.8M
3,Masti Tv - Hindi Stories @UCcvDxf3OKcvZzRYvcIyikLw,6.7M,-,Singapore,,2M
4,Muse Asia @museasia,6.4M,-,Singapore,,1.9M
5,mingweirocks @UCeIuST7AITAf34FvWq4GHwg,6.4M,-,Singapore,,1.9M
6,Primitive Survival Tool @UC6vasuRFx3t3NTISG6iwUeA,6.3M,-,Singapore,,1.9M
7,Jungle Survival @UC4E1gPBh0_eJ5oftWVsewZA,5.9M,-,Singapore,,1.8M
8,Jadu Tv - Hindi Stories @UCXRAl3_Vw1fYJdGmk8i20Ug,5.6M,-,Singapore,,1.7M
9,PopCorn /- Funny Hindi Comedy Videos @UCEI_dcoGYhMLyYpXok6jmog,5.6M,-,Singapore,Celebrity,1.7M
10,Golden TV - Funny Hindi Comedy Videos @UCS2E8XulDhyAw3ji7ggg1EQ,5.3M,-,Singapore,,1.6M
11,老高與小茉 Mr & Mrs Gao @UCMUnInmOkrWN4gof9KlhNmQ,5.1M,1.4%,Singapore,,1.5M
12,TAWHID AFRIDI @UCEO0rIuBz8Dc8p7PpGE26ZQ,5.1M,6.2%,Singapore,,1.5M
13,Prank King Entertainment @UC4ON9AHLUa0eVk9U9_EQbUA,4.7M,1.9%,Singapore,,1.4M
14,YouTube FanFest @UChIGU8b4l5cj6i5D9REsqdg,4.6M,-,Singapore,,1.4M
15,The Ajaira LTD. @UCpvVcqsap0KnJ6epuH5V6cw,4.4M,0.6%,Singapore,Art,1.3M
16,JaiPhone @UC2q1EOP5KEkKBgFRdnAvpwQ,4.2M,-,Singapore,,1.2M
17,Josh - Hindi Stories Comedy Videos @UC-SQpatMUyttygyX3qVWXYw,3.9M,-,Singapore,,1.2M
18,Khushi - Hindi Stories Super Comedy Videos @UCRUA2PhCdudPXKKerX69vVg,3.8M,-,Singapore,,1.1M
19,Jalsa Tv - Hindi Stories @UCHIYOs5N6C5AeIdWDxvrTgw,3.3M,-,Singapore,,984K
20,MHR BANGLA WAZ @UCLWrC5sBJ93jNZG3t7xqBQg,2.9M,-,Singapore,,870K
21,SIS Media @UCetlSgFKkae_nsC3fmfC1ig,2.9M,-,Singapore,,867K
22,উত্তরাধিকারী @UCR6BoKqrqAtrDfdwT-yZNVw,2.8M,0.3%,Singapore,,852K
23,DancingBacons @UCRFj4Yj1nKhgrT-_8AUsaDg,2.8M,-,Singapore,Food and Drink,840K
24,Science BD @UCbeN7O9VbmflcCbGzjGDbEw,2.5M,0.1%,Singapore,,762K
25,Islamic Life @UCDik9UsvvanFZkNd-x1L48Q,2.5M,-,Singapore,,744K
26,TTNERF @UCSLsp8Zk-sFR8aAzcD4XRtg,2.4M,-,Singapore,,714K
27,The Survival @UCOtloDe4Ytw3X2v04uU91bA,2.3M,-,Singapore,,684K
28,Cartoon Network Asia @UC9hVEGaTpAYMVd-bRsOYKwA,2.3M,-,Singapore,,681K
29,Doctor Tristan Peh @doctortristanpeh,2.2M,-,Singapore,,660K
30,maya funny stories @UC3reWgex99TFUGqLxMnnLMQ,1.9M,-,Singapore,,579K
31,Simsim Music @UCWiiZGH1JzQ-4XZrAhzWJ3Q,1.9M,-,Singapore,Music,555K
32,Rayner Teo @UCFSn-h8wTnhpKJMteN76Abg,1.7M,-,Singapore,,501K
33,ARS Primitive Cooking @UCjJIYLJBb7asoCc9PrWp8Xg,1.5M,-,Singapore,,456K
34,Restore Urphone @UCDtiT1a7crehZtUZM5d5CzA,1.5M,0.2%,Singapore,,450K
35,Primitive Building @UClo-U5gvXPRy-4VqWEkkRDg,1.4M,-,Singapore,,426K
36,CD Choice Music @UCiEqPaOnp0Ir7cJJn7bWfxw,1.4M,-,Singapore,,423K
37,JJ Lin林俊傑 @UCd91HSXKhsIv8PIjNrDByHQ,1.4M,0.3%,Singapore,,423K
38,Official ZX @UCfdCL080XtHYYvyF25j5ocQ,1.4M,0.2%,Singapore,,420K
39,রুমানার রান্নাবান্না @UC6IFwh0R3xkv-S0lnDioxHA,1.4M,-,Singapore,,417K
40,VICE Asia @UC8ZyfGD_qP-v75DGCzYQw6g,1.4M,0.3%,Singapore,Art Food and Drink,405K
41,KamruL Media @UCNl4VSwudUQFa--GpS-HYug,1.4M,0.1%,Singapore,Celebrity Music,405K
42,OXANA DOLINKA @UCNK9Go44l_419LmiyuEUJHg,1.3M,0.1%,Singapore,,396K
43,360 Entertainment Productions @UCdcLazeDQIzZTpUV65xwp0Q,1.3M,1.2%,Singapore,,387K
44,Dan Surprise @UC61YzFVCvX9Nw0bE2gM7MUA,1.3M,0.1%,Singapore,,384K
45,madsythe @UCHlmq85loxqZlcDqrQckQqQ,1.3M,-,Singapore,,384K
46,Creative Solution @UCyI1jGi0t9nVgYNKcBf1W8g,1.3M,-,Singapore,,381K
47,Unique Brothers LTD @UCEYhRiLSRJcE2109nhS54eA,1.3M,0.7%,Singapore,,378K
48,94.4 JAGO FM @UCUyT1ZfnUldi1GK2uN27Qew,1.2M,-,Singapore,,369K
49,CNA Insider @UC_Lnb8ZHqqgLbp-7hltuT9w,1.2M,-,Singapore,,369K
50,ម្អម Maorm @UCnfzILeDi0AsZ-5IQKtes7Q,1.2M,1%,Singapore,,366K
51,da ra @UCVaVd3qlnPzeCMcddbLXEgA,1.2M,-,Singapore,,366K
52,Clicknetwork @UC1SvRq3YzZACheYynsDrXmw,1.2M,-,Singapore,,357K
53,Axe Mobile Legends @UCzuj9sYnHfYZ_JJAanBnAFQ,1.2M,-,Singapore,,348K
54,Hasan Shams Iqbal @UCWe7pYrijq1Tzen8U-SxUsw,1.1M,0.6%,Singapore,,339K
55,BD Documentary @UC2--MXDnS5Rokp3ynMWg3tw,1.1M,-,Singapore,,336K
56,Primitive Survival Life @UC8DRt1roPwZMKMC7Gma66Pg,1.1M,-,Singapore,,330K
57,Life Unique Wilderness @UC5Gg0nC69XVPqBCt_TKoUQQ,1.1M,-,Singapore,,318K
58,iFooder @UCWlnUK68WaPO0FVzqwzwR1Q,1.1M,-,Singapore,,315K
59,Ridy Sheikh @UC2rWupaplXMsiJscLXvQreQ,1.1M,0.3%,Singapore,,315K
60,Om TV @UCkp0Tc7ll67bChomTyB1ezQ,1M,0.5%,Singapore,,312K
61,FunnyPig @UCWv2oOr-VnM5z7-Eb_NlWfA,1M,-,Singapore,,309K
62,Viddsee @UClQMNIPzABe5FqUrOO0yEiQ,1M,-,Singapore,,303K
63,Prio @UCbMiFccU-sFE8Eb7voKpLyg,1M,-,Singapore,,303K
64,Joseph Prince @UCJRSBsjLPipnu8y03qa2_Iw,1M,0.4%,Singapore,,303K
65,NakFake OFFICIAL @UC0lXKEQwQTjW-8WS3OOO_xg,1M,4%,Singapore,,300K
66,Daily Tv @UCTCgUurc34vDcwgsqRZx4Vw,992K,-,Singapore,,297.6K
67,Mehedi Hassan @UC-HkZ2IIk_LU2gjvxC_1ziQ,985K,10.9%,Singapore,,295.5K
68,Creative Wilderness @UC60U2OJecinf0HkOaCcZDQA,945K,-,Singapore,,283.5K
69,Khmer Narrated Stories @UCbxQhOpK1m4_4712FiWYQLQ,940K,2%,Singapore,,282K
70,Nice Waz @UCX1uRcPu67VpRTl2HV3G5YA,940K,-,Singapore,,282K
71,Spice N' Pans @UCZDx-SKnLRjpviwzgk7g86w,934K,-,Singapore,,280.2K
72,GOAL Thailand @UCo5an8fJGNDIB8mV_1PBXqw,908K,-,Singapore,,272.4K
73,Chayapoth @UCVMDz4sAuwtKTQhhPqRqoxw,892K,-,Singapore,,267.6K
74,Islamic life @UCelbo91TgG5Pa2g6n1PXuww,873K,-,Singapore,,261.9K
75,Cuộc Sống Hạnh Phúc @UCmW-gKCPVmjct7-FMOVcTBQ,873K,-,Singapore,,261.9K
76,SuperPrincessjo @UCEGAltRg_F4kLi8Wejj8d4Q,860K,-,Singapore,,258K
77,Adam Khoo @UCK-aOjEvZNJl3HINja0gAiQ,854K,0.2%,Singapore,,256.2K
78,Feng Timo Fans Channel @UCZCvQ2AlcTnnQi0msIIITaA,823K,0.1%,Singapore,,246.9K
79,As CREATION @UCLp6jN2qYbs29gMVXxdV05A,823K,-,Singapore,Celebrity,246.9K
80,Yangon Times @UCwU4TdAOCWg3nufBSsuhT5A,820K,0.4%,Singapore,,246K
81,Eleven Broadcasting @UCzoPb9sKVAHd-pIzv9RGGRA,806K,-,Singapore,Celebrity News Sports,241.8K
82,NewsFilmy @UCggmpgrWYCJ-FdDgIPsX7gQ,797K,-,Singapore,,239.1K
83,Islamic InFo Bangla @UC5ZXh4ScI19JEwUqPML8vAQ,790K,-,Singapore,,237K
84,A Play @UCBKBvxZaRWdRYGUgMPfXxjg,788K,0.2%,Singapore,,236.4K
85,RB Entertainment @UC7P8-Q4y9BfgmwbRZDYIyGg,782K,0.2%,Singapore,,234.6K
86,Aung Thiri Entertainment @UCyprSUcaLP0mQAB1b9N90pg,753K,-,Singapore,,225.9K
