#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Max TV @UCZQrA6Jnw08iF8GcFx4VDWg,4.2M,-,Slovakia,,1.3M
2,Peter PlutaX @UCbaY6IEY0-pRHBU_qCswoNQ,2.9M,-,Slovakia,,882K
3,GoGoManTV @UCewFV_KI5BSu0f8bKZ4BMfA,1.8M,0.2%,Slovakia,,537K
4,Cubic Animations @UCeM736Esh_lwk1xDAoGikFA,1.3M,-,Slovakia,,393K
5,Hindi Music @UCQ0kBF3Baal_YLls6DeUf8Q,1.3M,-,Slovakia,Music,384K
6,Televízia JOJ @UC5zY50gn7Z0-yGSt74dRZXw,1.1M,-,Slovakia,,327K
7,Expl0ited @UCR6Httwme-xk5mKlni-lRzw,966K,1.2%,Slovaquie,,289.8K
8,DONFANTASTICKYPESS @UC-yJccH4T1UnNrY0YyspGYg,850K,0.2%,Slovaquie,,255K
9,StudioMoonTV @UC7-hMlW_QECv-fghTGUWgYg,841K,2.1%,Slovaquie,,252.3K
10,FÍHA tralala @UC2QySOE0ohZFd-1XsXzNHPw,827K,-,Slovaquie,,248.1K
11,menameselassie @UCNV6tckdVW3L_wiBN8tz9gQ,777K,1%,Slovaquie,,233.1K
12,Smejko a Tanculienka @UCia0mF-pM9xo5ZMN8DoFp_Q,718K,-,Slovaquie,,215.4K
13,Duklock @UCf4pkVHnnWTqUbjxZgFzvfw,715K,2.5%,Slovaquie,,214.5K
14,DJ Blyatman @UCnWnuHHjG-__QxuoZgjBgIg,713K,1.1%,Slovaquie,,213.9K
15,The Lullaby World @UCOYUFFxT50nvDaRj5Mn5XNg,623K,-,Slovaquie,,186.9K
16,KALI RECORDS @UCjIl8ztAFLTiZkhvgaiOoow,620K,0.1%,Slovaquie,,186K
17,ANGRY EARTH @UCr0HthUtPsgcl99FVSMHn4g,619K,0.1%,Slovaquie,,185.7K
18,BirnyX @UCEaMp8VjNv3EJYgDTqcUQvA,539K,-,Slovaquie,,161.7K
19,Sasha Sotnik @UCnAmkiIpUXkVOY1A1r-zE6w,526K,1%,Slovaquie,,157.8K
20,VisioRacer @UCXtx43lso-J9taKABVa-Rtw,510K,-,Slovaquie,Automobile Éducation,153K
21,Max Топ @UC3VvMXMrEeav1njSUFKgbfA,461K,0.3%,Slovaquie,,138.3K
22,PACI PAC @UCGWk8azphTdm0PKH0vKDIfw,451K,-,Slovaquie,,135.3K
23,FAMILY ZONE - MOJA RODINKA @UC99D5fRGLZ4WZheVArrDQSA,412K,-,Slovaquie,,123.6K
24,SIMA Official @UCH89taVRyeY-oory-zv2FXQ,404K,6.1%,Slovaquie,,121.2K
25,Mesiac @UCSPr_APStbstOEbCmV8sp1Q,380K,-,Slovaquie,,114K
26,Random Týpek @UC8huou5jTYkbv8m0WFgeXag,377K,5.8%,Slovaquie,,113.1K
27,Galgan Music @UCckh_8hdHZUdXJPixpWv-qQ,374K,0.6%,Slovaquie,,112.2K
28,Zrebny & Frlajs & Mojmir @UC74kimKZOy8aXzg7rhUOVsA,372K,-,Slovaquie,,111.6K
