#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Trevor Noah @trevornoah,745.5K,2.67%,South Africa,Comedy Entertainment & Music,223.6K
2,Tabitha Brown @iamtabithabrown,336.1K,1%,South Africa,Food,100.8K
3,Loading… @nasty_csa,142.8K,1.17%,South Africa,Entertainment & Music,42.8K
4,Demi-Leigh Tebow @demitebow,100.9K,0.29%,South Africa,Fashion & Accessories,30.3K
5,Boity Thulo @boity,94.1K,0.98%,South Africa,Entertainment & Music Fashion & Accessories Beauty & Self Care,28.2K
6,PRESIDENT YA STRAATA 👨🏾‍💼 @focalistic,78.8K,1.01%,South Africa,Entertainment & Music Fashion & Accessories,23.6K
7,Khanyi Mbau Metanoia @mbaureloaded,57.3K,0.46%,South Africa,Entertainment & Music Finance Product Showcase,17.2K
8,Abuti Thabi @thabangmolaba_,50.4K,0.41%,South Africa,Entertainment & Music Acting & Drama Fashion & Accessories,15.1K
9,Andiswa The Bomb🫦 @thebomb.rsa,47.8K,1.35%,South Africa,Fashion & Accessories Entertainment & Music,14.3K
10,Bontle MmaAfrika Moloi @bontle.modiselle,42.5K,0.81%,South Africa,Entertainment & Music Arts & Crafts Dance,12.8K
11,Seemah Mangolwane @s.eemah_x,40.8K,1.58%,South Africa,Fashion & Accessories,12.2K
12,MTV Base Africa @mtvbaseafrica,38.6K,0.16%,South Africa,Entertainment & Music,11.6K
13,MENS STYLE DESTINATION @audrey_lunda,36.2K,0.6%,South Africa,Fashion & Accessories Photography,10.8K
14,Kellan Hendry @kellansworld,34.7K,0.09%,South Africa,Funny,10.4K
15,AMAWELE 📿 @majorleaguedjz,33.8K,0.66%,South Africa,Entertainment & Music,10.1K
16,Jessica Nkosi @jessicankosi,32.8K,1.53%,South Africa,Acting & Drama,9.8K
17,WOOLWORTHS SA @woolworths_sa,31.6K,0.58%,South Africa,Fashion & Accessories Food Home & Garden,9.5K
18,Quinton Masina @naked_dj,28K,0.97%,South Africa,Entertainment & Music,8.4K
19,"Siyamak Saleh, MD @doctor.siya",27.7K,0.11%,South Africa,Education Fitness & Health,8.3K
20,Ndlovu Youth Choir @choirafrica,27K,0.21%,South Africa,,8.1K
21,Nkosazanah _Daughter @nkosazana_daughter,26K,2.58%,South Africa,,7.8K
22,Dr Musa Mthombeni @drmusamthombeni,25.5K,0.89%,South Africa,Health & Fitness,7.7K
23,P E A R L 🔸 M O D I A D I E @pearlmodiadie,24.5K,0.4%,South Africa,Entertainment & Music family,7.3K
24,Maps Maponyane @mmaponyane,23.8K,1.36%,South Africa,Entertainment & Music Food,7.1K
25,Tasia M S @tasia.m.s,23.1K,8.78%,South Africa,Arts & Crafts,6.9K
26,Andile Ncube @andilencube,23K,0.55%,South Africa,Entertainment & Music,6.9K
27,J O S H U A E A D Y @justblamejosh,22.6K,0.13%,South Africa,Entertainment & Music,6.8K
28,Alex Jimenez @theyachtguy,22.5K,0.07%,South Africa,Auto and Vehicles Travel,6.8K
29,King of the fall @tylericu,22.3K,3.26%,South Africa,Entertainment & Music,6.7K
30,Mooya Musunga @mooya.musunga,21.5K,1.13%,South Africa,Entertainment & Music Funny,6.5K
31,Marlon du Toit 🐾 @marlondutoit,21.2K,0.71%,South Africa,Outdoor Activity Photography Travel,6.4K
32,Kay Yarms @kay.yarms,20.8K,2.27%,South Africa,Beauty & Self Care Lifestyle,6.2K
33,Minnie Dlamini @minniedlamini,20.8K,0.66%,South Africa,Entertainment & Music Sports,6.2K
34,Nadia Jaftha @nadiajaftha,20.3K,1.36%,South Africa,Acting & Drama Entertainment & Music Fashion & Accessories,6.1K
35,Sarah Langa @sarahlanga,19.9K,1.31%,South Africa,Fashion & Accessories Education,6K
36,Officially Worlds Youngest DJ @djarchjnr,19.7K,0.78%,South Africa,Entertainment & Music,5.9K
37,Tumelo Mphai🇿🇦 @djmelzi_official_,18.9K,0.8%,South Africa,Music,5.7K
38,DJ Fresh (SA) @djfreshsa,18.2K,0.39%,South Africa,Entertainment & Music,5.5K
39,𝓣𝓱𝓪𝓷𝓭𝓸𝔀🤍🎀🧸 @itss.thandooo,17.8K,3.22%,South Africa,Entertainment & Music,5.3K
40,Chad Jones @chad_13jones,17.8K,0.61%,South Africa,Food,5.3K
41,FRESHMEN AMAPIANO @freshmenamapiano,17.6K,0.65%,South Africa,Entertainment & Music,5.3K
42,DJ Sbu @djsbulive,17.1K,1.33%,South Africa,Entertainment & Music,5.1K
43,Clement Maosa @clementmaosa,17K,0.2%,South Africa,Arts & Crafts Entertainment & Music Acting & Drama,5.1K
44,Jade 🇿🇦🌊 @jadegrobler,16.6K,0.53%,South Africa,Nature Outdoor Activity,5K
45,Khanyisa Patricia @iam_khanyi95,16.6K,1.47%,South Africa,Entertainment & Music,5K
46,𝖅𝖆𝖕𝖕𝖍𝖆𝖎𝖗𝖊 𝕰𝖛𝖊𝖓𝖙𝖘 @zapphaire_events,15.8K,0.21%,South Africa,Romance & Wedding Corporate,4.8K
47,CultureCollecter @culturecollecter,15.1K,1.34%,South Africa,Arts & Crafts Entertainment & Music,4.5K
