#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Puuung @puuung1,242.1K,1.45%,South Korea,Arts & Crafts Animation & Cosplay,72.6K
2,VOGUE KOREA @voguekorea,202.8K,0.12%,South Korea,Fashion & Accessories,60.8K
3,W Korea @wkorea,129.2K,0.58%,South Korea,Fashion & Accessories Arts & Crafts,38.8K
4,ELLE KOREA 엘르 코리아 @ellekorea,114.2K,0.33%,South Korea,Fashion & Accessories Beauty & Self Care Arts & Crafts Entertainment & Music,34.2K
5,Seoul 🇰🇷 서울 여행 가이드 Travel | Hotels | Food | Tips @seoul.southkorea,79.3K,0.26%,South Korea,Travel Hotels & Accommodations,23.8K
6,𝕁𝕁 @jooshica,78.7K,0.97%,South Korea,Beauty & Self Care,23.6K
7,一隻阿圓 @nanaciaociao,73.5K,0.94%,South Korea,Arts & Crafts Fashion & Accessories Animation & Cosplay,22.1K
8,Praise Nelson @itz_praise,71.3K,0.36%,South Korea,Entertainment & Music,21.4K
9,Wonho Chung ونهو تشونغ @wonhochung,70.8K,0.95%,South Korea,Entertainment & Music Funny,21.2K
10,eyesmagazine 아이즈매거진 @eyesmag,69.7K,0.21%,South Korea,Fashion & Accessories,20.9K
11,Christian Burgos [크리스티안 부르고스] @crisxt20,66.2K,0.63%,दक्षिण कोरिया,Entertainment & Music,19.9K
12,GQ KOREA @gq_korea,61.8K,0.19%,दक्षिण कोरिया,Fashion & Accessories,18.6K
13,"Jenn Chia (So, I'm Jenn) @soimjenn",59.5K,1.3%,दक्षिण कोरिया,Entertainment & Music Fashion & Accessories,17.8K
14,WOW! K-DRAMA ID @wowkdrama.id,41.4K,0.78%,दक्षिण कोरिया,Entertainment & Music,12.4K
15,Nana Youngrong Kim / 나나영롱킴 @nana_youngrongkim,38K,1.34%,दक्षिण कोरिया,Entertainment & Music,11.4K
16,유빈 Kelly @kellykimkim7,37.9K,0.9%,दक्षिण कोरिया,Entertainment & Music,11.4K
17,J-COP @beatbox_jcop,37.4K,0.41%,दक्षिण कोरिया,Entertainment & Music Animation & Cosplay,11.2K
18,Sunny Dahye @sunnydahye,37.3K,0.55%,दक्षिण कोरिया,Beauty & Self Care Fashion & Accessories,11.2K
19,chaby @chabyhan,35.2K,2.62%,दक्षिण कोरिया,,10.5K
20,Ko Hyojoo @hyo_joo,34.9K,0.33%,दक्षिण कोरिया,Fashion & Accessories Beauty & Self Care,10.5K
21,시아지우 sia_jiwoo @sia_jiwoo,34.1K,1.46%,दक्षिण कोरिया,सङ्गीत,10.2K
22,Thais Midori Shiozawa 🌸✌🏻✨ 미도리 @midorithais,33K,1.18%,दक्षिण कोरिया,शिक्षा,9.9K
23,Kevin Lee @chefboylee,32.1K,0.56%,दक्षिण कोरिया,खाद्य,9.6K
24,𝐁𝐞♛𝐡𝐘 @bewhy.meshasoulja,29.9K,1.44%,दक्षिण कोरिया,Entertainment & Music,9K
25,김모이 @moioioioioioi,29.9K,1.57%,दक्षिण कोरिया,Fashion & Accessories,9K
26,bailey @baileysok,28.8K,-,दक्षिण कोरिया,Fashion & Accessories,8.6K
27,Oozy @oozy_tattoo,27.7K,0.45%,दक्षिण कोरिया,Arts & Crafts Oddly Satisfying,8.3K
28,Sabrina Azhar @jpbrinx,25K,1.51%,दक्षिण कोरिया,शिक्षा प्रविधि,7.5K
29,Марина и Глеб Горшковы 🤍 @gorshkov.life,24.2K,0.68%,दक्षिण कोरिया,व्यापार शिक्षा ज्ञानसंचार बढाउनुहोस् Life & Society,7.3K
30,PopKimchi 波波泡菜日記 @popkimchi_mag,24K,0.92%,दक्षिण कोरिया,खाद्य,7.2K
31,HYPEBEAST Korea @hypebeastkr,23.5K,0.39%,दक्षिण कोरिया,Fashion & Accessories,7.1K
32,蔡常勇 @changyonggggg,22.8K,2.49%,दक्षिण कोरिया,Entertainment & Music मजाकिया ज्ञानसंचार बढाउनुहोस्,6.8K
33,Anita｜아니타🐰🎀 @anitatsai0213,22.5K,2.36%,दक्षिण कोरिया,Entertainment & Music,6.7K
34,Jannah @jannah_korea,22.4K,0.42%,दक्षिण कोरिया,यात्रा,6.7K
35,~*🌸~Skykikijung🍬~🍭 @skykikijung,22.3K,0.88%,दक्षिण कोरिया,Fashion & Accessories Entertainment & Music,6.7K
36,대한민국 축구 국가대표팀 @thekfa,21.5K,1.74%,दक्षिण कोरिया,खेल,6.4K
37,𝒁𝒊𝒉𝒘𝒂 @zihwa_tattooer,21.1K,0.51%,दक्षिण कोरिया,Arts & Crafts,6.3K
38,MSDONGAN 🇰🇷(Korean) @msdongan,21.1K,0.6%,दक्षिण कोरिया,Fashion & Accessories Beauty & Self Care परिवार,6.3K
39,강경민 @kkmmmkk,19.5K,2.04%,दक्षिण कोरिया,Fashion & Accessories,5.9K
40,有璟 요찡 🇰🇷 @602avenue,19.4K,0.74%,दक्षिण कोरिया,Fashion & Accessories,5.8K
41,Maangchi @maangchi,19.2K,1.12%,दक्षिण कोरिया,खाद्य शिक्षा,5.8K
42,자취 11년차가 리뷰하고 판매하는 자취템들. 원룸만들기 @oneroom.make,17.6K,0.27%,दक्षिण कोरिया,Beauty & Self Care Arts & Crafts,5.3K
43,Hyundai Motor Group | 현대자동차그룹 @hyundaimotorgroup.official,17.4K,0.35%,दक्षिण कोरिया,अटो र यान वित्त,5.2K
44,COSMOPOLITAN KOREA 코스모폴리탄 코리아 @cosmopolitankorea,17.3K,0.9%,दक्षिण कोरिया,शिक्षा,5.2K
45,Siyoung @si.young,16.9K,1.49%,दक्षिण कोरिया,,5.1K
46,Arena Homme+ Korea @arenakorea,16.6K,0.2%,दक्षिण कोरिया,Entertainment & Music,5K
47,용시우(siu Yong) @yong_siu_,16.6K,0.94%,दक्षिण कोरिया,Fashion & Accessories,5K
48,KoreAlo @dailydoseof.korean,15.8K,0.47%,दक्षिण कोरिया,,4.7K
49,승헌쓰 이꼬르 나야나세여 @feellikefeel1,15.7K,6%,दक्षिण कोरिया,मजाकिया,4.7K
50,子馨💜자현 @tiffanysss123,15.6K,0.24%,दक्षिण कोरिया,Beauty & Self Care Fashion & Accessories,4.7K
51,Ｎａｎａ♡ @nana.0312,15.5K,0.57%,दक्षिण कोरिया,Beauty & Self Care,4.7K
52,베리뷰 꽃 예술 @veryview.floristacademy,15.4K,0.12%,दक्षिण कोरिया,Home & Garden Arts & Crafts,4.6K
53,BAZAAR Korea 바자 코리아 @harpersbazaarkorea,15.2K,0.48%,दक्षिण कोरिया,Fashion & Accessories,4.6K
54,Gigi Lucilfer (지나) @4.7.4.7,15K,2.27%,दक्षिण कोरिया,व्यापार Entertainment & Music,4.5K
55,이규영 Lee Kyu Young 🇰🇷 @gyung_studio,14.8K,0.53%,दक्षिण कोरिया,Arts & Crafts,4.4K
56,하나유리 @hannayuri_sunshine,14.5K,2%,दक्षिण कोरिया,यात्रा,4.3K
57,유디니 @eudiny_insta,14.4K,3.93%,दक्षिण कोरिया,Entertainment & Music,4.3K
58,락채은 (Freelance Model) @rockchaeeun,14.2K,0.23%,दक्षिण कोरिया,Entertainment & Music,4.3K
59,Jeanette 🇸🇬 @jeanetteongtoo,14.2K,0.64%,दक्षिण कोरिया,शिक्षा,4.2K
60,李靜LJ @ljljljlij,13.9K,1.19%,दक्षिण कोरिया,शिक्षा प्रविधि,4.2K
61,Ha Neul 하늘 @haneulina,13.5K,0.5%,दक्षिण कोरिया,Animation & Cosplay,4K
62,기은세 @kieunse,13.2K,1.07%,दक्षिण कोरिया,Home & Garden उत्पादन देखाएका,4K
63,젤라비 🇰🇷(freelancer model) @j876my,13.2K,1.54%,दक्षिण कोरिया,Fashion & Accessories,3.9K
