#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,La Rosalia @rosalia,30.9M,-,Spain,,9.3M
2,Twin Melody @twinmelody,17.9M,-,Spain,,5.4M
3,animalize21🔥 @animalize21,11.1M,-,Spain,Animals Pets,3.3M
4,🌟SWEETYBOY🌟 @mateosarc,10.6M,-,Spain,Entertainment and Music,3.2M
5,Nasser Ferreiro @nasserferreiroo,10.6M,-,Spain,Entertainment and Music,3.2M
6,Nacho Gil Conesa @nachter,10.4M,-,Spain,,3.1M
7,Fran Callejon @francallejon,9.4M,-,Spain,Entertainment and Music Acting and Drama,2.8M
8,Lola loliitaa🌸 @lolaloliitaaa,8.9M,-,Spain,Fashion and Accessories,2.7M
9,M A G N O S C A V O @magno_scavo,8.2M,-,Spain,,2.5M
10,Mike from Chameleon Theatre @mikethechameleon,7.4M,-,Spain,Education,2.2M
11,Annie Vega @annemoda14,6.6M,-,Spain,,2M
12,Àngela Mármol @amarmolmc,5.5M,-,Spain,Entertainment and Music,1.7M
13,SoyBanaz @soybanaz,5.1M,-,Spain,Entertainment and Music,1.5M
14,Eduardo Camavinga @camavinga,4.7M,13.8%,Spain,Sports,1.4M
15,Maria_rm @maria_rm,4.3M,-,Spain,Entertainment and Music,1.3M
16,Anita Groowe @anitagroowe,3.9M,-,Spain,,1.2M
17,Atletico de Madrid @atleticodemadrid,3.8M,-,Spain,Sports,1.1M
18,🎬IVIS🎬 @mrivis,3.7M,-,Spain,Entertainment and Music,1.1M
19,sofia espanha @sofiaespanha,3.7M,0.2%,Spain,,1.1M
20,Adexe y Nau @aynoficial,3.6M,-,Spain,Entertainment and Music,1.1M
21,Mr. Azaga Wong @mrazagawong,3.5M,-,Spain,Photography,1.1M
22,Mohamed ( Zizi ) @el_zizi_93,3.3M,-,Spain,Beauty and Self Care Fashion and Accessories,990K
23,Carlos_Eduardo_Espina @carlos_eduardo_espina,3.3M,-,Spain,Life and Society,990K
24,Julieta Martell @ju_martell,3.2M,-,Spain,,960K
25,Isa @kindecisa,3.1M,-,Spain,Fashion and Accessories Beauty and Self Care,930K
26,Netflix España @netflixes,2.7M,-,Spain,,810K
27,Mar @mariaa_mml,2.7M,-,Spain,Fashion and Accessories Beauty and Self Care,810K
28,Marta Deza @marta_deza,2.7M,-,Spain,Entertainment and Music,810K
29,Ariana Michelle @arianafeygin,2.6M,-,Spain,Food,780K
30,Claudia De Los Toyos Boj @claudiadelostoyos,2.6M,-,Spain,Entertainment and Music,780K
31,Orlando Domínguez @casosconorlando,2.5M,-,Spain,,750K
32,Adrian Lopez @adrianlt7,2.4M,-,Spain,,720K
33,ALCALA @alcala.creativo,2.3M,0.1%,Spain,DIY and Life Hacks,690K
34,Andrés en Inglés @andreseningles,2.3M,-,Spain,Education,690K
35,Aida Martorell @aidamartorell,2.2M,-,Spain,Beauty and Self Care,660K
36,El profesor TikTok @elprofesordetiktok,2.2M,-,Spain,Education Entertainment and Music,660K
37,Antonio Betancourt @antonio_betancourt,2.1M,-,Spain,Travel,630K
38,malu paris crf @niishiimiya,2M,2.8%,Spain,Entertainment and Music,600K
39,Archie Ted🐲 @archieted0,2M,-,Spain,Entertainment and Music,600K
40,Jackwise @jackwise_clown,2M,-,Spain,,600K
41,Adrián @anexo3d_oficial,2M,-,Spain,,600K
42,PrimeVideoES @primevideoes,1.9M,-,Spain,Entertainment and Music,570K
43,Lorena Fernández💖 @lorenafernandezb,1.9M,-,Spain,Fashion and Accessories,570K
44,Becs Martinez @becsmartinez,1.9M,-,Spain,,570K
