#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Mikecrack @UCqJ5zFEED1hWs0KNQCQuYdQ,32.2M,0.6%,Spain,,9.7M
2,AuronPlay @auronplay,29.2M,8.7%,Spain,,8.8M
3,Las Ratitas @UCUY6t_N9MyEWu6I0ZXkbtKA,24.5M,-,Spain,,7.4M
4,ElTrollino @UCI2FmVp--YL8d7iVFt8mmxg,18.7M,-,Spain,,5.6M
5,TheGrefg @UCCEmjNPpJYhGDgaEqeeA4HA,17.7M,-,Spain,,5.3M
6,Willyrex @UC8rNKrqBxJqL9izOOMxBJtw,17.2M,-,Spain,,5.2M
7,Doggy Doggy Cartoons @UC_W0_Nv-3rxpWVvosddhrPw,16.8M,-,Spain,,5M
8,Makiman131 @UCevY-z55kr37ZAXG15F-KiA,14.9M,0.1%,Spain,,4.5M
9,iTownGamePlay *Terror&Diversión* @UCKmlxQVs0vHtaLldRIQ8lsA,14.7M,-,Spain,,4.4M
10,Auron @UCFR2oaNj02WnXkOgLH0iqOA,14M,0.4%,Spain,,4.2M
11,gymvirtual @UCfwP2H1CDJvssk6g2pm8EgA,12.6M,-,Spain,,3.8M
12,Adexe & Nau @UCKR6KdJmTdhLVQJnoJu9tRQ,12.6M,-,Spain,,3.8M
13,Little Baby Bum en Español @UCHicabXz9rUMWLcdMqBtbxQ,12.4M,-,Spain,,3.7M
14,DaniRep | +6 Vídeos Diarios De GTA 5 Online! @UCHIwQiZhIn6fm5b_IilqBbQ,12M,-,Spain,,3.6M
15,Luli Pampín @UCCw5Xsx3WazdczGTKJdjwPQ,11.9M,-,Spain,,3.6M
16,Rubius Z @UCcjIvuxmWlS5IEQ0JdPV4Ng,11.8M,-,Spain,,3.5M
17,POCOYÓ en ESPAÑOL - Canal Oficial @UCnB5W_ZJgiDFnklejRGADxw,11.7M,-,Spain,,3.5M
18,Quantum Tech HD @UC4Tklxku1yPcRIH0VVCKoeA,11.5M,-,Spain,Careers Technology,3.5M
19,ExpCaseros @UCoTyVfIkM-hjz4JauDoVvog,11.4M,-,Spain,,3.4M
20,El Rincón De Giorgio @UCDZsyOkn-WTiTwgAvZSQ_cg,11.2M,-,Spain,,3.4M
21,Mejores Juguetes @UCVnu0ZtcaY9bpJgdxAaqagA,10.9M,-,Spain,,3.3M
22,Acenix @UCH3h4jRKn3lJo0uORqqESPg,10.8M,0.8%,Spain,,3.2M
23,Dalas Review @UCgRr2pZaGeaZVN6LfbvQk9w,10.2M,0.6%,Spain,,3.1M
24,CantaJuego @UCizr5gqjxUoz623B8B78VPQ,10M,-,Spain,,3M
25,ROSALÍA @UCQt9awGIFZeldFsATZNeJag,9.8M,0.4%,Spain,,2.9M
26,Pica - Pica Oficial @UCQFZLyU7ndDUk4epI-7QqXw,9.7M,-,Spain,,2.9M
27,ZarcortGame @UCE3qZH8ltYwmQDmm5uinPXw,9.6M,-,Spain,,2.9M
28,Ibai @UCaY_-ksFSQtTGk0y1HA_3YQ,9.2M,0.6%,Spain,,2.8M
29,Wismichu @UCsmx517WjzoyFuC17DGVt1A,9.1M,-,Spain,,2.7M
30,WildBrain Español @UCezM7Oug0cC4mW-9o60AjRA,8.9M,-,Spain,,2.7M
31,Sparta356 @UCY4_3ZL6HecuczYESAAKRdg,8.8M,-,Spain,,2.6M
32,Disney Junior España @UCx5qQgFaVBfJJaw5hbE_MrA,8.8M,-,Spain,,2.6M
33,Spain's Got Talent @UCxthdekpMin2DTv4i-3AjDg,8.7M,-,Spain,,2.6M
34,LaLiga @UCTv-XvfzLX3i4IGWAm4sbmA,8.5M,-,Spain,,2.6M
35,Funny Stop Motion videos @UCXLw_h6bFfPOKbDJXDUjA-Q,8.3M,-,Spain,,2.5M
36,Real Madrid @UCWV3obpZVGgJ3j9FVhEjF2Q,8.2M,0.2%,Spain,,2.5M
37,DjMaRiiO @UCi7TVXyvrIwqeS9tfYD8UDA,8.1M,0.6%,Spain,,2.4M
38,Dani itss @UCD5dXej6wC856yigcC-HpeA,7.9M,-,Spain,,2.4M
39,WooHoo ES @UCwmVv-CvbNdhlnPQ4SyWzkg,7.9M,-,Spain,,2.4M
40,Inmagic @UCdBQfHieMWDWxoCeu1de5RA,7.7M,0.1%,Spain,,2.3M
41,SaneuB @UCoHQQI-lEfCQzKR1PK2LZvw,7.5M,0.4%,Spain,,2.2M
42,INNA @UCr8RbU-D7iSvpy0ZO-AasoQ,7.3M,0.1%,Spain,,2.2M
43,YoSoyPlex @UCl8bYBm0XAP23mReE11IBOA,7.3M,0.7%,Spain,,2.2M
44,TOYS on the go! @UCe1T7EkHIHvOIWBG1Om8xHA,7.1M,-,Spain,,2.1M
45,Massi @UCGBNfqYHrq0BcVa9Co0ogsA,6.9M,-,Spain,,2.1M
46,Tecnonauta @UCFOSg71CRAJ58IPuV_-jMbw,6.9M,0.2%,Spain,,2.1M
47,Maya y Mary - Canciones Infantiles @UCl5hl5HIQqets-5iHhgrqOw,6.8M,-,Spain,,2.1M
48,Experimentar En Casa @UCwuqQHp6LYTDIxlyaDkg6Mw,6.8M,-,Spain,,2M
49,TheShooterCoc @UCtdyg85rwF9bPlz3ON6izFw,6.6M,0.4%,Spain,,2M
50,Red Bull Batalla @UCRRtRg9N0R0WHZcyPZGiLKg,6.6M,-,Spain,,2M
51,Porta @UCanCMSBvZLmv4B6XN73BTEQ,6.4M,-,Spain,,1.9M
52,Trolerotutos @UCazcTV-hRc4b-wdb0sFsRKQ,6.4M,0.6%,Spain,,1.9M
53,Ampeterby7 @UCnmlCrWnJZ-YdDFcVKOnjhA,6.2M,-,Spain,,1.9M
54,Sorpresas Divertidas @UCem7txHgFM0Egj4saI2rhdw,6.2M,-,Spain,,1.8M
55,RiusPlay @UCTXfzVSBZX2tnkbLf7ZU7rA,6.1M,0.4%,Spain,,1.8M
56,Manucraft @UCVoKxxQdeckWgU6DQGZCoIw,6.1M,-,Spain,,1.8M
57,Morat @UCvQwfdlOR55OO82gFWJCnWQ,6M,3%,Spain,,1.8M
58,ROBERT PG @UC1StC0C68OdfjB9qyJPUF8A,6M,1%,Spain,,1.8M
59,Mikecrack Fans @UCnm1ctk8ujjQlenfI0trHWw,5.8M,0.1%,Spain,,1.7M
60,bysTaXx @UCcfUAgCv_13Y7FyMCQ4rPYw,5.7M,-,Spain,,1.7M
61,Mi Historia Animada @UCAfRk-fbNGwVTfbXcmhIWoQ,5.7M,0.5%,Spain,,1.7M
62,Pablo Alborán @UCf3L_9odIRo9G2L_-hsb7lg,5.7M,0.1%,Spain,,1.7M
63,¡Caja Mágica! Vídeos in Spanish @UCi06Lg5rmRjK9tCGzw7BrjQ,5.7M,-,Spain,,1.7M
64,Salva @UCSmTKsZ0FfIND325ICTbxSA,5.6M,-,Spain,,1.7M
65,byViruZz @UCvGiJYBPgVP7W1ypE3DKOqA,5.6M,0.3%,Spain,,1.7M
66,CHUPITA @UCBYOJB0aaN9zXAR2-thQDdw,5.5M,-,Spain,,1.7M
67,bytarifa @UCbiqjDZeuczOizyzJ4Sp8fQ,5.5M,0.2%,Spain,,1.6M
68,Los mejores Top 10 @UCU4dLZPpj0hRF-P4x4snO9g,5.4M,-,Spain,,1.6M
69,Urban Roosters @UCvbTYgbzLcCginSC03fhmwg,5.4M,-,Spain,,1.6M
70,Logan G @UCvAdWQikZSiykT99dqJ0Qxw,5.3M,-,Spain,,1.6M
71,Asubio Kids @UC7Rrbm84x8RK0OkKlHpmiUQ,5.2M,-,Spain,,1.6M
72,Groovy el Marciano - Español @UCG3awVo02qs8aCfDori2Uxg,5.2M,-,Spain,,1.6M
73,dibusYmas @UCxQ_WZ2lFMAJYLnpom1L7Tg,5.2M,-,Spain,,1.6M
74,FisioOnline @UC6iRiXWScChTr6uNLXjJYFQ,5.2M,-,Spain,,1.6M
75,Lizy P @UCoeXcVMriL31GQGBL-c2KJg,5M,0.2%,Spain,,1.5M
76,Pascu y Rodri @UCxIBZ-nQhgZES3UaTm8eDPA,5M,1.9%,Spain,,1.5M
77,Acenix Cortos @UCgfjaYdmd49-3vFK0xbNLEQ,4.9M,-,Spain,,1.5M
78,KillerCreeper55 - Minecraft @UC1_aBBbg4vzI_Y8QAolPcCA,4.9M,1.5%,Spain,,1.5M
79,HISTORIAS CON RUTH @UCwaxDXAjuKeynj3sufRICJQ,4.9M,-,Spain,,1.5M
