#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Zlatan Ibrahimović @iamzlatanibrahimovic,64.3M,0.46%,Sweden,Fashion and Accessories Auto and Vehicles Soccer,19.3M
2,••Narin’s Beauty•• @narins_beauty,11.8M,0.18%,Sweden,Beauty and Self Care Music,3.5M
3,Zara Larsson @zaralarsson,8.5M,0.12%,Sweden,Entertainment and Music Music Singer Actors,2.6M
4,ANNA NYSTRÖM @annanystrom,8.3M,0.39%,Sweden,Fitness and Health Fashion and Accessories Modeling,2.5M
5,Maher Zain @maherzainofficial,7.1M,0.15%,Sweden,Entertainment and Music,2.1M
6,Avicii @avicii,7M,11.86%,Sweden,Music DJ Producers,2.1M
7,Khamzat Chimaev @khamzat_chimaev,6M,1.67%,Sweden,Sports,1.8M
8,Ninh Dương Lan Ngọc @ninh.duong.lan.ngoc,5.4M,0.48%,Sweden,Beauty and Self Care Product Showcase Celebrity Actors,1.6M
9,Lena Situations @lenamahfouf,4.5M,5.85%,Sweden,Entertainment and Music Arts and Crafts Lifestyle Celebrities,1.3M
10,Cedra Ammara @cedras_beauty,3.9M,7.14%,Sweden,Beauty and Self Care Business,1.2M
11,ʙʀɪɴɢ ᴍᴇ ᴛʜᴇ ʜᴏʀɪᴢᴏɴ @bringmethehorizon,3.6M,0.3%,Sweden,Entertainment and Music Music,1.1M
12,Kerimcan Durmaz @kerimcandurmaz,3.6M,1.6%,Sweden,Entertainment and Music,1.1M
13,Dolph Lundgren @dolphlundgren,3.1M,0.9%,Sweden,Actors Music,933.3K
14,Mirza Bico @ellentvshow,3M,0.55%,Sweden,Entertainment and Music Funny Parenting Humor,889.8K
15,Tove Lo @tovelo,2.6M,1.24%,Sweden,Entertainment and Music Songwriting,769.8K
16,Edvin Ryding @edvinrydings,2.4M,20.97%,Sweden,Acting and Drama,732.1K
17,Natasha Crown @natasha_crown_official1,2.4M,1.76%,Sweden,Beauty and Self Care Fitness and Health Food and Drink,705.8K
18,HANNA ÖBERG 🇸🇪 @hannaoeberg,2.3M,1.04%,Sweden,Fitness and Health Training Coaching Health & Fitness,680.8K
19,Omar Rudberg @officialomar,2.2M,13.07%,Sweden,Modeling Fashion Music,673.8K
20,Victor Lindelöf @victorlindelof,2.2M,7.41%,Sweden,Sports Soccer,671K
21,Rachel Brathen @yoga_girl,2M,1.75%,Sweden,Fitness and Health Food and Drink Yoga Health & Fitness,594.4K
22,𝕄𝕚𝕤𝕤 𝕐𝕠𝕫𝕚𝕝𝕝𝕒 @missyozilla,2M,1.04%,Sweden,,585.6K
23,Clara Felicia Lindblom @clara_lindblom,1.9M,0.83%,Sweden,Fitness and Health Product Showcase Lifestyle Health & Fitness,555.5K
24,Kenza Zouiten Subosic @kenzas,1.8M,1.65%,Sweden,Fashion and Accessories Moms Lifestyle,551.2K
25,Kelly Gale @kellygale,1.6M,0.87%,Sweden,Acting and Drama,494.7K
26,Jonna Jinton @jonnajinton,1.6M,2.43%,Sweden,Arts and Crafts Nature Home and Garden Nature & Outdoors,472.7K
27,The Band Ghost @thebandghost,1.6M,6.11%,Sweden,Entertainment and Music Parenting Music Band,467.3K
28,Gustaf Skarsgård @gustafskarsgard,1.5M,3.5%,Sweden,Entertainment and Music,452K
29,Omid Omidi @omidimusic,1.4M,0.2%,Sweden,Entertainment and Music Music,427K
30,FaZe Teeqo @teeqo,1.4M,6.88%,Sweden,Music Producers,424.4K
31,Ines Helene @ini.helen,1.4M,0.86%,Sweden,Education Outdoor Activity Business and Finance Health & Fitness,419K
32,Joel Kinnaman @joelkinnaman,1.3M,9.16%,Sweden,Entertainment and Music Celebrity Music Singer,390.4K
33,ℨ𝔥𝔞𝔯𝔞 𝔑𝔦𝔩𝔰𝔰𝔬𝔫 @zhara,1.3M,1.21%,Sweden,Fashion and Accessories Lifestyle Modeling Health & Fitness,390.2K
34,Kseniya Sundin @kseniyasundin,1.3M,0.04%,Sweden,Sports,389.8K
35,Janni Delér @jannid,1.2M,1.07%,Sweden,family Fashion and Accessories Lifestyle,371.8K
36,FASHION ╳ STYLE ╳ INSPIRATION @ootdgals,1.2M,0.05%,Sweden,Fashion and Accessories News Lifestyle,363.7K
37,Manuela Kjeilen @passionforbaking,1.2M,0.34%,Sweden,Food Product Education Product Showcase Parenting,360.2K
38,EMMA HALLBERG @eemmahallberg,1.2M,5.05%,Sweden,Fashion and Accessories Beauty and Self Care Business,358.8K
39,Wafaa Eddahri @eddahri_wafaa,1.2M,0.19%,Sweden,Fashion and Accessories,345.8K
40,Oliver Nordin @olivernordin1,1.1M,19.31%,Sweden,Fitness and Health Sports,343.7K
41,Stephanie Mendez Espinoza @steffi.mendezz,1.1M,1.73%,Sweden,Fashion Actors,340.8K
42,Miles Johnston @miles_art,1.1M,2.44%,Sweden,Arts and Crafts Actors Illustrator Painting,340.6K
43,Sebastian Ingrosso @sebastianingrosso,1.1M,4.61%,Sweden,Entertainment and Music,337.4K
44,Christoffer Collin @wisslaren,1.1M,1.35%,Sweden,"Photography Nature & Outdoors Film, Music & Books Design",329.2K
45,Nika Forghani | نیکا فرقانی @nikaforghaniofficial,1.1M,22.11%,Sweden,Celebrity Entertainment and Music Actors Modeling,328.8K
46,𝓐𝓻𝓲𝓪 🤍 / أريانة @ariana_aria,1.1M,1.59%,Sweden,Fashion and Accessories Travel Music,323.8K
47,Joakim Lundell 🎥🎞️ @joakimlundell,1M,4.78%,Sweden,Entertainment and Music Music Musicians,312.5K
48,Filippa Fransson @filippafranssoon,1M,4.57%,Sweden,Fitness and Health Coaching Gym,311.2K
49,Victoria Silvstedt Official @victoriasilvstedt,1M,1.75%,Sweden,Beauty and Self Care Fashion and Accessories Entertainment and Music Modeling,301K
50,Sveriges Roligaste Barn @sverigesroligastebarn,989.1K,2.25%,Sweden,Funny family Celebrity,296.7K
51,Bill Skarsgård @billskarsgard_,985.1K,26.54%,Sweden,Celebrity Acting and Drama Actors,295.5K
