#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Bell & Ross Watches @bellrosswatches,28.5K,-,Switzerland,Fashion & Accessories Product Showcase,8.5K
2,Dimash Adilet | Geneva @dimashadilet,19.2K,1.38%,Switzerland,Finance Business Education,5.8K
3,Songül Ünsal @songulunsall,18.4K,0.53%,Switzerland,Education,5.5K
4,E S T A R E • ˈestə(r) @estaregrams,15.4K,0.12%,Switzerland,Fashion & Accessories Travel Lifestyle Product Showcase,4.6K
5,Longines @longines,12.7K,-,Switzerland,Fashion & Accessories,3.8K
6,Wissali Holman @brazilian.babe,11.1K,0.05%,Switzerland,Travel family,3.3K
7,Swiss Gallery @swissgalleryofficial,8.6K,0.19%,Switzerland,Fashion & Accessories,2.6K
8,Megan Batson @megbatphoto,7.7K,0.93%,Switzerland,Arts & Crafts Photography,2.3K
9,Byanka Brasil @bya.brasil,7.6K,0.28%,Switzerland,Arts & Crafts Outdoor Activity,2.3K
10,"Kyu 🩷 Self-Beauty Tips (makeup, hair, fashion) ✨ @kyurindiary",7.5K,0.4%,Switzerland,Education Travel,2.3K
11,Sanika Ranade @sanikaranade,5.9K,0.43%,Switzerland,,1.8K
12,sylvie 💫 wellness + travel mom @life.by.sylvie,4.6K,0.15%,Switzerland,Beauty & Self Care Fashion & Accessories,1.4K
13,Red Bull Switzerland @redbullswitzerland,4.2K,-,Switzerland,Outdoor Activity Sports,1.3K
14,Philippe.Tk - Menswear/Watches @philippe.tk,3K,-,Switzerland,Fashion & Accessories Photography,900
15,Guia Brasileira na Suíça / Janaina Abreu @descobrindoasuica,3K,0.22%,Switzerland,Travel,894
16,Ernst Benz @ernstbenz,3K,-,Switzerland,Product Showcase,891
17,Molis Satria Putra @molisgadient,2.9K,0.41%,Switzerland,Fitness & Health Outdoor Activity,867
18,Rhythm 108 - Vegan Chocolate @rhythm108,2.9K,0.2%,Switzerland,Food,867
19,Micro Scooters UK @microscooters,2.9K,-,Switzerland,Outdoor Activity Sports,861
20,Sway @swaythefuture,2.8K,0.44%,Switzerland,Nature Product Showcase,825
21,DUROARTS 🔴🔵 @duroarts_,2.6K,0.38%,Switzerland,Arts & Crafts,792
22,MONTA Watches @montawatch,2.6K,0.49%,Switzerland,Fashion & Accessories,777
23,Hailey McLaine Outland @haileyoutland,2.6K,0.2%,Switzerland,Fashion & Accessories,768
24,Daniela Christiansson @danielachristiansson,2.4K,0.49%,Switzerland,Education Sustainability,729
25,Kim Leuenberger @kim.ou,2.4K,0.46%,Switzerland,Pets,714
26,Marcio Cimatti 📷 🇨🇭 @ajanelalaranja,2.1K,0.15%,Switzerland,Travel,618
27,Sheena Phua @sheenaphua,1.9K,0.1%,Switzerland,Romance & Wedding,579
28,RIDI @realridi,1.8K,0.2%,Switzerland,Entertainment & Music,537
29,Nidecker Snowboards @nideckersnowboards,1.7K,0.51%,Switzerland,Outdoor Activity Sports,516
30,Raph Korine @raph176,1.7K,1.18%,Switzerland,Entertainment & Music,507
31,Meeka Bengal @meeka_bengal,1.6K,1.05%,Switzerland,Animals Pets,486
32,Zürich Tourism @visitzurich,1.5K,0.6%,Switzerland,Travel,456
33,Mariana Amadio @mari.amadio,1.4K,0.4%,Switzerland,Education,432
34,Gala Room Jewelry Official @galaroom_official,1.4K,0.04%,Switzerland,Fashion & Accessories,420
35,Mike KARG 🇨🇭🇺🇸 @mikekargofficial,1.4K,0.39%,Switzerland,Beauty & Self Care Product Education,417
36,Sarah Hernandez @lostswissmiss,1.4K,0.05%,Switzerland,Fashion & Accessories Arts & Crafts Home & Garden,405
37,Valmont Cosmetics @valmontcosmetics,1.3K,-,Switzerland,Beauty & Self Care,375
38,Marcelo @mhazinho,1.2K,0.26%,Switzerland,,351
39,Blush Salon Nailbar @blush.sv,1.2K,0.09%,Switzerland,Beauty & Self Care,345
40,20 Minuten @20min.ch,1.1K,0.52%,Switzerland,Entertainment & Music,324
41,SEBASTIEN | Photographer X Filmmaker @sebastienclosuit,1.1K,0.6%,Switzerland,Fashion & Accessories,315
