#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,ales2ndro @ales2ndro,2.7M,-,Switzerland,,810K
2,chiaracastelli @chiaracastelli,1.8M,-,Switzerland,Entertainment and Music Music,540K
3,World Economic Forum @worldeconomicforum,1.7M,-,Switzerland,Education,510K
4,Red Bull Switzerland @redbullswitzerland,1.1M,-,Switzerland,Entertainment and Music Outdoor Activity,330K
5,Sami Loft @samiloft,1.1M,-,Switzerland,DIY and Life Hacks Home and Garden,330K
6,TP @drpronto,1.1M,-,Switzerland,Travel,330K
7,heartbeatfood @heartbeatfood,1.1M,-,Switzerland,,330K
8,asaniamir @asaniamir,998.6K,-,Switzerland,Travel,299.6K
9,Yazi Cole @yazicole,899.6K,-,Switzerland,Beauty and Self Care,269.9K
10,Pranks from CH @selfcheckarea,891.5K,0.1%,Switzerland,,267.5K
11,Hublot @hublot,859.4K,-,Switzerland,,257.8K
12,TATAKI @tatakiii,833.5K,0.1%,Switzerland,,250.1K
13,Zeki @zekisworld,822.4K,0.3%,Switzerland,,246.7K
14,Master Money @mastermoneymanagement,801.1K,-,Switzerland,Finance,240.3K
15,Gripmode Goalkeeping @gripmode,791.4K,-,Switzerland,,237.4K
16,Maya Leinenbach @fitgreenmind,782.1K,0.1%,Switzerland,Food,234.6K
17,🦋 Désiré 🦋 @desireajavon,771.8K,-,Switzerland,,231.5K
18,Maelo Romani @maeloromani,771.4K,-,Switzerland,,231.4K
19,João Azambuja🦋🇨🇭 @jvbuja,739.6K,-,Switzerland,,221.9K
20,Home of Hoops @fiba,735.3K,-,Switzerland,,220.6K
21,Muhammad Akram ✅ @akooo786,700.9K,0.2%,Switzerland,,210.3K
22,joshtyrell @josh_tyrell,672.1K,0.1%,Switzerland,,201.6K
23,Lenny Izaguire ✨ @lenny_iza,670.1K,-,Switzerland,,201K
24,rock_sharan @rock_sharan,660.9K,-,Switzerland,,198.3K
25,ℍ 𝔼 𝕃 𝕃 𝔹 𝕆 𝕐 @nathanberno,632.5K,-,Switzerland,,189.8K
26,Senna Relax @sennarelax,577.7K,-,Switzerland,Travel,173.3K
27,Ch_soccer @ch_soccer_,565.9K,-,Switzerland,Sports Entertainment and Music,169.8K
28,Maya Eigenmann @maya_eigenmann,562.9K,-,Switzerland,,168.9K
29,Kevinlutolf @kevinlutolf,536.8K,-,Switzerland,,161K
30,Marvel love @marvel_love12,505.7K,-,Switzerland,,151.7K
31,669 SWIIZEN @swiizen_levrai,501.3K,-,Switzerland,,150.4K
32,Lahori jutti😘 @aira512,498.6K,-,Switzerland,,149.6K
33,Света Мужжухина @sm.otri,480.9K,-,Switzerland,Art,144.3K
34,🦋⃟✮͢🇨ɧųʑı🐣ơყɛɛ🙊 @chuzi_oyee_786,457.8K,-,Switzerland,,137.3K
35,simomo @simomo2,446.4K,-,Switzerland,,133.9K
36,Basel @baselato,431.3K,-,Switzerland,,129.4K
37,Sam Jorden @thesamjorden,430.3K,0.1%,Switzerland,,129.1K
38,Kaorydesole @kaorydesole,425.6K,-,Switzerland,Beauty and Self Care,127.7K
39,Carly @reveil.carly,422.5K,-,Switzerland,Entertainment and Music,126.8K
40,Xherdan Shaqiri @shaqirixs23,421.2K,-,Switzerland,Sports,126.4K
41,rastawhiteshepherd @rastawhiteshepherd,419.1K,-,Switzerland,Animals,125.7K
42,be.a.man3 @be.a.man3,412.5K,-,Switzerland,,123.8K
43,How To Switzerland 🇨🇭 @howtoswitzerland,401.3K,0.7%,Switzerland,Travel,120.4K
44,🕊Queen__کوچۍ🕊 @arzo481,397.8K,-,Switzerland,,119.3K
45,James Beacham @jbbeacham,395.6K,0.4%,Switzerland,Education,118.7K
46,🍼zara🎀 @iiamzara,392.9K,-,Switzerland,Fashion and Accessories Games,117.9K
47,vladi @abeelxo,391.6K,-,Switzerland,Funny,117.5K
48,Michi_stuntrider @michi_stuntrider,386K,-,Switzerland,Automotive,115.8K
49,Fannyasfresh @fannyasfresh,385.8K,-,Switzerland,Animals Pets,115.7K
50,greeshx @greeshx,384.6K,-,Switzerland,,115.4K
51,luxury.habits @luxury.habits,380.4K,0.2%,Switzerland,,114.1K
52,Topdeck @topdeck_le_plug,378K,-,Switzerland,Fashion and Accessories,113.4K
