#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,FIFA @UCpcTrCXblq78GZrTUTLWeBw,12.1M,-,Switzerland,,3.6M
2,Eurovision Song Contest @UCRpjHHu8ivVWs73uxHlWwFA,5.1M,-,Switzerland,Music,1.5M
3,Swissbeatbox @UCzgUc_EaBp2-u-zEvTC6P0g,4.7M,-,Switzerland,,1.4M
4,LE GRAND JD @UCzjd9v6DMprAAvOBB4sxBPA,3.7M,-,Switzerland,,1.1M
5,my mechanics @UCMrMVIBtqFW6O0-MWq26gqw,3.3M,-,Switzerland,,990K
6,FarsAttack @UC-iNzkiXFbRr_l-lq9MVy7w,1.9M,-,Switzerland,,561K
7,Laugh 4 Life @UCmDOChfahA4gZU3WoRriNUQ,1.9M,-,Switzerland,,555K
8,Alyaa Gad علياء جاد @UCk-FDoGNRa9XfXqF4ujMv7A,1.3M,0.6%,Switzerland,,381K
9,KeysJore @UCOTyb6e_v9cz2Bu7VzFW7tg,1.3M,-,Switzerland,,381K
10,Adrian von Ziegler @UCSeJA6az0GrNM4_-pl3HQSQ,1.1M,0.3%,Switzerland,,324K
11,Сестрички. Life @UC7CPog0JLWcKsUDnYUmKMpA,1M,0.4%,Switzerland,,306K
12,Kinstaar @UC3l8a-MJtRS3jHvPz-rIUqg,963K,0.2%,Switzerland,,288.9K
13,Lava&Sherin TV لافا و شيرين @UCc87qNcaVTeE9lX_FmhotyA,945K,0.1%,Switzerland,,283.5K
14,Hallo Deutschschule @UC5ZnpdkQIit8TWhGVDiDnQQ,920K,-,Switzerland,,276K
15,PsYkO17 @UC9AyDb5SJjy1iTMS_EqAjcA,884K,-,Switzerland,,265.2K
16,FIG Channel @UCAM9Pvp3HzKvIAbAXHxidow,839K,-,Switzerland,,251.7K
17,MercBenzKing @UCwOzr0x28F-L1u6CHQ7CNUA,835K,0.6%,Switzerland,,250.5K
18,VERITY and CHELSEA @UCEt50ZvC_CtHHWB3TZKv9bA,828K,-,Switzerland,News,248.4K
19,CUBATON - OFFICIAL @UCvHlf_32EGLAnIDYgzkqO7A,801K,-,Switzerland,,240.3K
20,Mike Horn @mikehornexplorer,787K,0.6%,Switzerland,,236.1K
21,Dyne e Zinha - Culinária é Terapia @UCMPYAcYb1xphednO9uZrNUg,784K,-,Switzerland,,235.2K
22,Nicocapone @UCgrdZm9Nx3rCj8WenIoSIqw,765K,2.8%,Switzerland,,229.5K
23,World Economic Forum @UCw-kH-Od73XDAt7qtH9uBYA,750K,-,Switzerland,,225K
24,Raffa's Plastic Life @UCLYdLddpWyURxEnmZsZUAyw,744K,-,Switzerland,,223.2K
25,MK FamilyVLOGS @UCpnBTBkffNefiwriBxPyfnw,741K,-,Switzerland,,222.3K
26,Junior Eurovision Song Contest @UC-lkYjunAyfultKGuRJz6HQ,736K,0.5%,Switzerland,,220.8K
27,Swiss001 @UCYiaHzwtsww6phfxwUtZv8w,650K,0.3%,Switzerland,,195K
28,Royalty story @UCAfh7C5p4MMVHRYvjjbPQew,641K,0.1%,Switzerland,News,192.3K
29,2TONoffical @UCjPvfXJmB0pVSYAgchVOTbA,628K,-,Switzerland,,188.4K
30,Nespresso @UCdrsm2O-1i3zl5K0lVOEC2A,627K,-,Switzerland,,188.1K
31,Eric Flag @UCPJJkwm48LGt7LC6tUZMWZQ,600K,-,Switzerland,,180K
32,Gulsara Norova @UCQ4BTUbQubCORrh3C1r759A,599K,-,Switzerland,,179.7K
33,ROLEX @UClJXNsEKylFoB4ae6tZ9z5Q,597K,-,Switzerland,,179.1K
34,Neron's Brother @UCN-4imQmz1_EpEIZ7bjegaQ,565K,1.1%,Switzerland,,169.5K
35,Farming Simulator @farmingsimulator,557K,0.4%,Switzerland,,167.1K
36,Syarif Zapata @UCcoMsVZhSGW31RNm675LTVA,554K,0.4%,Switzerland,Careers,166.2K
37,Dr. Filippo Ongaro @UCpn6jPTFPFBEkTCNjuzYu_A,551K,-,Switzerland,Business and Finance,165.3K
38,Open Hearts Can Unite @UCMIa0Y6LYsnkduN7fCKBx-A,533K,-,Switzerland,,159.9K
39,Cacau schwarz @UCKwhzMLfPXS8-3f2dqWkksA,502K,0.4%,Switzerland,,150.6K
40,KALUSH @UCWJULrY4qhbj0pqnNOrYETg,502K,12.2%,Switzerland,,150.6K
41,ODIS @UC-g-PqBE-emVg9P424JzzTQ,492K,-,Switzerland,,147.6K
42,Aida Doci Official @UCn-lFKTfgmfLwUqdo-NQ6Rw,490K,0.1%,Switzerland,,147K
43,HEVOX @UC7AS6NPaYXPOa0-RCdGicCg,489K,1.8%,Switzerland,,146.7K
