#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Win Metawin O. @winmetawin,14.4M,0.11%,Thailand,Acting and Drama,4.3M
2,Urassaya Sperbund @urassayas,12.9M,1.45%,Thailand,Entertainment and Music Home and Garden Celebrity Modeling,3.9M
3,baifernbah @baifernbah,12.8M,1.11%,Thailand,Fashion and Accessories Celebrity Modeling Actor,3.9M
4,Araya Alberta Hargate @chomismaterialgirl,11.4M,0.65%,Thailand,family Actors Lifestyle Personal Blog,3.4M
5,Woonsen @vjwoonsen,10.2M,0.14%,Thailand,Pets Actors,3M
6,Patt Napapa T. @pat_napapa,9.9M,0.4%,Thailand,Acting and Drama Celebrity Actors TV Shows,3M
7,박진영 @jinyoung_0922jy,9.6M,9.49%,Thailand,Music Music of Asia Band,2.9M
8,Ploy Chermarn @chermarn,9.2M,0.66%,Thailand,Entertainment and Music Celebrity Actors Actor,2.8M
9,Bella Ranee Campen @bellacampen,9M,1.2%,Thailand,Acting and Drama Celebrity Lifestyle Actors,2.7M
10,Margie Balenciaga @margie_rasri,8.9M,0.24%,Thailand,Acting and Drama Travel Celebrity Lifestyle,2.7M
11,PunPun Sutatta Udomsilp♡ @punpun_sutatta,8.6M,1.18%,Thailand,Celebrity Modeling Design Celebrities,2.6M
12,Prin Suparat @mark_prin,8M,1.07%,Thailand,Entertainment and Music Celebrity Business,2.4M
13,Noey Chotika @noeychotika,7.9M,0.18%,Thailand,Beauty and Self Care Fashion and Accessories Celebrity Modeling,2.4M
14,TJ @toeyjarinporn,7.9M,0.74%,Thailand,Business and Finance Modeling Entrepreneur,2.4M
15,Kwan Usamanee Official @kwanusa9,7.5M,0.08%,Thailand,Beauty and Self Care Business and Finance Celebrity Modeling,2.3M
16,t ae wt ae w @taewaew_natapohn,7.2M,0.39%,Thailand,Entertainment and Music Acting and Drama Actors,2.2M
17,Anne Jakrajutatip | แอน จักรพงษ์ @annejkn.official,6.7M,0.25%,Thailand,Entertainment and Music Business and Finance,2M
18,Jirayu Tangsrisuk @jirayu_jj,6.7M,0.62%,Thailand,Actors,2M
19,Panward Hemmanee @ppanward,6.5M,0.43%,Thailand,Acting and Drama Beauty and Self Care Celebrity,2M
20,Mew Suppasit @mewsuppasit,5.9M,2.22%,Thailand,Entertainment and Music Modeling Moms Actors,1.8M
21,Tawan Vihokratana @tawan_v,5.9M,0.2%,Thailand,Entertainment and Music Lifestyle,1.8M
22,WORANUCH BHIROM BHAKDI @nuneworanuch,5.6M,0.16%,Thailand,Acting and Drama Actors Singer Music,1.7M
23,Pitchanart Sakhakorn @maypitchy,5.4M,0.07%,Thailand,Entertainment and Music Acting and Drama Celebrity Modeling,1.6M
24,Lydia Sarunrat Deane @lydiasarunrat,5.2M,0.62%,Thailand,Actors Food,1.5M
25,Cris Horwang️️️️️️ @crishorwang,5.1M,0.18%,Thailand,Actors,1.5M
26,GMMTV @gmmtv,5.1M,0.28%,Thailand,Entertainment and Music Parenting Modeling Tv Show,1.5M
27,JT @janienineeleven,4.9M,1.44%,Thailand,Fashion and Accessories Business and Finance Actor,1.5M
28,ตุ๊กกี้ สุดารัตน์ @tukky66,4.7M,0.02%,Thailand,,1.4M
29,Kan Kantathavorn @kankantathavorn,4.5M,0.03%,Thailand,Acting and Drama family Marketing and Advertising Celebrity,1.4M
30,Mook Worranit Thawornwong @mookworranit,4.5M,1.54%,Thailand,Actors,1.3M
31,New Thitipoom @newwiee,4.4M,0.24%,Thailand,Celebrity,1.3M
32,Naphat Siangsomboon นาย ณภัทร @naphat_nine,4.4M,2.32%,Thailand,Acting and Drama Arts and Crafts Photography Celebrity,1.3M
33,Esther Supreeleela @esthersupree,4.3M,0.46%,Thailand,Actors,1.3M
34,𝗝 𝗘 𝗙 𝗙 𝗦 𝗔 𝗧 𝗨 𝗥 (罗杰夫) @jeffsatur,4.2M,9.9%,Thailand,Entertainment and Music Music,1.3M
35,Ice Apitsada ไอซ์ อภิษฎา @apitsada,4.2M,0.41%,Thailand,Art Celebrity Styling Lifestyle,1.3M
36,Warattaya Nilkuha (Jooy) @warattaya,4.2M,1.54%,Thailand,Celebrity Entertainment and Music Beauty and Self Care Fashion and Accessories,1.3M
37,Violette Wautier @violettewautier,4.1M,1.2%,Thailand,Entertainment and Music Music Modeling Artist,1.2M
38,徐志贤𝕭𝖎𝖊 @biexu1991,4.1M,2.71%,Thailand,Modeling Fashion,1.2M
39,Sririta Jensen Narongdej @sriritajensen,4.1M,0.22%,Thailand,Business and Finance Organics,1.2M
40,Vanda Sahawong @vanda29,4.1M,0.33%,Thailand,Fashion and Accessories Business and Finance Modeling Public Figure,1.2M
41,Krit Amnuaydechkorn @pp.kritt,4M,3.3%,Thailand,Fashion and Accessories Celebrity Modeling,1.2M
42,Nattawin Wattanagitiphat @apo555,3.8M,13.52%,Thailand,Celebrity,1.1M
43,Thanapob Leeratanakachorn @thanapob_lee,3.7M,1.59%,Thailand,Acting and Drama Celebrity,1.1M
44,Love Pattranite (เลิฟ) @loverrukk,3.7M,3.78%,Thailand,Entertainment and Music Celebrity Modeling,1.1M
45,Rhatha Yaya Phongam @realyingrhatha,3.7M,0.06%,Thailand,Nature Animals Celebrity Actors,1.1M
46,Sunny Suwanmethanont @sunny_suwanmethanont,3.7M,2.09%,Thailand,Funny Fashion and Accessories Travel Celebrity,1.1M
47,MP 15.15 @milephakphum,3.6M,7.46%,Thailand,Pets Singer Music Songwriting,1.1M
48,Thiti Mahayotaruk @bank_thiti,3.6M,1.04%,Thailand,Fashion and Accessories Celebrity Actors,1.1M
49,J @jaylerr,3.5M,0.94%,Thailand,Entertainment and Music Modeling,1M
50,PANITA N @ningpanita,3.5M,0.08%,Thailand,Beauty and Self Care News Lifestyle Modeling,1M
51,Engfa Waraha 🇹🇭 @fa_engfa8,3.5M,5.15%,Thailand,Business and Finance Art,1M
52,Thanavat Vatthanaputi @popezaap,3.4M,1.56%,Thailand,Acting and Drama Celebrity Actors Modeling,1M
53,Singto | Prachaya Ruangroj @__singto,3.4M,1.48%,Thailand,Celebrity Modeling Actors Film,1M
54,Wachirawit @chimonac,3.4M,4.22%,Thailand,Entertainment and Music,1M
55,MARCH @marchutavuth,3.4M,0.32%,Thailand,Acting and Drama Celebrity Modeling Actors,1M
56,💗 Fonthip Watcharatrakul 💗 @pooklook_fonthip,3.4M,0.25%,Thailand,Beauty and Self Care Celebrity Modeling Actors,1M
57,Sushar M. @aom_sushar,3.3M,0.5%,Thailand,Acting and Drama Actor,985K
58,Praya Lundberg @prayalundberg,3.3M,0.47%,Thailand,Celebrity Actors Modeling,982.3K
59,พลอยชมพู | Ploychompoo @jannineweigel,3.2M,1.96%,Thailand,Entertainment and Music Celebrity Music Singer,971.8K
60,Ter Chantavit @terchantavit,3.2M,0.66%,Thailand,Celebrity Actors,958.8K
61,Amy Klinpratoom @amy_klinpratoom,3.2M,0.21%,Thailand,Acting and Drama Celebrity Lifestyle,951.8K
62,Jennie Panhan @jennie_panhan,3.1M,1.71%,Thailand,Music Singer,945K
