#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,netd müzik @UCR5wZcXtOUka8jTA57flzMg,23M,-,Turkey,,6.9M
2,Oyuncak Avı @UCjS0hMS5sneIgsb3PjBc0Bw,15.2M,-,Turkey,,4.6M
3,atv @UCUVZ7T_kwkxDOGFcDlFI-hg,10.4M,-,Turkey,,3.1M
4,مصطفى GAME OVER @UC3CFqU4KlktVPPJ1Km87pRg,9.9M,1%,Turkey,,3M
5,ام سيف Om sayf @UCq8wSOMKwfqIhpVMdvYiZiQ,8.6M,-,Turkey,,2.6M
6,Nour Mar5 @UCu-j_Dytl2Fc1m1dr6pbrEA,8.2M,1.3%,Turkey,,2.5M
7,KanalD @UCFoe1tg8MuHjRzmqXtV816A,7.8M,-,Turkey,,2.3M
8,Kafalar @UC7Lu-ONZhIM_lvKnZn0F19Q,7.5M,1%,Turkey,,2.3M
9,Sevimli Dostlar @UCURSfY00AASuqKxT-V2Gi1g,7.4M,-,Turkey,,2.2M
10,A_B_N_SYRIA ابن سوريا @UCiww9om-U6PqHwt0f2skgZg,7.1M,0.7%,Turkey,,2.1M
11,Czn Burak @UCUcfej7lPDoeqTlferD2mcw,6.6M,-,Turkey,,2M
12,Ruhi Çenet Medya @UCWpk9PSGHoJW1hZT4egxTNQ,6.5M,3.4%,Turkey,,2M
13,Çukur @UCTAkwLbVzHxsbgsp6cRsPDg,6.5M,-,Turkey,,1.9M
14,Zuuks Games @UCSZ5daJft7LuWzSyjdp_8HA,6M,-,Turkey,,1.8M
15,Maşa İle Koca Ayı @UCWbaNJJJQWBOX9U9H9K52Ag,5.8M,-,Turkey,,1.7M
16,Kuruluş Osman @UCGR1XmkoQedeJMT2ajRHvsw,5.8M,-,Turkey,,1.7M
17,Poll Production @UCzZ1I1j--g9sFVB-6-1yzWw,4.9M,-,Turkey,,1.5M
18,FOX @UCJe13zu6MyE6Oueac41KAqg,4.8M,-,Turkey,,1.4M
19,Yasoo @UCuUqnsCwGVWLDXxM4TFr0tw,4.8M,0.5%,Turkey,,1.4M
20,Oyuncak Şekeri @UCK3fvChGrcBWWtYN60iRE-Q,4.7M,-,Turkey,,1.4M
21,الداعية محمود الحسنات القناة الرسمية @UCTsAN8CeCY5zJ_SA8kekTXg,4.7M,0.5%,Turkey,,1.4M
22,Alper Rende @UCagxJUIOIN4bbCk9rBWZiPA,4.6M,1.2%,Turkey,,1.4M
23,Gamer Yusuf @UCvkfXP-_39iztzRnGBOV6uw,4.6M,-,Turkey,,1.4M
24,Mobile MOBA Việt @UCpd1Gf-SZjc_5ce5vVq5FTg,4.3M,-,Turkey,Video Gaming,1.3M
25,Sen Anlat Karadeniz @UCZSKbSg4xlgvKYk7ET7awpA,4.2M,-,Turkey,,1.3M
26,MuzikPlay @UCazM5oX41f0eDAcb4N63l-w,4.1M,-,Turkey,Art Marketing and Advertising Music,1.2M
27,Berkcan Güven @UCb-zL8c0oTvPl04hEoA0Q0w,4.1M,5.3%,Turkey,,1.2M
28,TRT 1 @UCvFudBDDILdDljN4VIZ4Msw,4.1M,-,Turkey,,1.2M
29,Gültekin Ailesi @UCrLmwrmrj-zOhfxbFNO-k-A,4M,-,Turkey,,1.2M
30,Dila Kent @UCaCC-iKILiKO97evjs5D3Lg,4M,1.1%,Turkey,,1.2M
31,Mustafa Jamal مصطفى جمال @UCKBG0BuqQpN3QqLH3b9hrpg,4M,1.4%,Turkey,,1.2M
32,Hercai @UC2l92bN_FWHjZZPdOYnZveg,3.8M,-,Turkey,,1.1M
33,BaBaLa TV @UCZ5aOEWFOopXLeiIUd2mfJw,3.7M,2.7%,Turkey,,1.1M
34,Kukuli @UCF5IUvgXe_3sHBuKpEz7Btw,3.7M,-,Turkey,,1.1M
35,Minecraft Parodileri @minecraftparodileri,3.7M,1%,Turkey,Travel,1.1M
36,Tonguç Akademi @UCm3vDH7Uvz_qwql5Qih4yGw,3.6M,-,Turkey,,1.1M
37,KARDEŞLERİM @UCZLOnq-F5zhTWNUDjcEYByw,3.6M,-,Turkey,,1.1M
38,Barış G @UCCmDxZyqH2pdVQ7HkHnjD3Q,3.6M,-,Turkey,,1.1M
39,Çok Güzel Hareketler @UCJhEfZoLs5P_idxX--yhWOA,3.6M,-,Turkey,,1.1M
40,حيدر و مريم @UCXufQt52E0y8Ikdw4FeTeeA,3.6M,-,Turkey,,1.1M
41,Furkan Yaman @UCNxfnR-xoreEMSHOmvcBRmA,3.6M,0.5%,Turkey,,1.1M
42,حيدر و مريم Golden Family I @UCgJZGryEq5c3yyM-vHMvEUg,3.6M,-,Turkey,,1.1M
43,يزن الاسطورة Yazan Alostora @UCEckU_wGlgii9xcdYI29xiQ,3.5M,-,Turkey,,1M
44,Yasak Elma @UC5TccbGxEeVMx9gL6wp9fOg,3.5M,0.5%,Turkey,,1M
45,Burak Oyunda @UCH6xp2Jln9OlWV8s9ldvXdg,3.4M,0.1%,Turkey,Music Video Gaming,1M
46,Noluyo Ya ¿ @UC4-bGrwiQOCVpvQwEGWaqGA,3.4M,3.1%,Turkey,,1M
47,My own recipes for cooking with Rabah Muhammad @UC0edHU-1V547IjitpvKY5LQ,3.4M,-,Turkey,,1M
48,Düşyeri @UC4fmBMzf7iWyFx7ysCCLqDA,3.4M,-,Turkey,,1M
49,DokuzSekiz Müzik @UCbCFxJq-fCwiEo9CgowI7CQ,3.4M,-,Turkey,,1M
50,Sesegel Çocuk @UC4AVaJ6fWMwXVst0Pexx8iA,3.3M,-,Turkey,,984K
51,Disney Channel Türkiye @UCiTtqNjfg2jLH2uraXbnwow,3.3M,-,Turkey,,978K
52,Berk Coşkun @UCkaNu6pBWnGL5uuNYiz2WOg,3.3M,0.7%,Turkey,,978K
53,LAZ @UCPi5_vaSYsN_-sgtcvIjARQ,3.2M,0.5%,Turkey,,957K
54,NabilGamingTV @UC4VW1sWCpirlknR5481fx3A,3.2M,-,Turkey,,948K
55,FatihSelim Tube @UCaGm-DKw5-Ry0nXs2ILIWXQ,3.1M,-,Turkey,,942K
56,webtekno @UC26buublzO30XpR-KP2TfAw,3.1M,-,Turkey,,942K
57,TUGAY GÖK @UCXlTAh-8jcl48zdvZCELUTA,3.1M,0.4%,Turkey,,939K
58,Baturay Anar @UCkdGGvq9Ac7QZ5nb-Ek308g,3.1M,1.2%,Turkey,,936K
59,OyuncaX TV @oyuncaxtv,3.1M,0.4%,Turkey,,924K
60,محمد غنايم @UC8eFjAmIUnLKLnfJZFPz6QQ,3.1M,2%,Turkey,,918K
61,Mutlu Çocuk @UC8Y11RI7jyTEGjFF3_ULefA,3M,-,Turkey,,903K
62,MEZARCI @UCFEeaGi8nvh0KdQmTwAGwvw,3M,0.4%,Turkey,,900K
63,Zuuks Music @UCcVIsHLB3hgyt9u121LgdRw,2.9M,-,Turkey,,876K
64,Danla Bilic @UCJXKKGzjjqnHAEkJsdC7ZKw,2.9M,1.2%,Turkey,,867K
65,ALKRKY @UCKZQE5HN6RLa6r_MrOkw93w,2.9M,0.6%,Turkey,,864K
66,Selena @UCC_iReQZgbPtOBfn3bjNnPw,2.9M,-,Turkey,,858K
67,Çılgın Dondurmacı @UCQBxQJiO7SW3eTaoyh4nl-A,2.9M,-,Turkey,,855K
68,Sözler Köşkü @UCN5t14BCdTIQ-116TxJuBMg,2.8M,0.2%,Turkey,,852K
69,TÜRKPRO @UCz8lelVfalizvMb2bHQjDvg,2.8M,0.7%,Turkey,,843K
70,Prenses Lina Tv @UCzV5Qx0oQv6FqjiOOPxvBYA,2.8M,0.6%,Turkey,,843K
71,Bizim Hikaye @UC39kGVK0THxKO-UFtMWIvvQ,2.8M,-,Turkey,,837K
72,AymanSenpai @UCGsBhwLa_bzIEOTECoMqfFQ,2.8M,3.8%,Turkey,,837K
73,Dr. Mala Ali Kurdistani - ملا علي كوردستاني @UCfqOuhPWrNKMLLYWJaymmWA,2.8M,-,Turkey,,831K
74,xEnesR @UCHb6TlHa5XCMV7fUjtD47lQ,2.7M,0.4%,Turkey,,822K
75,Murat Soner @UCTpnOrDAyEUsCCfC0AE6zDw,2.7M,4.8%,Turkey,Celebrity,822K
76,Super Toons TV Animasyon @UCm--Y_S6mPZZ5wLbUQ8eATA,2.7M,-,Turkey,,816K
77,Noon Toon @UCx3IP089PFM5-6gyMuwPTjA,2.7M,-,Turkey,,816K
78,Güldür Güldür @UCdlEXiVLTEvA280oyMvr8Kw,2.7M,-,Turkey,,813K
79,Mini Anima @UCRqF8GOp6ydW_OAbxivRF5Q,2.7M,0.1%,Turkey,,804K
80,Kuzey Yıldızı İlk Aşk @UCCzteqZRzsr87Lfh2wUKw5Q,2.7M,-,Turkey,,798K
81,Abo Raad family @UCDGYGaURhUXglLN5_yWMxUw,2.7M,-,Turkey,,795K
82,TRT Resurrection Ertugrul @UCSCHrDLjlO9sZk6iLEAuE0w,2.6M,-,Turkey,,780K
83,Zeynep Bastık @UCJWZnZvzKKZAxzS3ENuqbsg,2.6M,0.3%,Turkey,,771K
84,MuratAbiGF @UCnOUr8u5mpoaXSNXLa_iEeA,2.6M,1%,Turkey,,765K
85,BARIŞ BRA @UCboQK2pH3xWakPOJv91RbOA,2.5M,0.6%,Turkey,,762K
86,Mightyraccoon! @UCX77yEHFSRIjLl9X_MPbTsA,2.5M,4.7%,Turkey,,762K
87,Kurtlar Vadisi Pusu @UCz1UfNp9VFp9R1HEFn5PY5A,2.5M,-,Turkey,,753K
88,Minecraft Evi @UCJFPP3l4MVWmtwLWYOp3BVA,2.5M,-,Turkey,,747K
89,Ethereum [PoS] @UCXWpX5SXvY1pH0o9iGTn1aA,2.5M,-,Turkey,,747K
90,Serhat Durmus Music @UCeG974FjCT4aqhEpbzuk1Rw,2.5M,-,Turkey,,741K
91,CHEF OMAR شيف عمر @chefomar,2.5M,0.9%,Turkey,,741K
92,Troom Troom TR @UCprQp1WQZzw-ApvQdb31OtQ,2.4M,-,Turkey,,729K
93,Tarkan @UCnxZBLfmnZwjh8vSg6Kt-Dg,2.4M,1.1%,Turkey,,723K
94,Mendebur Lemur @UCnPUB-DTfgIO-p-xOPhV9jw,2.4M,5.1%,Turkey,,720K
95,رانيا كيمنك Rania Gaming @UCh33aZgo6x94hCIjA_l86JA,2.4M,0.9%,Turkey,,714K
