#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,❣️Sky & Tami❣️ @skyandtami,14.8M,-,Ukraine,,4.4M
2,nnotochka @nnotochka,6.3M,-,Ukraine,Beauty and Self Care,1.9M
3,Elis Stone @elis.stone,4.6M,-,Ukraine,Entertainment and Music,1.4M
4,RepNickTV @repnicktv,4.5M,-,Ukraine,,1.4M
5,😇EGOR🧲 @malibash,4.4M,-,Ukraine,,1.3M
6,milomanheim @milomanheim,3.9M,0.1%,Ukraine,,1.2M
7,Миша Городецкий @mishayoung,3.8M,0.3%,Ukraine,,1.1M
8,Sasha @hava.off,3.7M,-,Ukraine,,1.1M
9,HUSMUT @husmut,3.6M,-,Ukraine,,1.1M
10,ДЮХА?!🧬 @dux.a_,3.2M,-,Ukraine,,960K
11,Лера @le_peshka,2.9M,-,Ukraine,,870K
12,ASMR💓 FUN 💓UKRAINE💓 @likapikka,2.9M,-,Ukraine,,870K
13,Mv Ryhan @mvryhan,2.9M,-,Ukraine,,870K
14,WINNI🇺🇦 @winnidesigns,2.7M,-,Ukraine,Romance and Wedding,810K
15,Анна Тринчер @annatrincher,2.4M,-,Ukraine,Entertainment and Music,720K
16,BabyBunny @babybunny22,2.3M,0.1%,Ukraine,Pets,690K
17,Волошин Александр @voloshyn_97,2.1M,-,Ukraine,,630K
18,Yan Luiko @llluiko,2M,0.1%,Ukraine,Games,600K
19,Ваня Дмитриенко @vanya_dmitrienkoo,1.9M,-,Ukraine,Entertainment and Music,570K
20,Demian Volkov 🇺🇦 @demianvolkov,1.9M,-,Ukraine,,570K
21,ЛиЗкА ШуЛьГа🤪 @lizaa.meli,1.6M,-,Ukraine,,480K
22,SLAVA UKRAINI @useyourfingerss,1.5M,-,Ukraine,,450K
23,Игорь Моряк @rybakov_igor,1.4M,-,Ukraine,Finance,420K
24,Андрій Кулик @galin.andriy,1.2M,-,Ukraine,,360K
25,Марина Дорн @marina.dorn,1.1M,0.7%,Ukraine,,330K
26,Денис Turbik @turbik_,1.1M,-,Ukraine,,330K
27,Снежана Винниченко @snegga_vinni,1.1M,-,Ukraine,,330K
28,eva @evadubovitskayaa,1.1M,-,Ukraine,,330K
29,YarikPaw @theyarikpaw,1.1M,5%,Ukraine,,330K
30,a.samarcev @a.samarcev,1.1M,0.1%,Ukraine,,330K
31,Кристина Рожкова 🇺🇦 @chrismee_ro,1.1M,-,Ukraine,,330K
32,🦩IKSTINA🦩 @ikstina,1.1M,-,Ukraine,,330K
33,olya_pobigailo @olya_pobigailo,1M,-,Ukraine,,300K
34,Daria Mayorova @dashatm19_,1M,-,Ukraine,Fashion and Accessories,300K
35,Даша @makogon.dasha,985.8K,-,Ukraine,,295.7K
36,Tary @taras_povoroznyk,985.4K,-,Ukraine,Education,295.6K
37,NAZARKA_18➕ @nazivin00,977.5K,-,Ukraine,,293.3K
38,Просто Шурик @teran1t,968.7K,-,Ukraine,,290.6K
39,ОЛИНКА @alinoises,964.1K,-,Ukraine,,289.2K
40,Кристина @tinchik__,958.6K,-,Ukraine,Art,287.6K
41,Presidentniki curve model @presidentniki,948.7K,-,Ukraine,Fashion and Accessories,284.6K
42,Anatoliy Dobrovolskiy @dobrovolskiy_hchef,946K,0.4%,Ukraine,,283.8K
43,J @nicolee.aep,940.5K,0.2%,Ukraine,,282.2K
44,Ivanna @yosoy_ivanna,939.7K,-,Ukraine,,281.9K
45,Abrekc @abreck_official,935.7K,-,Ukraine,,280.7K
46,МАРИК @marikbey,925.2K,-,Ukraine,,277.6K
47,Nikolas🎅🏻 @malchyn_27,898.3K,-,Ukraine,,269.5K
48,luna & glebbb @glebiluna,896.5K,-,Ukraine,,269K
49,Трафареты.Антон DFA.Stencils @anton_dfa_decor_for_all,895K,-,Ukraine,Arts and Crafts,268.5K
50,Kakashi Hatake @shinobi_cosplay,887.4K,-,Ukraine,,266.2K
51,❤️ТОШЕЧКА❤️ @top4uuuk,881.8K,-,Ukraine,,264.5K
52,Candy Superstar @candy.superstar,879.1K,-,Ukraine,,263.7K
