#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,SlivkiShow @UCU_yU4xGT9hrVFo6euH8LLw,19.9M,0.8%,Ukraine,,6M
2,Познаватель @UCXTMoE1XgvxN4iCt5-gZzCw,18.3M,-,Ukraine,,5.5M
3,Трум Трум @UCq1JpGFxcZTbbOAz010U-og,13.8M,-,Ukraine,,4.1M
4,Lady Diana @UCCB4-saKfwGbUFO2-rRdUqQ,12.4M,0.4%,Ukraine,,3.7M
5,Маша та Ведмідь @UCHZcTOQMlcCmONp5Apm6qSQ,11.3M,-,Ukraine,,3.4M
6,Magic Five @UCEGfICV92gmM5w2t3gYfQDw,11.2M,-,Ukraine,,3.4M
7,Boys and Toys @UCWI7puXzGTPuxsoW2HD3XxQ,9.4M,0.3%,Ukraine,,2.8M
8,TheBrainDit @UCFBcrywVNeUOqtJgGhPEvQg,8.4M,-,Ukraine,,2.5M
9,vanzai @vanzai,8.3M,1.6%,Ukraine,,2.5M
10,TimOn ChaveS @UC2il4ZKYE7gwjoVDGAbgMbQ,7M,-,Ukraine,,2.1M
11,Трум Трум СЕЛЕКТ @UCA8x119TMd1esbI3woeIbQg,6.9M,-,Ukraine,,2.1M
12,Alex Boyko @UCKj4BooYGVlBTXW21nOwcgQ,6.7M,0.1%,Ukraine,,2M
13,Ali Baba @UC8uTWdM6Ns528noHMHBN15g,6M,-,Ukraine,,1.8M
14,Holdik @UCM6hH7Xa0oanOQeh5RxeRAQ,5.8M,0.1%,Ukraine,,1.8M
15,Artem Plays Toys @UCdKSGuc89r7OfkdwcFAsVIw,5.8M,-,Ukraine,,1.7M
16,Антон Птушкин @UClI9aidW3X044NeB4QS-yxw,5.6M,9.7%,Ukraine,,1.7M
17,OneDay Alex @UCIDMp2rLX4G5C6eiypl9SFA,5.4M,-,Ukraine,,1.6M
18,Ольга Матвей @UCZEqXoz7G4sPniv_hJJbVhw,5.4M,0.1%,Ukraine,,1.6M
19,AuRuM TV @UCh1lXfVnw2L4w8aBHrTy4zA,5.1M,-,Ukraine,,1.5M
20,Телеканал СТБ @UCrb7XNZEwPheovXjgbkH5vg,5.1M,-,Ukraine,,1.5M
21,Серіали України. Прем’єр @UCtKnY1vJ37v-KPgejc2kkBQ,4.9M,-,Ukraine,,1.5M
22,Daniel Gro @UC_OlRSrhwiBX-VC7EPhGlNw,4.9M,0.3%,Ukraine,,1.5M
23,ВУХУУ! @UCKQTOGKzcSPuQgflweqce_Q,4.7M,-,Ukraine,,1.4M
24,Room Factory @UCovLyuOCfHLOPP8Jwc3aZoA,4.6M,1.5%,Ukraine,,1.4M
25,GANGSTER GANG @UCCeAaS4K5IOr3n6KUZvN9zA,4.6M,0.1%,Ukraine,,1.4M
26,YanGo @UCkpvU1ZMcg1RVxxvy8ng60w,4.6M,0.6%,Ukraine,,1.4M
27,ЮМОР ICTV - Официальный канал @UCFTq_8SXc-SByisJqDZp9ZQ,4.3M,-,Ukraine,,1.3M
