#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,nourmar5 @nourmar5,14.5M,0.2%,United Arab Emirates,,4.4M
2,INSTASAMKA @samkamusic,13.2M,-,United Arab Emirates,Entertainment and Music,4M
3,ميتو الشامسي @iimeeto,12.6M,-,United Arab Emirates,,3.8M
4,sunny kalra @sunny_kalra55,12.3M,-,United Arab Emirates,,3.7M
5,Faryal 🧚🏻♀️ @faryal_fairyyy,9.8M,-,United Arab Emirates,,2.9M
6,Milaadk @milaadkmagic,6.1M,-,United Arab Emirates,,1.8M
7,Amar&Rim @amar.rim,4.5M,-,United Arab Emirates,,1.4M
8,Elena elSabbagh @elenaelsabbagh,4.5M,-,United Arab Emirates,,1.4M
9,MBC1 @mbc1,3.6M,-,United Arab Emirates,Entertainment and Music,1.1M
10,Elena Akbik @akbikelena,3.6M,-,United Arab Emirates,Fashion and Accessories Product Showcase,1.1M
11,كوتش بيان 💪🏼 @bayan.dxb,3.4M,-,United Arab Emirates,,1M
12,niginaa1__❤️ @niginn_,3.1M,-,United Arab Emirates,,930K
13,MiMo مريم جورج @mimogeorge,3M,-,United Arab Emirates,,900K
14,الأب الفرفوش @khaledelcapitano0,3M,-,United Arab Emirates,,900K
15,OSHA SALAH @sherifeldahshoury,2.7M,-,United Arab Emirates,,810K
16,محمد جواني @mohamad_gwani,2.6M,-,United Arab Emirates,,780K
17,Rumi Munawar @rumiuae,2.5M,-,United Arab Emirates,Education,750K
18,Lana Rose @lana.rose786,2.2M,-,United Arab Emirates,Fashion and Accessories Entertainment and Music,660K
19,Mustafa kamal @mustafa_kamal13,2.1M,-,United Arab Emirates,Photography,630K
20,Shemsou-bnb @shemsou_bnb,2M,-,United Arab Emirates,Travel Outdoor Activity,600K
21,Hamza Aly @hamzaalyofficial,2M,-,United Arab Emirates,,600K
22,Saima H Rajput @saima.uae,2M,-,United Arab Emirates,Funny,600K
23,Hadia Ghaleb @hadiaghaleb,1.8M,-,United Arab Emirates,Fashion and Accessories Travel,540K
24,Abdulla 🇦🇪 @hh_abdullah,1.8M,-,United Arab Emirates,,540K
25,Mohamad_hayat @mohamad_hayat,1.6M,-,United Arab Emirates,,480K
26,Alba Dubai✌️ @albadubai,1.5M,-,United Arab Emirates,Entertainment and Music Funny,450K
27,VIP Motors @vipmotorsuae,1.5M,-,United Arab Emirates,,450K
28,Nidhi Kumar @nidhikumardance,1.3M,-,United Arab Emirates,Entertainment and Music,390K
29,remiesalloum @remiesalloum,1.2M,-,United Arab Emirates,Entertainment and Music,360K
30,MBC Drama @mbcdrama,1.2M,-,United Arab Emirates,Acting and Drama,360K
31,خـــــــــــــ130ــــــــلدون @khaldoun130,1.2M,-,United Arab Emirates,,360K
32,Andreas @mynameisandreas,1.1M,-,United Arab Emirates,Travel Entertainment and Music,330K
33,د.أشرف العسال | Ashraf Elassal @dr.ashrafelassal,1.1M,-,United Arab Emirates,,330K
34,Zayn.shahh @zayn.shahh,1.1M,-,United Arab Emirates,Fashion and Accessories,330K
35,Kareem_afghani @mr_kareem,1M,-,United Arab Emirates,Arts and Crafts,300K
36,توماس شيلبي @tooms7,1M,-,United Arab Emirates,,300K
37,Czn Burak Dubai @cznburakdubai,983.9K,0.1%,United Arab Emirates,,295.2K
38,Beki’s world @beki_ksri,978.9K,-,United Arab Emirates,,293.7K
39,Dhanya S Rajesh💫 @helen_of_sparta,978.2K,-,United Arab Emirates,,293.5K
40,Shd.208 @shd.208,963.5K,-,United Arab Emirates,,289.1K
41,Bin.salayem alketbi @dubai.a,961.6K,-,United Arab Emirates,,288.5K
42,Saim Shah @cutiesaim,920.3K,-,United Arab Emirates,,276.1K
43,محمد حراجلي @mohammad.harajli,918.7K,0.2%,United Arab Emirates,Health and Medical Services,275.6K
44,It's Oza @its_oza,917.2K,0.1%,United Arab Emirates,,275.2K
45,Maanu Malik @maanumalikofficial,897.4K,-,United Arab Emirates,,269.2K
46,THICK FIBER @thick.fiber,895.9K,-,United Arab Emirates,Beauty and Self Care Product Education,268.8K
47,Shaikh Annie @shaikh_annie,874.1K,-,United Arab Emirates,,262.2K
48,Naseem El Ramlawy @learnarabic_with_naseem,868.2K,-,United Arab Emirates,Education,260.5K
49,Tokyo Phone @tokyo_phone,867.3K,-,United Arab Emirates,,260.2K
50,Khalid HussainAnfar @khalidanfar_,863.6K,-,United Arab Emirates,Beauty and Self Care,259.1K
